n_vertices;n_edges;indegree_mean;indegree_max;outdegree_mean;outdegree_max;total_degree_mean;total_degree_max;avg_local_clustering;vertices_degree_ge_2;global_clustering;avg_shortest_path_length;seed;beta;gamma;dim
2000;117;0.0585;2;0.0585;2;0.117;2;0.4;15;0.4;1.0866141732283465;0;0.05;0.05;2
2000;96;0.048;2;0.048;2;0.096;3;0.5454545454545454;11;0.46153846153846156;1.0679611650485437;1;0.05;0.05;2
2000;112;0.056;2;0.056;1;0.112;2;0.0;8;0.0;1.0826446280991735;2;0.05;0.05;2
2000;116;0.058;3;0.058;3;0.116;3;0.5303030303030303;22;0.6176470588235294;1.1654135338345866;3;0.05;0.05;2
2000;130;0.065;2;0.065;2;0.13;2;0.2608695652173913;23;0.2608695652173913;1.1409395973154361;4;0.05;0.05;2
2000;127;0.0635;2;0.0635;2;0.127;2;0.6;15;0.6;1.0451127819548873;5;0.05;0.05;2
2000;101;0.0505;3;0.0505;2;0.101;3;0.41025641025641024;13;0.4;1.1415929203539823;6;0.05;0.05;2
2000;108;0.054;2;0.054;2;0.108;2;0.45;20;0.45;1.1239669421487604;7;0.05;0.05;2
2000;95;0.0475;2;0.0475;2;0.095;2;0.375;8;0.375;1.05;8;0.05;0.05;2
2000;105;0.0525;2;0.0525;2;0.105;2;0.5625;16;0.5625;1.0625;9;0.05;0.05;2
2000;131;0.0655;3;0.0655;2;0.131;3;0.39682539682539675;21;0.391304347826087;1.1224489795918366;0;0.05;0.15;2
2000;105;0.0525;2;0.0525;2;0.105;3;0.5;12;0.375;1.0869565217391304;1;0.05;0.15;2
2000;121;0.0605;2;0.0605;2;0.121;2;0.2;15;0.2;1.1185185185185185;2;0.05;0.15;2
2000;134;0.067;3;0.067;3;0.134;3;0.5357142857142857;28;0.6136363636363636;1.1623376623376624;3;0.05;0.15;2
2000;144;0.072;2;0.072;2;0.144;2;0.23076923076923078;26;0.23076923076923078;1.144578313253012;4;0.05;0.15;2
2000;138;0.069;3;0.069;2;0.138;3;0.4385964912280701;19;0.42857142857142855;1.0927152317880795;5;0.05;0.15;2
2000;112;0.056;3;0.056;2;0.112;3;0.3333333333333333;16;0.3333333333333333;1.1496062992125984;6;0.05;0.15;2
2000;115;0.0575;2;0.0575;2;0.115;3;0.5;24;0.46153846153846156;1.1654135338345866;7;0.05;0.15;2
2000;104;0.052;2;0.052;2;0.104;2;0.375;8;0.375;1.0458715596330275;8;0.05;0.15;2
2000;113;0.0565;2;0.0565;2;0.113;2;0.5294117647058824;17;0.5294117647058824;1.0661157024793388;9;0.05;0.15;2
2000;149;0.0745;3;0.0745;2;0.149;3;0.41025641025641024;26;0.4;1.1411764705882352;0;0.05;0.25;2
2000;116;0.058;2;0.058;2;0.116;3;0.6;15;0.47368421052631576;1.0793650793650793;1;0.05;0.25;2
2000;134;0.067;4;0.067;2;0.134;4;0.5;21;0.375;1.1772151898734178;2;0.05;0.25;2
2000;145;0.0725;3;0.0725;3;0.145;3;0.4838709677419355;31;0.574468085106383;1.1666666666666667;3;0.05;0.25;2
2000;162;0.081;4;0.081;2;0.162;4;0.16666666666666666;36;0.1276595744680851;1.407079646017699;4;0.05;0.25;2
2000;144;0.072;3;0.072;2;0.144;3;0.34848484848484845;22;0.34615384615384615;1.117283950617284;5;0.05;0.25;2
2000;129;0.0645;3;0.0645;3;0.129;3;0.30158730158730157;21;0.3333333333333333;1.185430463576159;6;0.05;0.25;2
2000;130;0.065;3;0.065;2;0.13;3;0.5357142857142857;28;0.46875;1.1895424836601307;7;0.05;0.25;2
