n_vertices;n_edges;indegree_mean;indegree_max;outdegree_mean;outdegree_max;total_degree_mean;total_degree_max;avg_local_clustering;vertices_degree_ge_2;global_clustering;avg_shortest_path_length;seed;beta;gamma;dim
1000;51;0.051;2;0.051;1;0.102;2;0.0;5;0.0;1.1228070175438596;0;0.05;0.05;2
1000;65;0.065;2;0.065;1;0.13;2;0.0;7;0.0;1.0972222222222223;1;0.05;0.05;2
1000;54;0.054;2;0.054;3;0.108;3;0.7037037037037037;9;0.6923076923076923;1.0526315789473684;2;0.05;0.05;2
1000;45;0.045;2;0.045;1;0.09;2;0.0;1;0.0;1.0217391304347827;3;0.05;0.05;2
1000;53;0.053;2;0.053;2;0.106;2;0.6;10;0.6;1.0701754385964912;4;0.05;0.05;2
1000;44;0.044;2;0.044;2;0.088;3;0.4666666666666666;5;0.42857142857142855;1.0833333333333333;5;0.05;0.05;2
1000;58;0.058;3;0.058;3;0.116;4;0.65;10;0.6521739130434783;1.121212121212121;6;0.05;0.05;2
1000;50;0.05;2;0.05;1;0.1;2;0.0;2;0.0;1.0384615384615385;7;0.05;0.05;2
1000;44;0.044;2;0.044;2;0.088;2;0.75;4;0.75;1.0222222222222221;8;0.05;0.05;2
1000;56;0.056;2;0.056;2;0.112;2;0.6;10;0.6;1.0666666666666667;9;0.05;0.05;2
1000;54;0.054;2;0.054;1;0.108;2;0.0;5;0.0;1.1166666666666667;0;0.05;0.15;2
1000;70;0.07;2;0.07;1;0.14;3;0.0;7;0.0;1.1139240506329113;1;0.05;0.15;2
1000;57;0.057;2;0.057;3;0.114;3;0.7037037037037037;9;0.6923076923076923;1.05;2;0.05;0.15;2
1000;53;0.053;2;0.053;1;0.106;2;0.0;2;0.0;1.0363636363636364;3;0.05;0.15;2
1000;60;0.06;2;0.06;2;0.12;2;0.5454545454545454;11;0.5454545454545454;1.0769230769230769;4;0.05;0.15;2
1000;49;0.049;2;0.049;2;0.098;3;0.38888888888888884;6;0.375;1.0925925925925926;5;0.05;0.15;2
1000;65;0.065;3;0.065;3;0.13;4;0.6794871794871794;13;0.6923076923076923;1.1095890410958904;6;0.05;0.15;2
1000;55;0.055;2;0.055;1;0.11;2;0.0;3;0.0;1.0517241379310345;7;0.05;0.15;2
1000;52;0.052;2;0.052;2;0.104;2;0.6;5;0.6;1.037037037037037;8;0.05;0.15;2
1000;60;0.06;3;0.06;2;0.12;3;0.4848484848484849;11;0.46153846153846156;1.1044776119402986;9;0.05;0.15;2
1000;59;0.059;2;0.059;1;0.118;2;0.0;6;0.0;1.121212121212121;0;0.05;0.25;2
1000;78;0.078;2;0.078;1;0.156;3;0.0;11;0.0;1.1827956989247312;1;0.05;0.25;2
1000;62;0.062;2;0.062;3;0.124;3;0.7037037037037037;9;0.6923076923076923;1.0461538461538462;2;0.05;0.25;2
1000;63;0.063;2;0.063;2;0.126;2;0.0;4;0.0;1.088235294117647;3;0.05;0.25;2
1000;69;0.069;3;0.069;2;0.138;3;0.6428571428571429;14;0.5625;1.0921052631578947;4;0.05;0.25;2
1000;57;0.057;2;0.057;2;0.114;3;0.5925925925925927;9;0.5454545454545454;1.0806451612903225;5;0.05;0.25;2
1000;70;0.07;3;0.07;3;0.14;4;0.5888888888888888;15;0.6428571428571429;1.125;6;0.05;0.25;2
1000;66;0.066;2;0.066;2;0.132;2;0.375;8;0.375;1.0704225352112675;7;0.05;0.25;2
1000;60;0.06;2;0.06;2;0.12;2;0.6;5;0.6;1.032258064516129;8;0.05;0.25;2
1000;66;0.066;3;0.066;2;0.132;3;0.4102564102564103;13;0.4;1.1688311688311688;9;0.05;0.25;2
1000;72;0.072;4;0.072;1;0.144;4;0.0;7;0.0;1.206896551724138;0;0.05;0.35;2
1000;90;0.09;3;0.09;2;0.18;3;0.26666666666666666;20;0.25;1.2719298245614035;1;0.05;0.35;2
1000;66;0.066;2;0.066;3;0.132;3;0.6333333333333333;10;0.6428571428571429;1.0571428571428572;2;0.05;0.35;2
1000;72;0.072;2;0.072;2;0.144;2;0.0;7;0.0;1.1125;3;0.05;0.35;2
1000;83;0.083;3;0.083;2;0.166;3;0.631578947368421;19;0.5217391304347826;1.1170212765957446;4;0.05;0.35;2
1000;62;0.062;2;0.062;2;0.124;3;0.5333333333333334;10;0.5;1.088235294117647;5;0.05;0.35;2
1000;80;0.08;3;0.08;3;0.16;4;0.5462962962962963;18;0.6363636363636364;1.141304347826087;6;0.05;0.35;2
1000;76;0.076;3;0.076;2;0.152;3;0.375;8;0.3;1.0843373493975903;7;0.05;0.35;2
1000;73;0.073;2;0.073;2;0.146;2;0.6666666666666666;9;0.6666666666666666;1.0394736842105263;8;0.05;0.35;2
1000;74;0.074;3;0.074;2;0.148;3;0.380952380952381;14;0.375;1.1627906976744187;9;0.05;0.35;2
1000;89;0.089;5;0.089;1;0.178;5;0.0;11;0.0;1.4962406015037595;0;0.05;0.45;2
1000;106;0.106;3;0.106;2;0.212;3;0.2345679012345679;27;0.24324324324324326;1.3191489361702127;1;0.05;0.45;2
1000;81;0.081;4;0.081;3;0.162;4;0.48148148148148145;18;0.41379310344827586;1.202020202020202;2;0.05;0.45;2
1000;83;0.083;5;0.083;2;0.166;5;0.0;9;0.0;1.2962962962962963;3;0.05;0.45;2
1000;95;0.095;3;0.095;2;0.19;3;0.5256410256410257;26;0.4166666666666667;1.1965811965811965;4;0.05;0.45;2
1000;65;0.065;2;0.065;2;0.13;3;0.4848484848484848;11;0.46153846153846156;1.0972222222222223;5;0.05;0.45;2
1000;89;0.089;3;0.089;3;0.178;4;0.525;20;0.6923076923076923;1.1553398058252426;6;0.05;0.45;2
