n_vertices;n_edges;indegree_mean;indegree_max;outdegree_mean;outdegree_max;total_degree_mean;total_degree_max;avg_local_clustering;vertices_degree_ge_2;global_clustering;avg_shortest_path_length;seed;beta;gamma;dim
200;260;1.3;26;1.3;4;2.6;26;0.6321833759921994;120;0.3145720894371627;3.7767138193688794;2;0.7;0.5;2
200;290;1.45;35;1.45;6;2.9;35;0.6063669713895957;130;0.3225044300059067;4.800561797752809;0;0.7;0.7;2
200;336;1.68;71;1.68;5;3.36;71;0.7399931573798303;154;0.16999726252395292;3.5392721883747735;1;0.7;0.7;2
200;410;2.05;70;2.05;5;4.1;70;0.6717559999377862;164;0.19609877567960157;3.4184370495707213;2;0.7;0.7;2
200;450;2.25;94;2.25;7;4.5;94;0.7345418820828992;161;0.1802712044668971;3.7177179209528965;0;0.7;0.9;2
200;525;2.625;184;2.625;7;5.25;184;0.8152074864285929;187;0.08259556829230848;2.010909295394478;1;0.7;0.9;2
200;705;3.525;184;3.525;7;7.05;184;0.795935928530058;198;0.1192950745594216;2.0927638190954774;2;0.7;0.9;2
200;586;2.93;154;2.93;8;5.86;154;0.778144303433588;183;0.1270498877956154;2.5892054765554793;0;0.7;1.0;2
200;592;2.96;199;2.96;7;5.92;199;0.8290117810268213;195;0.08609831353818843;1.970251256281407;1;0.7;1.0;2
200;842;4.21;199;4.21;8;8.42;199;0.7996342459347633;200;0.12859902492870942;1.9576884422110552;2;0.7;1.0;2
200;210;1.05;7;1.05;4;2.1;8;0.6495484400656815;116;0.524390243902439;3.1179039301310043;0;1.0;0.1;2
200;194;0.97;8;0.97;4;1.94;8;0.5947232947232947;111;0.4841075794621027;2.5249307479224377;1;1.0;0.1;2
200;221;1.105;10;1.105;4;2.21;10;0.4990275990275991;111;0.4237012987012987;4.760188615695521;2;1.0;0.1;2
200;242;1.21;11;1.21;5;2.42;11;0.6226759018759019;125;0.5068681318681318;4.12477175897748;0;1.0;0.3;2
200;244;1.22;13;1.22;5;2.44;13;0.5818859772705927;130;0.42618384401114207;4.037744429286039;1;1.0;0.3;2
200;289;1.445;20;1.445;5;2.89;20;0.5952121240172935;129;0.3940578577013292;3.965865992414665;2;1.0;0.3;2
200;312;1.56;21;1.56;6;3.12;21;0.6270520850790458;144;0.44364680545585067;5.079796954314721;0;1.0;0.5;2
200;325;1.625;43;1.625;5;3.25;43;0.6788541451408648;152;0.2643171806167401;3.318893074471168;1;1.0;0.5;2
200;388;1.94;34;1.94;6;3.88;34;0.6351900834971997;157;0.3201019664967225;4.094582787243338;2;1.0;0.5;2
200;429;2.145;53;2.145;7;4.29;53;0.7070107689719867;164;0.3295929018789144;4.724936523813188;0;1.0;0.7;2
200;461;2.305;106;2.305;6;4.61;106;0.751365000115078;178;0.15853813829109895;2.7972937977469896;1;1.0;0.7;2
200;599;2.995;99;2.995;7;5.99;99;0.7256400622761948;188;0.20897003373685255;2.9387850225283545;2;1.0;0.7;2
200;655;3.275;135;3.275;11;6.55;135;0.7795115652883716;185;0.1837203368206175;2.6602268607240895;0;1.0;0.9;2
200;669;3.345;199;3.345;7;6.69;199;0.8005312527240103;198;0.10685329353394377;1.9663819095477386;1;1.0;0.9;2
200;929;4.645;198;4.645;9;9.29;198;0.8028188828257651;200;0.15781948168007148;1.9581909547738694;2;1.0;0.9;2
