n_vertices;n_edges;indegree_mean;indegree_max;outdegree_mean;outdegree_max;total_degree_mean;total_degree_max;avg_local_clustering;global_clustering;avg_shortest_path_length;seed;beta;gamma;dim
100;14;0.14;2;0.14;2;0.28;2;0.03;1.0;1.0;0;0.1;0.1;2
100;5;0.05;1;0.05;1;0.1;1;0.0;0.0;1.0;1;0.1;0.1;2
100;12;0.12;2;0.12;1;0.24;2;0.0;0.0;1.0769230769230769;2;0.1;0.1;2
100;16;0.16;2;0.16;2;0.32;2;0.03;0.75;1.0588235294117647;0;0.1;0.3;2
100;6;0.06;1;0.06;1;0.12;1;0.0;0.0;1.0;1;0.1;0.3;2
100;15;0.15;2;0.15;1;0.3;2;0.0;0.0;1.0625;2;0.1;0.3;2
100;22;0.22;6;0.22;2;0.44;6;0.03;0.14285714285714285;1.6222222222222222;0;0.1;0.5;2
100;11;0.11;2;0.11;1;0.22;2;0.0;0.0;1.2857142857142858;1;0.1;0.5;2
100;18;0.18;3;0.18;2;0.36;3;0.02333333333333333;0.5;1.1428571428571428;2;0.1;0.5;2
100;56;0.56;38;0.56;3;1.12;38;0.11007112375533426;0.024896265560165973;2.112814895947426;0;0.1;0.7;2
100;22;0.22;3;0.22;2;0.44;3;0.02333333333333333;0.17647058823529413;2.3392857142857144;1;0.1;0.7;2
100;25;0.25;3;0.25;2;0.5;3;0.05333333333333333;0.375;1.4615384615384615;2;0.1;0.7;2
100;121;1.21;99;1.21;3;2.42;99;0.34337868480725625;0.014070146818923327;1.9755555555555555;0;0.1;0.9;2
100;40;0.4;6;0.4;3;0.8;6;0.10233333333333335;0.3442622950819672;2.2393162393162394;1;0.1;0.9;2
100;37;0.37;6;0.37;2;0.74;6;0.07933333333333334;0.2830188679245283;1.646341463414634;2;0.1;0.9;2
100;126;1.26;99;1.26;4;2.52;99;0.3693889919604206;0.018270401948842874;1.9745454545454546;0;0.1;1.0;2
100;47;0.47;7;0.47;3;0.94;7;0.1063809523809524;0.2872340425531915;2.111111111111111;1;0.1;1.0;2
100;41;0.41;7;0.41;2;0.82;7;0.09109523809523809;0.27692307692307694;1.990990990990991;2;0.1;1.0;2
100;37;0.37;3;0.37;3;0.74;4;0.10166666666666666;0.6206896551724138;1.1777777777777778;0;0.4;0.1;2
100;48;0.48;4;0.48;3;0.96;4;0.028333333333333332;0.2;2.291044776119403;1;0.4;0.1;2
100;49;0.49;5;0.49;2;0.98;5;0.08866666666666667;0.30612244897959184;1.7714285714285714;2;0.4;0.1;2
100;45;0.45;7;0.45;3;0.9;7;0.12880952380952382;0.45;1.6813186813186813;0;0.4;0.3;2
100;69;0.69;6;0.69;3;1.38;6;0.15266666666666667;0.43548387096774194;2.424778761061947;1;0.4;0.3;2
100;60;0.6;5;0.6;3;1.2;5;0.17133333333333334;0.4074074074074074;1.6774193548387097;2;0.4;0.3;2
100;85;0.85;37;0.85;3;1.7;37;0.24216516516516517;0.09424083769633508;2.588759424263194;0;0.4;0.5;2
100;86;0.86;8;0.86;4;1.72;8;0.2134285714285714;0.435;4.3213644524236985;1;0.4;0.5;2
100;77;0.77;7;0.77;4;1.54;7;0.2312380952380952;0.46621621621621623;2.175925925925926;2;0.4;0.5;2
100;154;1.54;95;1.54;4;3.08;95;0.55278984695782;0.04630225080385852;2.0056806227645696;0;0.4;0.7;2
