n_vertices;n_edges;indegree_mean;indegree_max;outdegree_mean;outdegree_max;total_degree_mean;total_degree_max;avg_local_clustering;vertices_degree_ge_2;global_clustering;avg_shortest_path_length;seed;beta;gamma;dim
100;7;0.07;1;0.07;1;0.14;2;0.0;1;0.0;1.125;0;0.05;0.05;2
100;2;0.02;1;0.02;1;0.04;1;0.0;0;0.0;1.0;1;0.05;0.05;2
100;4;0.04;1;0.04;1;0.08;1;0.0;0;0.0;1.0;2;0.05;0.05;2
100;3;0.03;1;0.03;1;0.06;1;0.0;0;0.0;1.0;3;0.05;0.05;2
100;8;0.08;1;0.08;1;0.16;1;0.0;0;0.0;1.0;4;0.05;0.05;2
100;5;0.05;1;0.05;1;0.1;1;0.0;0;0.0;1.0;5;0.05;0.05;2
100;4;0.04;1;0.04;1;0.08;1;0.0;0;0.0;1.0;6;0.05;0.05;2
100;1;0.01;1;0.01;1;0.02;1;0.0;0;0.0;1.0;7;0.05;0.05;2
100;7;0.07;2;0.07;1;0.14;2;0.0;1;0.0;1.125;8;0.05;0.05;2
100;10;0.1;1;0.1;1;0.2;1;0.0;0;0.0;1.0;9;0.05;0.05;2
100;9;0.09;2;0.09;2;0.18;2;1.0;3;1.0;1.0;0;0.05;0.15;2
100;3;0.03;1;0.03;1;0.06;1;0.0;0;0.0;1.0;1;0.05;0.15;2
100;5;0.05;1;0.05;1;0.1;1;0.0;0;0.0;1.0;2;0.05;0.15;2
100;4;0.04;2;0.04;1;0.08;2;0.0;1;0.0;1.2;3;0.05;0.15;2
100;8;0.08;1;0.08;1;0.16;1;0.0;0;0.0;1.0;4;0.05;0.15;2
100;5;0.05;1;0.05;1;0.1;1;0.0;0;0.0;1.0;5;0.05;0.15;2
100;4;0.04;1;0.04;1;0.08;1;0.0;0;0.0;1.0;6;0.05;0.15;2
100;1;0.01;1;0.01;1;0.02;1;0.0;0;0.0;1.0;7;0.05;0.15;2
100;7;0.07;2;0.07;1;0.14;2;0.0;1;0.0;1.125;8;0.05;0.15;2
100;10;0.1;1;0.1;1;0.2;1;0.0;0;0.0;1.0;9;0.05;0.15;2
100;10;0.1;2;0.1;2;0.2;2;1.0;3;1.0;1.0;0;0.05;0.25;2
100;3;0.03;1;0.03;1;0.06;1;0.0;0;0.0;1.0;1;0.05;0.25;2
100;5;0.05;1;0.05;1;0.1;1;0.0;0;0.0;1.0;2;0.05;0.25;2
100;5;0.05;2;0.05;1;0.1;2;0.0;1;0.0;1.1666666666666667;3;0.05;0.25;2
100;8;0.08;1;0.08;1;0.16;1;0.0;0;0.0;1.0;4;0.05;0.25;2
100;8;0.08;2;0.08;1;0.16;2;0.0;2;0.0;1.3636363636363635;5;0.05;0.25;2
100;4;0.04;1;0.04;1;0.08;1;0.0;0;0.0;1.0;6;0.05;0.25;2
100;2;0.02;1;0.02;1;0.04;1;0.0;0;0.0;1.0;7;0.05;0.25;2
100;7;0.07;2;0.07;1;0.14;2;0.0;1;0.0;1.125;8;0.05;0.25;2
100;12;0.12;2;0.12;1;0.24;2;0.0;1;0.0;1.0769230769230769;9;0.05;0.25;2
100;11;0.11;2;0.11;2;0.22;2;0.75;4;0.75;1.0833333333333333;0;0.05;0.35;2
100;3;0.03;1;0.03;1;0.06;1;0.0;0;0.0;1.0;1;0.05;0.35;2
100;6;0.06;1;0.06;1;0.12;1;0.0;0;0.0;1.0;2;0.05;0.35;2
100;6;0.06;2;0.06;1;0.12;2;0.0;2;0.0;1.25;3;0.05;0.35;2
100;9;0.09;1;0.09;1;0.18;1;0.0;0;0.0;1.0;4;0.05;0.35;2
100;17;0.17;11;0.17;2;0.34;11;0.5045454545454545;4;0.05172413793103448;1.9146341463414633;5;0.05;0.35;2
100;4;0.04;1;0.04;1;0.08;1;0.0;0;0.0;1.0;6;0.05;0.35;2
100;2;0.02;1;0.02;1;0.04;1;0.0;0;0.0;1.0;7;0.05;0.35;2
100;7;0.07;2;0.07;1;0.14;2;0.0;1;0.0;1.125;8;0.05;0.35;2
100;12;0.12;2;0.12;1;0.24;2;0.0;1;0.0;1.0769230769230769;9;0.05;0.35;2
100;12;0.12;2;0.12;2;0.24;2;0.75;4;0.75;1.0769230769230769;0;0.05;0.45;2
100;4;0.04;1;0.04;1;0.08;1;0.0;0;0.0;1.0;1;0.05;0.45;2
100;9;0.09;2;0.09;1;0.18;2;0.0;1;0.0;1.1;2;0.05;0.45;2
100;7;0.07;3;0.07;1;0.14;3;0.0;2;0.0;1.3636363636363635;3;0.05;0.45;2
100;9;0.09;1;0.09;1;0.18;1;0.0;0;0.0;1.0;4;0.05;0.45;2
100;42;0.42;36;0.42;2;0.84;36;0.5718820861678005;7;0.009433962264150943;2.0403768506056528;5;0.05;0.45;2
100;5;0.05;1;0.05;1;0.1;1;0.0;0;0.0;1.0;6;0.05;0.45;2
100;2;0.02;1;0.02;1;0.04;1;0.0;0;0.0;1.0;7;0.05;0.45;2
100;7;0.07;2;0.07;1;0.14;2;0.0;1;0.0;1.125;8;0.05;0.45;2
100;13;0.13;2;0.13;1;0.26;2;0.0;1;0.0;1.0714285714285714;9;0.05;0.45;2
100;14;0.14;4;0.14;2;0.28;4;0.75;4;0.3333333333333333;1.3;0;0.05;0.55;2
100;6;0.06;1;0.06;1;0.12;1;0.0;0;0.0;1.0;1;0.05;0.55;2
