n_vertices;n_edges;indegree_mean;indegree_max;outdegree_mean;outdegree_max;total_degree_mean;total_degree_max;avg_local_clustering;global_clustering;avg_shortest_path_length;seed;beta;gamma;dim
500;66;0.132;3;0.132;2;0.264;3;0.02333333333333333;0.45454545454545453;1.2674418604651163;0;0.1;0.1;2
500;41;0.082;2;0.082;2;0.164;3;0.006;0.3333333333333333;1.2040816326530612;1;0.1;0.1;2
500;51;0.102;2;0.102;2;0.204;2;0.006;0.375;1.1228070175438596;2;0.1;0.1;2
500;87;0.174;4;0.174;2;0.348;4;0.03;0.3387096774193548;1.4822695035460993;0;0.1;0.3;2
500;53;0.106;5;0.106;2;0.212;5;0.009333333333333332;0.25;1.588235294117647;1;0.1;0.3;2
500;72;0.144;3;0.144;2;0.288;3;0.015333333333333332;0.3333333333333333;1.3505154639175259;2;0.1;0.3;2
500;121;0.242;6;0.242;3;0.484;6;0.05893333333333333;0.4214876033057851;1.560747663551402;0;0.1;0.5;2
500;92;0.184;20;0.184;3;0.368;20;0.02490877192982456;0.10975609756097561;1.9576719576719577;1;0.1;0.5;2
500;100;0.2;6;0.2;2;0.4;6;0.03213333333333333;0.32;1.475609756097561;2;0.1;0.5;2
500;178;0.356;11;0.356;5;0.712;11;0.07308528138528138;0.3248407643312102;2.1072727272727274;0;0.1;0.7;2
500;202;0.404;94;0.404;4;0.808;94;0.08005420176940423;0.027499467064591773;2.3950799838687997;1;0.1;0.7;2
500;146;0.292;8;0.292;3;0.584;8;0.04303333333333333;0.22959183673469388;1.662613981762918;2;0.1;0.7;2
500;304;0.608;35;0.608;5;1.216;35;0.1551202401463271;0.14335664335664336;2.717714672075727;0;0.1;0.9;2
500;608;1.216;425;1.216;4;2.432;425;0.3672577887764536;0.006018021178172889;2.0454687924441566;1;0.1;0.9;2
500;249;0.498;29;0.498;3;0.996;29;0.11579648314273061;0.12417685794920037;2.7687588485134498;2;0.1;0.9;2
500;399;0.798;55;0.798;5;1.596;55;0.22550388165899007;0.10660324566312256;3.659949010562098;0;0.1;1.0;2
500;735;1.47;499;1.47;4;2.94;499;0.4888124607938824;0.006406200569440051;1.9941082164328656;1;0.1;1.0;2
500;332;0.664;39;0.664;4;1.328;39;0.16474536246291963;0.10077167498865183;2.7275541795665634;2;0.1;1.0;2
500;255;0.51;6;0.51;4;1.02;7;0.12859047619047617;0.42;3.0521172638436482;0;0.4;0.1;2
500;173;0.346;6;0.346;3;0.692;6;0.06166666666666666;0.35664335664335667;2.1382716049382715;1;0.4;0.1;2
500;215;0.43;5;0.43;3;0.86;5;0.12913333333333332;0.5442477876106194;1.8721227621483376;2;0.4;0.1;2
500;327;0.654;8;0.654;4;1.308;8;0.1797095238095238;0.39067524115755625;3.3901554404145076;0;0.4;0.3;2
500;245;0.49;19;0.49;4;0.98;19;0.10124715576820839;0.29831144465290804;2.6924778761061945;1;0.4;0.3;2
500;278;0.556;8;0.556;3;1.112;8;0.16484761904761908;0.5;2.189189189189189;2;0.4;0.3;2
500;450;0.9;24;0.9;5;1.8;24;0.28927165684557;0.29980657640232106;4.677534662045061;0;0.4;0.5;2
500;371;0.742;79;0.742;4;1.484;79;0.20978092634549508;0.09559939301972686;2.8823363165332077;1;0.4;0.5;2
500;386;0.772;17;0.772;4;1.544;17;0.20621592492474844;0.3191489361702128;3.247863247863248;2;0.4;0.5;2
500;690;1.38;52;1.38;5;2.76;52;0.4584727521445573;0.22648932184338705;3.8597430992074337;0;0.4;0.7;2
500;761;1.522;333;1.522;5;3.044;333;0.510867300241999;0.021897810218978103;2.396872209428021;1;0.4;0.7;2
500;581;1.162;41;1.162;5;2.324;41;0.36717451963129677;0.21635036496350366;3.697582212547617;2;0.4;0.7;2
500;1190;2.38;130;2.38;8;4.76;130;0.646675627126615;0.15330745528032333;4.5259687982767245;0;0.4;0.9;2
500;1237;2.474;499;2.474;7;4.948;499;0.7996728166937722;0.024799001029640503;1.9900841683366735;1;0.4;0.9;2
500;956;1.912;101;1.912;5;3.824;101;0.5886923731779545;0.13672702425691835;6.462323149477138;2;0.4;0.9;2
500;1632;3.264;198;3.264;9;6.528;198;0.6809574694316548;0.10762331838565023;3.4780418713018992;0;0.4;1.0;2
500;1448;2.896;499;2.896;7;5.792;499;0.8321738769586158;0.031195429414904483;1.9883927855711423;1;0.4;1.0;2
500;1319;2.638;181;2.638;7;5.276;181;0.6568672852261321;0.10185585975543772;3.9224623894584787;2;0.4;1.0;2
500;439;0.878;9;0.878;4;1.756;9;0.2591809523809524;0.4294478527607362;3.765173836181497;0;0.7;0.1;2
500;311;0.622;11;0.622;4;1.244;11;0.12911774891774888;0.328125;3.4027397260273973;1;0.7;0.1;2
500;370;0.74;8;0.74;4;1.48;9;0.23097777777777775;0.45;3.9479793637145315;2;0.7;0.1;2
500;549;1.098;16;1.098;5;2.196;16;0.33120547785547794;0.3864013266998342;6.331766964781972;0;0.7;0.3;2
500;425;0.85;31;0.85;4;1.7;31;0.21327437693025939;0.2546201232032854;4.509554140127388;1;0.7;0.3;2
500;489;0.978;14;0.978;4;1.956;14;0.2913471528471528;0.37809452363090773;4.715614356824731;2;0.7;0.3;2
500;809;1.618;38;1.618;5;3.236;38;0.47670395117076014;0.3154518950437318;5.744977627613917;0;0.7;0.5;2
500;689;1.378;126;1.378;6;2.756;126;0.39141056229594157;0.11651573149099057;3.897056108318802;1;0.7;0.5;2
500;683;1.366;25;1.366;5;2.732;25;0.39620566844919786;0.3155963302752294;8.189594372208257;2;0.7;0.5;2
500;1211;2.422;87;2.422;7;4.844;87;0.6130783745721479;0.23994989860431826;4.638998753860324;0;0.7;0.7;2
500;1280;2.56;468;2.56;7;5.12;468;0.7475412650384605;0.03198115366037608;2.095076482994352;1;0.7;0.7;2
500;1042;2.084;65;2.084;6;4.168;65;0.5805014456475104;0.23008371590602214;5.630941847915917;2;0.7;0.7;2
500;2053;4.106;204;4.106;10;8.212;204;0.7646470266513528;0.14871195933481093;3.067807103290974;0;0.7;0.9;2
500;1796;3.592;499;3.592;8;7.184;499;0.8275345020525859;0.048405758616111225;1.9856032064128257;1;0.7;0.9;2
500;1702;3.404;191;3.404;8;6.808;191;0.7499264350787793;0.14283968719452592;3.262414589948629;2;0.7;0.9;2
