n_vertices;n_edges;indegree_mean;indegree_max;outdegree_mean;outdegree_max;total_degree_mean;total_degree_max;avg_local_clustering;global_clustering;avg_shortest_path_length;seed;beta;gamma;dim
200;0;0.0;0;0.0;0;0.0;0;0.0;0.0;0.0;0;0.0;0.0;2
200;0;0.0;0;0.0;0;0.0;0;0.0;0.0;0.0;1;0.0;0.0;2
200;0;0.0;0;0.0;0;0.0;0;0.0;0.0;0.0;2;0.0;0.0;2
200;0;0.0;0;0.0;0;0.0;0;0.0;0.0;0.0;3;0.0;0.0;2
200;0;0.0;0;0.0;0;0.0;0;0.0;0.0;0.0;4;0.0;0.0;2
200;0;0.0;0;0.0;0;0.0;0;0.0;0.0;0.0;0;0.0;0.4;2
200;0;0.0;0;0.0;0;0.0;0;0.0;0.0;0.0;1;0.0;0.4;2
200;0;0.0;0;0.0;0;0.0;0;0.0;0.0;0.0;2;0.0;0.4;2
200;0;0.0;0;0.0;0;0.0;0;0.0;0.0;0.0;3;0.0;0.4;2
200;0;0.0;0;0.0;0;0.0;0;0.0;0.0;0.0;4;0.0;0.4;2
200;0;0.0;0;0.0;0;0.0;0;0.0;0.0;0.0;0;0.0;0.8;2
200;0;0.0;0;0.0;0;0.0;0;0.0;0.0;0.0;1;0.0;0.8;2
200;0;0.0;0;0.0;0;0.0;0;0.0;0.0;0.0;2;0.0;0.8;2
200;0;0.0;0;0.0;0;0.0;0;0.0;0.0;0.0;3;0.0;0.8;2
200;0;0.0;0;0.0;0;0.0;0;0.0;0.0;0.0;4;0.0;0.8;2
200;0;0.0;0;0.0;0;0.0;0;0.0;0.0;0.0;0;0.0;1.0;2
200;0;0.0;0;0.0;0;0.0;0;0.0;0.0;0.0;1;0.0;1.0;2
200;0;0.0;0;0.0;0;0.0;0;0.0;0.0;0.0;2;0.0;1.0;2
200;0;0.0;0;0.0;0;0.0;0;0.0;0.0;0.0;3;0.0;1.0;2
200;0;0.0;0;0.0;0;0.0;0;0.0;0.0;0.0;4;0.0;1.0;2
200;87;0.435;3;0.435;3;0.87;4;0.09416666666666666;0.4583333333333333;1.9655172413793103;0;0.25;0.0;2
200;59;0.295;3;0.295;3;0.59;3;0.07;0.5333333333333333;1.4431818181818181;1;0.25;0.0;2
200;74;0.37;4;0.37;2;0.74;4;0.049166666666666664;0.3559322033898305;2.0718954248366015;2;0.25;0.0;2
200;84;0.42;5;0.42;3;0.84;6;0.11483333333333334;0.5257731958762887;2.25531914893617;3;0.25;0.0;2
200;83;0.415;3;0.415;3;0.83;4;0.155;0.6666666666666666;1.3063063063063063;4;0.25;0.0;2
200;123;0.615;6;0.615;3;1.23;7;0.18147619047619049;0.47802197802197804;2.132716049382716;0;0.25;0.4;2
200;107;0.535;8;0.535;3;1.07;8;0.1773690476190476;0.41379310344827586;2.129370629370629;1;0.25;0.4;2
200;131;0.655;11;0.655;3;1.31;11;0.17116883116883116;0.3490909090909091;2.6204506065857887;2;0.25;0.4;2
200;146;0.73;14;0.73;5;1.46;14;0.20023609723609728;0.3939393939393939;2.86927374301676;3;0.25;0.4;2
200;136;0.68;8;0.68;4;1.36;8;0.2378333333333333;0.45977011494252873;3.0418679549114334;4;0.25;0.4;2
200;197;0.985;28;0.985;5;1.97;28;0.29708435083435086;0.2661290322580645;3.453461975028377;0;0.25;0.8;2
200;233;1.165;67;1.165;4;2.33;67;0.363527837005449;0.10014513788098693;3.0488552079974203;1;0.25;0.8;2
200;285;1.425;61;1.425;4;2.85;61;0.49309778055884623;0.14106280193236714;3.2815669119109168;2;0.25;0.8;2
200;322;1.61;66;1.61;6;3.22;66;0.48257705740494594;0.15592662276575728;3.673542168674699;3;0.25;0.8;2
200;287;1.435;43;1.435;6;2.87;43;0.5176683527965125;0.21944922547332185;4.784090909090909;4;0.25;0.8;2
200;330;1.65;81;1.65;6;3.3;81;0.46785986230670157;0.1371499176276771;3.2577753633030015;0;0.25;1.0;2
200;418;2.09;182;2.09;6;4.18;182;0.6943010607867619;0.053156516409427756;2.0474261603375528;1;0.25;1.0;2
200;521;2.605;174;2.605;6;5.21;174;0.753838985244862;0.07644799667843055;2.1900999424415257;2;0.25;1.0;2
200;565;2.825;161;2.825;7;5.65;161;0.7030649907817427;0.08920598388952819;2.385504971219257;3;0.25;1.0;2
200;525;2.625;117;2.625;7;5.25;117;0.601498674607776;0.1057084007650434;2.706174777603349;4;0.25;1.0;2
200;153;0.765;6;0.765;3;1.53;7;0.23985714285714285;0.47808764940239046;2.4087912087912087;0;0.5;0.0;2
200;137;0.685;4;0.685;4;1.37;5;0.1981666666666667;0.43859649122807015;2.090909090909091;1;0.5;0.0;2
200;157;0.785;5;0.785;4;1.57;6;0.21899999999999997;0.41935483870967744;2.608156028368794;2;0.5;0.0;2
200;164;0.82;7;0.82;5;1.64;8;0.18858333333333335;0.45;3.9951923076923075;3;0.5;0.0;2
200;171;0.855;6;0.855;4;1.71;7;0.2642142857142857;0.5205882352941177;3.278481012658228;4;0.5;0.0;2
200;215;1.075;14;1.075;5;2.15;14;0.3190144855144855;0.46367851622874806;4.32516437537358;0;0.5;0.4;2
200;221;1.105;16;1.105;4;2.21;16;0.371061507936508;0.3894230769230769;3.8525469168900806;1;0.5;0.4;2
200;259;1.295;24;1.295;4;2.59;24;0.36703866217613024;0.3302752293577982;3.996917657419639;2;0.5;0.4;2
200;276;1.38;23;1.38;6;2.76;24;0.3476657859049164;0.35255948089401584;4.090586477400075;3;0.5;0.4;2
200;272;1.36;20;1.36;6;2.72;20;0.43641811112863743;0.42385321100917434;3.207522269877928;4;0.5;0.4;2
200;410;2.05;68;2.05;7;4.1;68;0.5427980803608513;0.24469413233458176;4.475577230816125;0;0.5;0.8;2
200;466;2.33;140;2.33;6;4.66;140;0.7274570892062383;0.10734985300293994;2.3205934953964364;1;0.5;0.8;2
200;608;3.04;132;3.04;6;6.08;132;0.7161381944319597;0.15658816040738383;2.591011353529012;2;0.5;0.8;2
200;634;3.17;122;3.17;8;6.34;122;0.7279725014836369;0.16377171215880892;2.619859111157153;3;0.5;0.8;2
200;606;3.03;85;3.03;8;6.06;85;0.7256312238012468;0.22545317220543806;2.745278946800475;4;0.5;0.8;2
200;645;3.225;167;3.225;12;6.45;167;0.7306010735706026;0.12678090103966114;2.365427135678392;0;0.5;1.0;2
200;642;3.21;199;3.21;7;6.42;199;0.8004459505348879;0.09716254560194568;1.9677386934673367;1;0.5;1.0;2
200;909;4.545;199;4.545;9;9.09;199;0.7932443738843612;0.14034539567119242;1.954321608040201;2;0.5;1.0;2
200;977;4.885;199;4.885;12;9.77;199;0.817409359928313;0.12890302066772655;1.9509045226130652;3;0.5;1.0;2
200;989;4.945;187;4.945;11;9.89;187;0.8179734505957758;0.1417574034260351;1.9526633165829146;4;0.5;1.0;2
200;221;1.105;7;1.105;5;2.21;8;0.3814642857142857;0.521978021978022;3.0272536687631026;0;0.75;0.0;2
200;209;1.045;8;1.045;4;2.09;8;0.3554642857142856;0.47198275862068967;3.48479427549195;1;0.75;0.0;2
200;230;1.15;10;1.15;4;2.3;10;0.3020912698412699;0.4230769230769231;3.993738819320215;2;0.75;0.0;2
200;250;1.25;10;1.25;5;2.5;11;0.25693434343434335;0.40762812872467225;6.245790629575403;3;0.75;0.0;2
200;240;1.2;8;1.2;5;2.4;8;0.36284523809523805;0.5509325681492109;4.211123723041998;4;0.75;0.0;2
200;319;1.595;18;1.595;6;3.19;18;0.45512608796432324;0.4823441021788129;4.797972304648862;0;0.75;0.4;2
200;319;1.595;24;1.595;5;3.19;24;0.505139708117969;0.3696581196581197;6.027097221019825;1;0.75;0.4;2
