n_vertices;n_edges;degree_mean;degree_max;degree_min;avg_local_clustering;global_clustering;avg_shortest_path_length;powerlaw_alpha;powerlaw_k_min;powerlaw_n_tail;seed;beta;gamma;dim
100;670;13.4;29;4;0.5658757917093954;0.48855741724560686;2.424040404040404;3.5515951982926577;10;76;0;0.05;0.0;2
100;877;17.54;38;4;0.595058002883587;0.5176976693530821;2.180808080808081;9.471350677392206;27;25;1;0.05;0.0;2
100;869;17.38;33;6;0.6002628736867001;0.525691699604743;2.207272727272727;6.253393047156798;20;42;2;0.05;0.0;2
100;655;13.1;24;3;0.5562466626155882;0.5009570994257403;2.505858585858586;3.900073671512018;10;79;3;0.05;0.0;2
100;634;12.68;30;4;0.5653692590076124;0.5078284547311096;2.5167676767676768;7.544644995584607;19;12;4;0.05;0.0;2
100;789;15.78;36;5;0.5989819154349539;0.5145589798087141;2.263838383838384;5.6527834946946935;19;35;5;0.05;0.0;2
100;762;15.24;33;4;0.5988552352111515;0.5021373820754716;2.292929292929293;5.961014130611866;21;24;6;0.05;0.0;2
100;719;14.38;30;3;0.5854592634691618;0.4958490566037736;2.3076767676767678;3.2789641741457007;11;64;7;0.05;0.0;2
100;681;13.62;33;2;0.55044387601748;0.5043371676409579;2.4226262626262627;3.117178747266084;9;80;8;0.05;0.0;2
100;748;14.96;31;4;0.5833054261580124;0.502703992365198;2.327676767676768;6.293017997434268;19;31;9;0.05;0.0;2
100;748;14.96;40;4;0.5967664066401869;0.49538679914833217;2.265858585858586;4.862390930496159;17;33;0;0.05;0.1;2
100;979;19.58;42;4;0.6187121324698694;0.5277382645803699;2.087878787878788;2.6110752039773013;10;92;1;0.05;0.1;2
100;953;19.06;35;7;0.6082247407846074;0.5260579064587974;2.1216161616161617;6.305321720382985;24;28;2;0.05;0.1;2
100;731;14.62;31;3;0.5765412566413853;0.5061825835306498;2.347272727272727;5.523873200512298;16;37;3;0.05;0.1;2
100;682;13.64;32;4;0.5874034379502769;0.5077234987449315;2.4004040404040405;6.347967944306681;18;23;4;0.05;0.1;2
100;890;17.8;58;6;0.6237894390909974;0.5131642707155548;2.1076767676767676;5.761881668533256;23;27;5;0.05;0.1;2
100;825;16.5;39;4;0.6164326959456234;0.5096052875409228;2.2234343434343433;4.9603804061700245;22;24;6;0.05;0.1;2
100;790;15.8;33;3;0.6012792494613864;0.5028397284942513;2.2234343434343433;3.1023949642699966;11;71;7;0.05;0.1;2
100;761;15.22;36;4;0.575539290414828;0.5092867756315007;2.3115151515151515;8.22199557739796;26;11;8;0.05;0.1;2
100;840;16.8;38;4;0.6013416176393895;0.5098997648805841;2.213131313131313;8.54064174980028;28;10;9;0.05;0.1;2
100;848;16.96;68;4;0.6209080055876501;0.48966438276622926;2.0745454545454547;4.829926668074741;21;25;0;0.05;0.2;2
100;1092;21.84;46;5;0.6419699238867699;0.5325302041383141;1.9943434343434343;2.6053194954826253;11;94;1;0.05;0.2;2
100;1040;20.8;44;8;0.6212772814782681;0.5279250400690421;2.026060606060606;4.759872238753077;21;49;2;0.05;0.2;2
100;826;16.52;45;3;0.6055383660103589;0.5062903330943224;2.190909090909091;3.598773073509014;12;78;3;0.05;0.2;2
100;760;15.2;47;4;0.6006879145958978;0.5007110246239054;2.230909090909091;5.146049753606029;22;13;4;0.05;0.2;2
100;1019;20.38;99;8;0.6679966569393017;0.49378175475847425;1.794141414141414;4.313411534479164;23;30;5;0.05;0.2;2
100;913;18.26;51;4;0.6323150203468391;0.5150960205899822;2.1103030303030303;4.890663803186932;24;26;6;0.05;0.2;2
100;857;17.14;40;4;0.6245238723844767;0.5107015804513909;2.15010101010101;3.0750478054096604;11;81;7;0.05;0.2;2
100;857;17.14;42;5;0.600338467793222;0.5089700234997421;2.1686868686868688;3.3282538487002693;13;65;8;0.05;0.2;2
100;928;18.56;48;5;0.6288526359468307;0.5167258732978094;2.0894949494949495;5.271332118501179;23;30;9;0.05;0.2;2
100;944;18.88;92;5;0.6575682008799635;0.48525277765383074;1.8743434343434344;3.43664286640003;13;80;0;0.05;0.3;2
100;1228;24.56;54;7;0.6602156465120561;0.5392434273783687;1.8923232323232324;2.7310938312120707;13;93;1;0.05;0.3;2
100;1152;23.04;63;9;0.6436268360545995;0.5355110849519326;1.9032323232323232;4.373085060399309;22;51;2;0.05;0.3;2
100;911;18.22;54;4;0.6228581519954323;0.5004119888763003;2.0575757575757576;3.6291198092451764;13;80;3;0.05;0.3;2
100;834;16.68;61;4;0.6216088661362131;0.49636920122426936;2.105656565656566;4.1026560559981515;15;57;4;0.05;0.3;2
100;1115;22.3;99;8;0.678416738845914;0.5052651671809881;1.7747474747474747;4.238104374580523;25;31;5;0.05;0.3;2
100;1019;20.38;62;5;0.6528288205778966;0.5229764404012129;1.9957575757575758;2.911692120444746;14;67;6;0.05;0.3;2
100;937;18.74;48;6;0.6379008898892847;0.5129848229342328;2.0654545454545454;7.695124813878519;32;12;7;0.05;0.3;2
100;967;19.34;51;5;0.6295386382399251;0.5147890101222559;2.026666666666667;3.9056322859677017;21;34;8;0.05;0.3;2
100;1042;20.84;64;5;0.6477698724071709;0.517557251908397;1.9573737373737374;4.797955636708038;26;26;9;0.05;0.3;2
100;1028;20.56;99;6;0.6654184742452071;0.491764440433213;1.7923232323232323;3.58988136118641;15;73;0;0.05;0.4;2
100;1386;27.72;66;9;0.6816893974976236;0.5503857744341619;1.7933333333333332;2.7982606726712547;16;84;1;0.05;0.4;2
100;1274;25.48;79;10;0.6679630466292507;0.540486783564512;1.802828282828283;4.3854524438367;30;24;2;0.05;0.4;2
100;1036;20.72;79;7;0.6514597445433887;0.49203172205438067;1.8664646464646464;4.127480697149613;21;35;3;0.05;0.4;2
100;948;18.96;86;6;0.6492264595860514;0.4872665534804754;1.885050505050505;3.9134625784749675;17;54;4;0.05;0.4;2
100;1235;24.7;99;8;0.6883414871711172;0.5143456419286343;1.7505050505050506;4.064076761069403;28;29;5;0.05;0.4;2
100;1139;22.78;81;6;0.6674513312914715;0.5213000367242012;1.8666666666666667;2.9251104500826557;14;81;6;0.05;0.4;2
100;1043;20.86;57;7;0.6527918673711788;0.5162180814354728;1.9513131313131313;2.9196694268771104;12;90;7;0.05;0.4;2
