n_vertices;n_edges;indegree_mean;indegree_max;outdegree_mean;outdegree_max;total_degree_mean;total_degree_max;avg_local_clustering;global_clustering;avg_shortest_path_length;seed;beta;gamma;dim
200;0;0.0;0;0.0;0;0.0;0;0.0;0.0;0.0;0;0.0;0.0;2
200;0;0.0;0;0.0;0;0.0;0;0.0;0.0;0.0;0;0.0;0.4;2
200;0;0.0;0;0.0;0;0.0;0;0.0;0.0;0.0;0;0.0;0.8;2
200;0;0.0;0;0.0;0;0.0;0;0.0;0.0;0.0;0;0.0;1.0;2
200;87;0.435;3;0.435;3;0.87;4;0.09416666666666666;0.4583333333333333;1.9655172413793103;0;0.25;0.0;2
200;123;0.615;6;0.615;3;1.23;7;0.18147619047619049;0.47802197802197804;2.132716049382716;0;0.25;0.4;2
200;197;0.985;28;0.985;5;1.97;28;0.29708435083435086;0.2661290322580645;3.453461975028377;0;0.25;0.8;2
200;330;1.65;81;1.65;6;3.3;81;0.46785986230670157;0.1371499176276771;3.2577753633030015;0;0.25;1.0;2
200;153;0.765;6;0.765;3;1.53;7;0.23985714285714285;0.47808764940239046;2.4087912087912087;0;0.5;0.0;2
200;215;1.075;14;1.075;5;2.15;14;0.3190144855144855;0.46367851622874806;4.32516437537358;0;0.5;0.4;2
200;410;2.05;68;2.05;7;4.1;68;0.5427980803608513;0.24469413233458176;4.475577230816125;0;0.5;0.8;2
200;645;3.225;167;3.225;12;6.45;167;0.7306010735706026;0.12678090103966114;2.365427135678392;0;0.5;1.0;2
200;221;1.105;7;1.105;5;2.21;8;0.3814642857142857;0.521978021978022;3.0272536687631026;0;0.75;0.0;2
200;319;1.595;18;1.595;6;3.19;18;0.45512608796432324;0.4823441021788129;4.797972304648862;0;0.75;0.4;2
200;631;3.155;104;3.155;11;6.31;104;0.691295410178177;0.243576017130621;3.4824157041487545;0;0.75;0.8;2
200;932;4.66;196;4.66;13;9.32;196;0.8013135477146982;0.15902964959568733;1.9773366834170854;0;0.75;1.0;2
200;294;1.47;9;1.47;5;2.94;10;0.41565079365079355;0.5149948293691831;8.373516168645109;0;1.0;0.0;2
200;430;2.15;23;2.15;9;4.3;23;0.5717381700425178;0.48964677222898906;5.031783295711061;0;1.0;0.4;2
200;820;4.1;135;4.1;11;8.2;135;0.7379028322852078;0.24120922832140015;2.5867819961671934;0;1.0;0.8;2
200;1164;5.82;199;5.82;13;11.64;199;0.7836995514499497;0.18197947028260042;1.9415075376884423;0;1.0;1.0;2
200;350;1.75;10;1.75;6;3.5;12;0.4650220057720058;0.5032967032967033;8.46837158864992;0;1.25;0.0;2
200;536;2.68;28;2.68;10;5.36;28;0.6302267934064611;0.49690777090615756;5.1935643837126015;0;1.25;0.4;2
200;993;4.965;169;4.965;13;9.93;169;0.7558060197980254;0.22635240369639706;2.1810224270989798;0;1.25;0.8;2
200;1373;6.865;199;6.865;14;13.73;199;0.7790368855756132;0.19644844517184942;1.931005025125628;0;1.25;1.0;2
200;428;2.14;10;2.14;7;4.28;12;0.5344256854256857;0.5252976190476191;7.4695462266440185;0;1.5;0.0;2
200;629;3.145;33;3.145;11;6.29;33;0.6424828670168838;0.49569303054032887;4.525691494872061;0;1.5;0.4;2
200;1196;5.98;187;5.98;14;11.96;187;0.7560987203752884;0.23697684489390428;2.031256281407035;0;1.5;0.8;2
200;1581;7.905;199;7.905;17;15.81;199;0.7715877976101541;0.21667389771679593;1.9205527638190956;0;1.5;1.0;2
200;491;2.455;10;2.455;9;4.91;13;0.5621228216228217;0.533357771260997;5.922495933069952;0;1.75;0.0;2
200;732;3.66;38;3.66;11;7.32;38;0.6365085509866097;0.4763785079678466;3.9608265395067423;0;1.75;0.4;2
200;1369;6.845;194;6.845;15;13.69;194;0.7557236138128899;0.25305791313030457;1.964924623115578;0;1.75;0.8;2
200;1782;8.91;199;8.91;18;17.82;199;0.7759032791408897;0.24125655902545018;1.9104522613065327;0;1.75;1.0;2
200;573;2.865;12;2.865;10;5.73;14;0.5945440670440671;0.5471443965517241;5.225352112676056;0;2.0;0.0;2
200;838;4.19;43;4.19;13;8.38;43;0.6376343452813684;0.4750027112026895;3.594170854271357;0;2.0;0.4;2
200;1536;7.68;197;7.68;17;15.36;197;0.7525899376559867;0.26947995097180877;1.934422110552764;0;2.0;0.8;2
200;1950;9.75;199;9.75;20;19.5;199;0.7670063055464221;0.2610249550641642;1.9020100502512562;0;2.0;1.0;2
