n_vertices;n_edges;indegree_mean;indegree_max;outdegree_mean;outdegree_max;total_degree_mean;total_degree_max;avg_local_clustering;vertices_degree_ge_2;global_clustering;avg_shortest_path_length;closed_wedges;wedges;indegree_alpha;indegree_xmin;indegree_KS;indegree_LRT_exp_R;indegree_LRT_exp_p;indegree_LRT_log_R;indegree_LRT_log_p;indegree_LRT_trunc_R;indegree_LRT_trunc_p;seed;beta;gamma;dim
200;333;1.665;10;1.665;6;3.33;11;0.6099387873273223;157;0.5178849144634525;7.810622317596566;666.0;1286.0;2.988649225782434;3.0;0.07026111582304018;-1.0151283596468947;0.31004464464592696;-1.4118809904614624;0.15798500587970488;-1.66456616402938;0.052207169874476156;0;1.5;0.2;2
200;314;1.57;12;1.57;5;3.14;12;0.5705269195952425;161;0.4371584699453552;7.021836270128994;480.0;1098.0;2.9822434780590426;3.0;0.029882891326016625;-0.6521063496582672;0.5143325681603435;-1.2775145473751994;0.20142064785196656;-1.4895028731736342;0.0892174725904511;1;1.5;0.2;2
200;369;1.845;19;1.845;6;3.69;19;0.5475367694171722;154;0.41429339065018805;5.933789450452439;771.0;1861.0;2.2530482824009903;2.0;0.053629211877440186;0.1567214308809502;0.875464396392917;-1.7369967805018625;0.08238773914619187;-2.1028880661694593;0.015808210496875863;2;1.5;0.2;2
200;391;1.955;20;1.955;8;3.91;21;0.5422311782698976;158;0.4242973708068903;5.566038973820615;936.0;2206.0;2.541363552530072;3.0;0.07618691894431617;-0.7524709727229458;0.4517678796456758;-1.4565433497309461;0.14524247509707036;-1.5605425698304187;0.020693867166231672;3;1.5;0.2;2
200;386;1.93;18;1.93;7;3.86;18;0.6304462048236859;163;0.4844919786096257;4.867087527725644;906.0;1870.0;2.6967446330392155;3.0;0.09052730926993346;-1.0379084400246497;0.29931268381439013;-1.4781803856631914;0.13935950243934828;-1.5460726863543561;0.015242412486452861;4;1.5;0.2;2
200;414;2.07;23;2.07;8;4.14;23;0.6588255749520572;165;0.48051391862955034;5.031336317744547;1122.0;2335.0;2.535922643879518;3.0;0.09621473370706346;-0.10053937567018469;0.919916123922229;-1.2345285543043594;0.2170060132870938;-1.3957064602825218;0.052098442540767786;0;1.5;0.4;2
200;402;2.01;34;2.01;6;4.02;34;0.653443145791102;177;0.3542713567839196;4.902757314249632;846.0;2388.0;2.539614196053338;3.0;0.033052310495575665;0.7868244576274802;0.4313846341238824;-0.7243129804170192;0.4688736097351486;-0.8449744963889774;0.2526461641286579;1;1.5;0.4;2
200;503;2.515;34;2.515;7;5.03;34;0.6327003857140915;178;0.37107740585774057;4.131199740946625;1419.0;3824.0;2.821013167518834;5.0;0.044131917570946255;1.2534261818533132;0.2100506480723784;-0.3677056627299985;0.7130927176940695;-0.6419185180016644;0.5457618362775147;2;1.5;0.4;2
200;540;2.7;42;2.7;8;5.4;42;0.6494051222017321;177;0.377442996742671;3.932352243057204;1854.0;4912.0;2.1922612258363494;3.0;0.09075154318203266;-0.21165489273661864;0.8323762811372656;-1.593048903827113;0.11114922064482895;-1.6001472456816794;0.009549888109357196;3;1.5;0.4;2
200;506;2.53;34;2.53;7;5.06;34;0.6774934827963499;184;0.41822849807445445;3.7468827930174564;1629.0;3895.0;2.870685311468586;5.0;0.0592719753939448;1.4544016835470286;0.1458349734738768;-0.2973841388032283;0.766173251644932;-0.6047113409664491;0.6237446355038732;4;1.5;0.4;2
200;545;2.725;52;2.725;10;5.45;52;0.7018087115410566;179;0.38272816486751715;4.552330361095302;1950.0;5095.0;2.7443334557848735;6.0;0.04573116450129483;1.2560188337856575;0.2091091417480616;-0.2288512508720165;0.818984531200895;-0.45271992015784074;0.6850532065018045;0;1.5;0.6;2
200;559;2.795;91;2.795;8;5.59;91;0.6919190184880781;191;0.23601672765290121;3.1437978995174567;1806.0;7652.0;2.3388237017249134;3.0;0.028473888816253345;1.4149788976184245;0.15707468332282362;-0.3636808739187409;0.716096327156661;-0.4690514047929048;0.5538629600929892;1;1.5;0.6;2
200;730;3.65;87;3.65;9;7.3;87;0.7220840041014235;195;0.2854213107445386;2.9198492462311556;3201.0;11215.0;1.8786821228387944;2.0;0.05209377672808774;1.2678934551120284;0.20483600168625582;-1.6936934150175926;0.09032355642066617;-1.8420966511096295;0.008859003726070735;2;1.5;0.6;2
200;752;3.76;86;3.76;10;7.52;86;0.7164181848189851;191;0.2834428986393518;2.8202631306329637;3708.0;13082.0;2.036592874301023;3.0;0.0679766064389648;1.11932774616778;0.2630003430381177;-1.1545031723687043;0.24829393871402683;-1.2875664359470016;0.061462720903601165;3;1.5;0.6;2
200;711;3.555;64;3.555;10;7.11;64;0.7250189284379207;192;0.3298270456154546;2.9398647911896196;3261.0;9887.0;2.388237852544877;5.0;0.04347795296193502;2.130495349445068;0.03313073935066648;-0.3864054656047947;0.6991964029054181;-0.8067480952705777;0.49050693277788115;4;1.5;0.6;2
200;652;3.26;84;3.26;11;6.52;84;0.7275758968646602;187;0.30514394580863674;3.6442740974775987;2883.0;9448.0;2.5138795705286587;5.0;0.04910197089615753;1.9851515690720432;0.047127610769853924;-0.012132444522480811;0.9903199473091427;-0.37850057762577655;0.7972534963872038;0;1.5;0.7;2
200;688;3.44;151;3.44;8;6.88;151;0.729889876538344;198;0.173421926910299;2.485000761382671;2871.0;16555.0;2.3546287622576996;4.0;0.03792955949185717;1.5888157589389837;0.1121019943470829;-0.036703632031879554;0.9707213126534255;-0.17765196891390206;0.8397255409185684;1;1.5;0.7;2
200;896;4.48;142;4.48;10;8.96;142;0.751096197417929;199;0.23161457850319947;2.3694472361809047;4995.0;21566.0;1.9823212259539476;3.0;0.049145094458369454;1.6326717333506064;0.10253805547477451;-0.9761346212494894;0.32899775664453723;-1.170417665284971;0.12111566284596675;2;1.5;0.7;2
200;936;4.68;139;4.68;11;9.36;139;0.745295396750842;196;0.23145795523290985;2.3558702603928734;5739.0;24795.0;1.937643693876585;3.0;0.07373238777835145;1.3383738100017044;0.1807746119577468;-1.157707719398191;0.24698333269747064;-1.2743913438097871;0.06234053984416399;3;1.5;0.7;2
200;866;4.33;106;4.33;11;8.66;106;0.7514836587418469;197;0.2618235007313506;2.473366834170854;4833.0;18459.0;2.0579871311207496;3.0;0.07638528983910547;2.2287365603268032;0.025831438158902816;-0.799401543904784;0.42405761551265564;-1.225396632979392;0.22238483560338873;4;1.5;0.7;2
