n_vertices;n_edges;indegree_mean;indegree_max;outdegree_mean;outdegree_max;total_degree_mean;total_degree_max;avg_local_clustering;vertices_degree_ge_2;global_clustering;avg_shortest_path_length;seed;beta;gamma;dim
200;9;0.045;1;0.045;2;0.09;2;0.0;1;0.0;1.1;0;0.05;0.05;2
200;8;0.04;2;0.04;2;0.08;3;0.7777777777777778;3;0.6;1.2;1;0.05;0.05;2
200;8;0.04;1;0.04;1;0.08;2;0.0;1;0.0;1.1111111111111112;2;0.05;0.05;2
200;9;0.045;2;0.045;1;0.09;2;0.0;2;0.0;1.1818181818181819;3;0.05;0.05;2
200;17;0.085;2;0.085;1;0.17;2;0.0;1;0.0;1.0555555555555556;4;0.05;0.05;2
200;15;0.075;2;0.075;2;0.15;2;1.0;6;1.0;1.0;5;0.05;0.05;2
200;11;0.055;1;0.055;1;0.11;1;0.0;0;0.0;1.0;6;0.05;0.05;2
200;10;0.05;2;0.05;2;0.1;2;1.0;3;1.0;1.0;7;0.05;0.05;2
200;9;0.045;1;0.045;1;0.09;1;0.0;0;0.0;1.0;8;0.05;0.05;2
200;12;0.06;1;0.06;1;0.12;1;0.0;0;0.0;1.0;9;0.05;0.05;2
200;10;0.05;1;0.05;2;0.1;2;0.0;1;0.0;1.0909090909090908;0;0.05;0.15;2
200;8;0.04;2;0.04;2;0.08;3;0.7777777777777778;3;0.6;1.2;1;0.05;0.15;2
200;9;0.045;1;0.045;1;0.09;2;0.0;1;0.0;1.1;2;0.05;0.15;2
200;9;0.045;2;0.045;1;0.09;2;0.0;2;0.0;1.1818181818181819;3;0.05;0.15;2
200;17;0.085;2;0.085;1;0.17;2;0.0;1;0.0;1.0555555555555556;4;0.05;0.15;2
200;16;0.08;3;0.08;2;0.16;3;0.8888888888888888;6;0.75;1.1111111111111112;5;0.05;0.15;2
200;12;0.06;2;0.06;1;0.12;2;0.0;1;0.0;1.0769230769230769;6;0.05;0.15;2
200;11;0.055;2;0.055;2;0.11;2;1.0;3;1.0;1.0;7;0.05;0.15;2
200;9;0.045;1;0.045;1;0.09;1;0.0;0;0.0;1.0;8;0.05;0.15;2
200;13;0.065;1;0.065;1;0.13;1;0.0;0;0.0;1.0;9;0.05;0.15;2
200;11;0.055;1;0.055;2;0.11;2;0.0;1;0.0;1.0833333333333333;0;0.05;0.25;2
200;9;0.045;2;0.045;2;0.09;3;0.5833333333333334;4;0.5;1.25;1;0.05;0.25;2
200;12;0.06;2;0.06;1;0.12;2;0.0;2;0.0;1.2666666666666666;2;0.05;0.25;2
200;10;0.05;2;0.05;1;0.1;2;0.0;3;0.0;1.2307692307692308;3;0.05;0.25;2
200;19;0.095;2;0.095;1;0.19;2;0.0;1;0.0;1.05;4;0.05;0.25;2
200;16;0.08;3;0.08;2;0.16;3;0.8888888888888888;6;0.75;1.1111111111111112;5;0.05;0.25;2
200;14;0.07;2;0.07;1;0.14;2;0.0;2;0.0;1.125;6;0.05;0.25;2
200;12;0.06;2;0.06;2;0.12;2;0.6;5;0.6;1.2666666666666666;7;0.05;0.25;2
200;9;0.045;1;0.045;1;0.09;1;0.0;0;0.0;1.0;8;0.05;0.25;2
