beta;gamma;dim;n_vertices_mean;n_vertices_median;n_vertices_std;n_vertices_cv;n_vertices_ci_low;n_vertices_ci_high;n_edges_mean;n_edges_median;n_edges_std;n_edges_cv;n_edges_ci_low;n_edges_ci_high;indegree_mean_mean;indegree_mean_median;indegree_mean_std;indegree_mean_cv;indegree_mean_ci_low;indegree_mean_ci_high;indegree_max_mean;indegree_max_median;indegree_max_std;indegree_max_cv;indegree_max_ci_low;indegree_max_ci_high;outdegree_mean_mean;outdegree_mean_median;outdegree_mean_std;outdegree_mean_cv;outdegree_mean_ci_low;outdegree_mean_ci_high;outdegree_max_mean;outdegree_max_median;outdegree_max_std;outdegree_max_cv;outdegree_max_ci_low;outdegree_max_ci_high;total_degree_mean_mean;total_degree_mean_median;total_degree_mean_std;total_degree_mean_cv;total_degree_mean_ci_low;total_degree_mean_ci_high;total_degree_max_mean;total_degree_max_median;total_degree_max_std;total_degree_max_cv;total_degree_max_ci_low;total_degree_max_ci_high;avg_local_clustering_mean;avg_local_clustering_median;avg_local_clustering_std;avg_local_clustering_cv;avg_local_clustering_ci_low;avg_local_clustering_ci_high;vertices_degree_ge_2_mean;vertices_degree_ge_2_median;vertices_degree_ge_2_std;vertices_degree_ge_2_cv;vertices_degree_ge_2_ci_low;vertices_degree_ge_2_ci_high;global_clustering_mean;global_clustering_median;global_clustering_std;global_clustering_cv;global_clustering_ci_low;global_clustering_ci_high;avg_shortest_path_length_mean;avg_shortest_path_length_median;avg_shortest_path_length_std;avg_shortest_path_length_cv;avg_shortest_path_length_ci_low;avg_shortest_path_length_ci_high;expected_theoretical_outdegree_mean;indegree_powerlaw_alpha_theory;indegree_ccdf_slope_theory;outdegree_mean_vs_theory_ratio
0.05;0.05;2;100.0;100.0;0.0;0.0;100.0;100.0;5.1;4.5;2.7;0.5294117647058825;3.4265226622388933;6.773477337761106;0.051000000000000004;0.045;0.027000000000000003;0.5294117647058824;0.03426522662238894;0.06773477337761107;1.1;1.0;0.3;0.2727272727272727;0.9140580735820993;1.2859419264179008;0.051000000000000004;0.045;0.027000000000000003;0.5294117647058824;0.03426522662238894;0.06773477337761107;1.0;1.0;0.0;0.0;1.0;1.0;0.10200000000000001;0.09;0.054000000000000006;0.5294117647058824;0.06853045324477788;0.13546954675522213;1.2;1.0;0.4;0.33333333333333337;0.9520774314427991;1.4479225685572008;0.0;0.0;0.0;nan;0.0;0.0;0.2;0.0;0.4000000000000001;2.0000000000000004;-0.04792256855720095;0.447922568557201;0.0;0.0;0.0;nan;0.0;0.0;1.025;1.0;0.049999999999999996;0.04878048780487805;0.9940096789303497;1.05599032106965;0.052631578947368425;21.0;-20.0;0.969
0.05;0.15;2;100.0;100.0;0.0;0.0;100.0;100.0;5.6;5.0;2.6907248094147422;0.48048657310977544;3.9322714849232803;7.267728515076719;0.05600000000000001;0.05;0.02690724809414742;0.4804865731097753;0.03932271484923281;0.07267728515076721;1.3;1.0;0.45825756949558394;0.35250582268891073;1.015969015774687;1.584030984225313;0.05600000000000001;0.05;0.02690724809414742;0.4804865731097753;0.03932271484923281;0.07267728515076721;1.1;1.0;0.3;0.2727272727272727;0.9140580735820993;1.2859419264179008;0.11200000000000002;0.1;0.05381449618829484;0.4804865731097753;0.07864542969846562;0.14535457030153442;1.3;1.0;0.45825756949558394;0.35250582268891073;1.015969015774687;1.584030984225313;0.1;0.0;0.30000000000000004;3.0000000000000004;-0.08594192641790072;0.2859419264179007;0.5;0.0;0.9219544457292888;1.8439088914585775;-0.07143328569483942;1.0714332856948394;0.1;0.0;0.30000000000000004;3.0000000000000004;-0.08594192641790072;0.2859419264179007;1.0325;1.0;0.06712860791048775;0.06501560088182833;0.9908932577579066;1.0741067422420933;0.05882352941176471;7.666666666666667;-6.666666666666667;0.9520000000000001
0.05;0.25;2;100.0;100.0;0.0;0.0;100.0;100.0;6.4;6.0;3.006659275674582;0.4697905118241534;4.536453273996061;8.26354672600394;0.064;0.060000000000000005;0.030066592756745815;0.4697905118241533;0.04536453273996061;0.0826354672600394;1.5;1.5;0.5;0.3333333333333333;1.1900967893034988;1.8099032106965012;0.064;0.060000000000000005;0.030066592756745815;0.4697905118241533;0.04536453273996061;0.0826354672600394;1.1;1.0;0.3;0.2727272727272727;0.9140580735820993;1.2859419264179008;0.128;0.12000000000000001;0.06013318551349163;0.4697905118241533;0.09072906547992123;0.1652709345200788;1.5;1.5;0.5;0.3333333333333333;1.1900967893034988;1.8099032106965012;0.1;0.0;0.30000000000000004;3.0000000000000004;-0.08594192641790072;0.2859419264179007;0.8;0.5;0.9797958971132711;1.2247448713915887;0.1927162113146772;1.407283788685323;0.1;0.0;0.30000000000000004;3.0000000000000004;-0.08594192641790072;0.2859419264179007;1.0732226107226108;1.0;0.1131087243714733;0.10539167106749284;1.0031170970416006;1.143328124403621;0.06666666666666667;5.0;-4.0;0.9600000000000001
0.05;0.35;2;100.0;100.0;0.0;0.0;100.0;100.0;7.7;6.5;4.382921400162226;0.5692105714496397;4.983437171718644;10.416562828281357;0.07700000000000001;0.065;0.043829214001622256;0.5692105714496396;0.04983437171718645;0.10416562828281357;2.4;1.5;2.9051678092667896;1.2104865871944956;0.5993583365922028;4.200641663407797;0.07700000000000001;0.065;0.043829214001622256;0.5692105714496396;0.04983437171718645;0.10416562828281357;1.2;1.0;0.4;0.33333333333333337;0.9520774314427991;1.4479225685572008;0.15400000000000003;0.13;0.08765842800324451;0.5692105714496396;0.0996687434343729;0.20833125656562715;2.4;1.5;2.9051678092667896;1.2104865871944956;0.5993583365922028;4.200641663407797;0.12545454545454543;0.0;0.2568419136259526;2.0472906158590427;-0.033737721893686845;0.2846468128027777;1.2;0.5;1.5362291495737217;1.2801909579781015;0.2478353083630963;2.1521646916369037;0.08017241379310344;0.0;0.22380778072055105;2.7915809208154756;-0.058545085855211065;0.21888991344141795;1.1449890556597873;1.0384615384615383;0.2678290430947261;0.23391406386883984;0.9789868949141329;1.3109912164054416;0.07692307692307693;3.857142857142857;-2.857142857142857;1.0010000000000001
0.05;0.45;2;100.0;100.0;0.0;0.0;100.0;100.0;11.0;8.0;10.825894882179487;0.984172262016317;4.290040834699514;17.709959165300486;0.11000000000000001;0.08;0.10825894882179486;0.9841722620163168;0.04290040834699517;0.17709959165300487;5.1;2.0;10.319399207318224;2.0234116092780834;-1.2960298936136931;11.496029893613692;0.11000000000000001;0.08;0.10825894882179486;0.9841722620163168;0.04290040834699517;0.17709959165300487;1.2;1.0;0.4;0.33333333333333337;0.9520774314427991;1.4479225685572008;0.22000000000000003;0.16;0.21651789764358972;0.9841722620163168;0.08580081669399034;0.35419918330600975;5.1;2.0;10.319399207318224;2.0234116092780834;-1.2960298936136931;11.496029893613692;0.13218820861678005;0.0;0.2673596632827214;2.022568170643797;-0.03352302750732161;0.2978994447408817;1.6;1.0;2.154065922853802;1.3462912017836262;0.26489610891137017;2.9351038910886302;0.07594339622641509;0.0;0.22470313868301411;2.958823937937826;-0.06332905203647939;0.21521584448930958;1.1777364862593664;1.0741758241758241;0.30583606905271893;0.2596812382234088;0.9881773267668976;1.3672956457518353;0.09090909090909091;3.2222222222222223;-2.2222222222222223;1.2100000000000002
0.05;0.55;2;100.0;100.0;0.0;0.0;100.0;100.0;17.8;9.5;26.995555189697434;1.5166042241403053;1.0679815443563427;34.53201845564366;0.17800000000000002;0.095;0.26995555189697434;1.516604224140305;0.010679815443563445;0.3453201845564366;11.0;2.0;26.68707552355634;2.4260977748687584;-5.54082077770024;27.54082077770024;0.17800000000000002;0.095;0.26995555189697434;1.516604224140305;0.010679815443563445;0.3453201845564366;1.3;1.0;0.45825756949558394;0.35250582268891073;1.015969015774687;1.584030984225313;0.35600000000000004;0.19;0.5399111037939487;1.516604224140305;0.02135963088712689;0.6906403691128732;11.0;2.0;26.68707552355634;2.4260977748687584;-5.54082077770024;27.54082077770024;0.2654884004884005;0.0;0.4094476956042154;1.5422432575245586;0.011710089528340462;0.5192667114484606;2.8;2.0;3.944616584663204;1.4087916373797158;0.3551013108924126;5.244898689107587;0.13384428223844283;0.0;0.3052858167537816;2.2809029392074938;-0.05537382734575841;0.32306239182264407;1.217201346536385;1.1143790849673203;0.2959603668899038;0.24314824144097089;1.0337632106601937;1.400639482412576;0.11111111111111113;2.8181818181818183;-1.8181818181818181;1.6019999999999999
0.05;0.65;2;100.0;100.0;0.0;0.0;100.0;100.0;20.3;10.5;28.969121491684902;1.4270503197874336;2.3447524773396715;38.255247522660326;0.203;0.10500000000000001;0.289691214916849;1.4270503197874336;0.023447524773396705;0.3825524752266033;12.6;2.5;28.910897599348246;2.294515682487956;-5.319159980311577;30.519159980311578;0.203;0.10500000000000001;0.289691214916849;1.4270503197874336;0.023447524773396705;0.3825524752266033;1.3;1.0;0.45825756949558394;0.35250582268891073;1.015969015774687;1.584030984225313;0.406;0.21000000000000002;0.579382429833698;1.4270503197874336;0.04689504954679341;0.7651049504532066;12.6;2.5;28.910897599348246;2.294515682487956;-5.319159980311577;30.519159980311578;0.21826427540713253;0.0;0.34602398150094377;1.5853441011154876;0.0037963897168741545;0.4327321610973909;3.1;2.0;4.011234224026317;1.293946523879457;0.6138112702371123;5.586188729762888;0.06643156596794082;0.0;0.17874201949987575;2.690618787853575;-0.044353885490835396;0.17721701742671703;1.315439319301388;1.1547619047619047;0.363510245286089;0.27634132563343505;1.0901333350309248;1.5407453035718512;0.14285714285714288;2.5384615384615383;-1.5384615384615383;1.4209999999999998
0.05;0.75;2;100.0;100.0;0.0;0.0;100.0;100.0;23.7;11.5;29.769279467262887;1.2560877412347211;5.248809425947606;42.15119057405239;0.23699999999999996;0.11499999999999999;0.29769279467262894;1.2560877412347216;0.05248809425947601;0.4215119057405239;14.3;3.0;29.1240450487222;2.0366465069036503;-3.7512701381370945;32.351270138137096;0.23699999999999996;0.11499999999999999;0.29769279467262894;1.2560877412347216;0.05248809425947601;0.4215119057405239;1.4;1.0;0.48989794855663565;0.34992710611188266;1.0963581056573384;1.7036418943426614;0.4739999999999999;0.22999999999999998;0.5953855893452579;1.2560877412347216;0.10497618851895202;0.8430238114810478;14.3;3.0;29.1240450487222;2.0366465069036503;-3.7512701381370945;32.351270138137096;0.2506285464094987;0.0;0.3323298348460935;1.3259855655193569;0.04464838075141403;0.4566087120675834;4.5;2.0;5.463515351859094;1.2141145226353542;1.113678101538485;7.8863218984615155;0.0866434549858019;0.0;0.16935294691285382;1.954595958120615;-0.01832258899261313;0.19160949896421692;1.3291761239535493;1.2052631578947368;0.3678341921996872;0.27673848903152726;1.1011901296202753;1.5571621182868234;0.2;2.333333333333333;-1.3333333333333333;1.1849999999999998
0.05;0.85;2;100.0;100.0;0.0;0.0;100.0;100.0;29.8;13.5;34.1197889794178;1.1449593617254294;8.652335693982657;50.947664306017344;0.29799999999999993;0.135;0.3411978897941779;1.1449593617254294;0.08652335693982652;0.5094766430601734;18.2;3.5;31.536645351083234;1.73278271159798;-1.3466152977951609;37.74661529779516;0.29799999999999993;0.135;0.3411978897941779;1.1449593617254294;0.08652335693982652;0.5094766430601734;1.7;2.0;0.6403124237432849;0.3766543669078147;1.3031302480661948;2.096869751933805;0.5959999999999999;0.27;0.6823957795883558;1.1449593617254294;0.17304671387965304;1.0189532861203467;18.2;3.5;31.536645351083234;1.73278271159798;-1.3466152977951609;37.74661529779516;0.42735022390778166;0.5541666666666667;0.3691932120904984;0.8639125275623278;0.19852190031938213;0.6561785474961812;7.3;4.0;8.764131445842194;1.200565951485232;1.86793505193467;12.732064948065329;0.15297184213733078;0.01269470852215178;0.1987789493581374;1.2994479675526374;0.029767372887402832;0.27617631138725873;1.3922234551668058;1.3208333333333333;0.327846399436062;0.23548403686158403;1.1890221515657595;1.595424758767852;0.3333333333333333;2.1764705882352944;-1.1764705882352942;0.8939999999999998
0.05;0.95;2;100.0;100.0;0.0;0.0;100.0;100.0;37.1;19.0;37.6309712869599;1.014311894527221;13.776082353086561;60.42391764691344;0.371;0.19;0.37630971286959897;1.014311894527221;0.13776082353086563;0.6042391764691344;22.7;5.5;35.76045301726476;1.5753503531834696;0.5354415879765391;44.864558412023456;0.371;0.19;0.37630971286959897;1.014311894527221;0.13776082353086563;0.6042391764691344;2.1;2.0;0.5385164807134505;0.25643641938735734;1.7662240272278427;2.4337759727721577;0.742;0.38;0.7526194257391979;1.014311894527221;0.27552164706173127;1.2084783529382688;22.7;5.5;35.76045301726476;1.5753503531834696;0.5354415879765391;44.864558412023456;0.5270559853361181;0.5539021164021164;0.31890795908047476;0.6050741628085267;0.32939478446470305;0.7247171862075331;10.7;7.0;9.39201788754685;0.8777586810791449;4.878767003460521;16.521232996539478;0.19022588797341272;0.21136363636363636;0.1655239379038247;0.8701441200629825;0.0876330883663656;0.2928186875804598;1.5420004309614472;1.5147058823529411;0.27249989564829785;0.17671843027851322;1.3731032458097092;1.7108976161131852;0.9999999999999992;2.052631578947368;-1.0526315789473684;0.3710000000000003
