beta;gamma;dim;n_vertices_mean;n_vertices_median;n_vertices_std;n_vertices_cv;n_vertices_ci_low;n_vertices_ci_high;n_edges_mean;n_edges_median;n_edges_std;n_edges_cv;n_edges_ci_low;n_edges_ci_high;indegree_mean_mean;indegree_mean_median;indegree_mean_std;indegree_mean_cv;indegree_mean_ci_low;indegree_mean_ci_high;indegree_max_mean;indegree_max_median;indegree_max_std;indegree_max_cv;indegree_max_ci_low;indegree_max_ci_high;outdegree_mean_mean;outdegree_mean_median;outdegree_mean_std;outdegree_mean_cv;outdegree_mean_ci_low;outdegree_mean_ci_high;outdegree_max_mean;outdegree_max_median;outdegree_max_std;outdegree_max_cv;outdegree_max_ci_low;outdegree_max_ci_high;total_degree_mean_mean;total_degree_mean_median;total_degree_mean_std;total_degree_mean_cv;total_degree_mean_ci_low;total_degree_mean_ci_high;total_degree_max_mean;total_degree_max_median;total_degree_max_std;total_degree_max_cv;total_degree_max_ci_low;total_degree_max_ci_high;avg_local_clustering_mean;avg_local_clustering_median;avg_local_clustering_std;avg_local_clustering_cv;avg_local_clustering_ci_low;avg_local_clustering_ci_high;global_clustering_mean;global_clustering_median;global_clustering_std;global_clustering_cv;global_clustering_ci_low;global_clustering_ci_high;avg_shortest_path_length_mean;avg_shortest_path_length_median;avg_shortest_path_length_std;avg_shortest_path_length_cv;avg_shortest_path_length_ci_low;avg_shortest_path_length_ci_high;expected_theoretical_outdegree_mean;outdegree_mean_vs_theory_ratio
0.0;0.0;2;200.0;200.0;0.0;0.0;200.0;200.0;0.0;0.0;0.0;nan;0.0;0.0;0.0;0.0;0.0;nan;0.0;0.0;0.0;0.0;0.0;nan;0.0;0.0;0.0;0.0;0.0;nan;0.0;0.0;0.0;0.0;0.0;nan;0.0;0.0;0.0;0.0;0.0;nan;0.0;0.0;0.0;0.0;0.0;nan;0.0;0.0;0.0;0.0;0.0;nan;0.0;0.0;0.0;0.0;0.0;nan;0.0;0.0;0.0;0.0;0.0;nan;0.0;0.0;nan;nan
0.0;0.2;2;200.0;200.0;0.0;0.0;200.0;200.0;0.0;0.0;0.0;nan;0.0;0.0;0.0;0.0;0.0;nan;0.0;0.0;0.0;0.0;0.0;nan;0.0;0.0;0.0;0.0;0.0;nan;0.0;0.0;0.0;0.0;0.0;nan;0.0;0.0;0.0;0.0;0.0;nan;0.0;0.0;0.0;0.0;0.0;nan;0.0;0.0;0.0;0.0;0.0;nan;0.0;0.0;0.0;0.0;0.0;nan;0.0;0.0;0.0;0.0;0.0;nan;0.0;0.0;0.0;nan
0.0;0.4;2;200.0;200.0;0.0;0.0;200.0;200.0;0.0;0.0;0.0;nan;0.0;0.0;0.0;0.0;0.0;nan;0.0;0.0;0.0;0.0;0.0;nan;0.0;0.0;0.0;0.0;0.0;nan;0.0;0.0;0.0;0.0;0.0;nan;0.0;0.0;0.0;0.0;0.0;nan;0.0;0.0;0.0;0.0;0.0;nan;0.0;0.0;0.0;0.0;0.0;nan;0.0;0.0;0.0;0.0;0.0;nan;0.0;0.0;0.0;0.0;0.0;nan;0.0;0.0;0.0;nan
0.0;0.6;2;200.0;200.0;0.0;0.0;200.0;200.0;0.0;0.0;0.0;nan;0.0;0.0;0.0;0.0;0.0;nan;0.0;0.0;0.0;0.0;0.0;nan;0.0;0.0;0.0;0.0;0.0;nan;0.0;0.0;0.0;0.0;0.0;nan;0.0;0.0;0.0;0.0;0.0;nan;0.0;0.0;0.0;0.0;0.0;nan;0.0;0.0;0.0;0.0;0.0;nan;0.0;0.0;0.0;0.0;0.0;nan;0.0;0.0;0.0;0.0;0.0;nan;0.0;0.0;0.0;nan
0.0;0.8;2;200.0;200.0;0.0;0.0;200.0;200.0;0.0;0.0;0.0;nan;0.0;0.0;0.0;0.0;0.0;nan;0.0;0.0;0.0;0.0;0.0;nan;0.0;0.0;0.0;0.0;0.0;nan;0.0;0.0;0.0;0.0;0.0;nan;0.0;0.0;0.0;0.0;0.0;nan;0.0;0.0;0.0;0.0;0.0;nan;0.0;0.0;0.0;0.0;0.0;nan;0.0;0.0;0.0;0.0;0.0;nan;0.0;0.0;0.0;0.0;0.0;nan;0.0;0.0;0.0;nan
0.0;1.0;2;200.0;200.0;0.0;0.0;200.0;200.0;0.0;0.0;0.0;nan;0.0;0.0;0.0;0.0;0.0;nan;0.0;0.0;0.0;0.0;0.0;nan;0.0;0.0;0.0;0.0;0.0;nan;0.0;0.0;0.0;0.0;0.0;nan;0.0;0.0;0.0;0.0;0.0;nan;0.0;0.0;0.0;0.0;0.0;nan;0.0;0.0;0.0;0.0;0.0;nan;0.0;0.0;0.0;0.0;0.0;nan;0.0;0.0;0.0;0.0;0.0;nan;0.0;0.0;nan;nan
0.25;0.0;2;200.0;200.0;0.0;0.0;200.0;200.0;77.4;83.0;10.170545708072897;0.1314023993291072;68.48512362396427;86.31487637603574;0.387;0.415;0.05085272854036448;0.1314023993291072;0.34242561811982136;0.43157438188017866;3.6;3.0;0.8;0.22222222222222224;2.898769082256066;4.3012309177439345;0.387;0.415;0.05085272854036448;0.1314023993291072;0.34242561811982136;0.43157438188017866;2.8;3.0;0.39999999999999997;0.14285714285714285;2.449384541128033;3.150615458871967;0.774;0.83;0.10170545708072896;0.1314023993291072;0.6848512362396427;0.8631487637603573;4.2;4.0;0.9797958971132712;0.23328473740792172;3.3411710298318997;5.058828970168101;0.09663333333333335;0.09416666666666666;0.0366235200686966;0.3789946885342869;0.06453140259735148;0.12873526406931524;0.5080077465198904;0.5257731958762887;0.10170955473715594;0.20021260587839013;0.418855391005312;0.5971601020344689;1.8084439879280414;1.9655172413793103;0.36860135106566344;0.20382237632251743;1.485350658316255;2.131537317539828;nan;nan
0.25;0.2;2;200.0;200.0;0.0;0.0;200.0;200.0;98.6;104.0;11.876026271442818;0.12044651390915638;88.19020399815635;109.00979600184364;0.493;0.52;0.0593801313572141;0.1204465139091564;0.44095101999078173;0.5450489800092182;5.0;5.0;1.0954451150103321;0.21908902300206642;4.039800020828994;5.960199979171006;0.493;0.52;0.0593801313572141;0.1204465139091564;0.44095101999078173;0.5450489800092182;3.4;3.0;0.4898979485566356;0.14408763192842225;2.9705855149159497;3.82941448508405;0.986;1.04;0.1187602627144282;0.1204465139091564;0.8819020399815635;1.0900979600184364;5.6;5.0;1.3564659966250536;0.24222607082590245;4.4110051303727165;6.788994869627283;0.13602142857142857;0.12477380952380952;0.03261278737285051;0.23976212950685669;0.10743506004686389;0.16460779709599327;0.4919318537774461;0.504424778761062;0.05789309675489642;0.11768519625299101;0.4411863170668531;0.5426773904880391;2.0235470901929697;2.11353711790393;0.3365599569095064;0.1663217814602038;1.7285392808685796;2.31855489951736;0.3125;1.5776
0.25;0.4;2;200.0;200.0;0.0;0.0;200.0;200.0;128.6;131.0;13.124023773218335;0.10205306200014258;117.09628595626612;140.10371404373387;0.643;0.655;0.06562011886609166;0.10205306200014255;0.5854814297813307;0.7005185702186694;9.4;8.0;2.8;0.2978723404255319;6.945691787896232;11.854308212103769;0.643;0.655;0.06562011886609166;0.10205306200014255;0.5854814297813307;0.7005185702186694;3.6;3.0;0.8;0.22222222222222224;2.898769082256066;4.3012309177439345;1.286;1.31;0.13124023773218332;0.10205306200014255;1.1709628595626613;1.4010371404373387;9.6;8.0;2.5768197453450252;0.26841872347344015;7.341317906388772;11.858682093611227;0.19361669996669997;0.18147619047619049;0.024142129473412384;0.12469032618345718;0.17245519045803268;0.21477820947536727;0.41892309988861715;0.41379310344827586;0.04623460464517673;0.1103653741163224;0.37839668208003563;0.45944951769719866;2.5587357966534654;2.6204506065857887;0.37403381883994624;0.1461791480500409;2.2308806990879604;2.8865908942189704;0.4166666666666667;1.5432
0.25;0.6;2;200.0;200.0;0.0;0.0;200.0;200.0;178.4;180.0;22.526428922490133;0.1262692204175456;158.65471446648593;198.14528553351408;0.892;0.9;0.11263214461245068;0.1262692204175456;0.7932735723324297;0.9907264276675704;23.4;24.0;3.9799497484264794;0.1700833225823282;19.9114202316702;26.888579768329798;0.892;0.9;0.11263214461245068;0.1262692204175456;0.7932735723324297;0.9907264276675704;4.4;4.0;1.0198039027185568;0.23177361425421744;3.506102466722276;5.2938975332777245;1.784;1.8;0.22526428922490135;0.1262692204175456;1.5865471446648594;1.9814528553351407;23.4;24.0;3.9799497484264794;0.1700833225823282;19.9114202316702;26.888579768329798;0.2939765545111325;0.28739942353753095;0.045828042985397825;0.1558901289308851;0.25380650370980884;0.3341466053124562;0.2832969451980982;0.29747427502338636;0.05947249190179023;0.20992987361795762;0.23116700760208442;0.33542688279411204;2.758433530013769;2.6675531914893615;0.3249407938124644;0.11779902987578693;2.473610366191823;3.043256693835715;0.625;1.4272
