beta;gamma;dim;n_vertices_mean;n_vertices_median;n_vertices_std;n_vertices_cv;n_vertices_ci_low;n_vertices_ci_high;n_edges_mean;n_edges_median;n_edges_std;n_edges_cv;n_edges_ci_low;n_edges_ci_high;indegree_mean_mean;indegree_mean_median;indegree_mean_std;indegree_mean_cv;indegree_mean_ci_low;indegree_mean_ci_high;indegree_max_mean;indegree_max_median;indegree_max_std;indegree_max_cv;indegree_max_ci_low;indegree_max_ci_high;outdegree_mean_mean;outdegree_mean_median;outdegree_mean_std;outdegree_mean_cv;outdegree_mean_ci_low;outdegree_mean_ci_high;outdegree_max_mean;outdegree_max_median;outdegree_max_std;outdegree_max_cv;outdegree_max_ci_low;outdegree_max_ci_high;total_degree_mean_mean;total_degree_mean_median;total_degree_mean_std;total_degree_mean_cv;total_degree_mean_ci_low;total_degree_mean_ci_high;total_degree_max_mean;total_degree_max_median;total_degree_max_std;total_degree_max_cv;total_degree_max_ci_low;total_degree_max_ci_high;avg_local_clustering_mean;avg_local_clustering_median;avg_local_clustering_std;avg_local_clustering_cv;avg_local_clustering_ci_low;avg_local_clustering_ci_high;global_clustering_mean;global_clustering_median;global_clustering_std;global_clustering_cv;global_clustering_ci_low;global_clustering_ci_high;avg_shortest_path_length_mean;avg_shortest_path_length_median;avg_shortest_path_length_std;avg_shortest_path_length_cv;avg_shortest_path_length_ci_low;avg_shortest_path_length_ci_high;expected_theoretical_outdegree_mean
0.0;1.0;2;200.0;200.0;0.0;0.0;200.0;200.0;0.0;0.0;0.0;nan;0.0;0.0;0.0;0.0;0.0;nan;0.0;0.0;0.0;0.0;0.0;nan;0.0;0.0;0.0;0.0;0.0;nan;0.0;0.0;0.0;0.0;0.0;nan;0.0;0.0;0.0;0.0;0.0;nan;0.0;0.0;0.0;0.0;0.0;nan;0.0;0.0;0.0;0.0;0.0;nan;0.0;0.0;0.0;0.0;0.0;nan;0.0;0.0;0.0;0.0;0.0;nan;0.0;0.0;nan
0.2;0.0;2;200.0;200.0;0.0;0.0;200.0;200.0;64.2;67.0;9.453041838477178;0.14724364234388126;55.914043495166055;72.48595650483395;0.321;0.335;0.047265209192385894;0.1472436423438813;0.2795702174758303;0.36242978252416974;3.2;3.0;0.39999999999999997;0.12499999999999999;2.849384541128033;3.550615458871967;0.321;0.335;0.047265209192385894;0.1472436423438813;0.2795702174758303;0.36242978252416974;2.6;3.0;0.4898979485566356;0.1884222879063983;2.17058551491595;3.0294144850840503;0.642;0.67;0.09453041838477179;0.1472436423438813;0.5591404349516605;0.7248595650483395;3.4;3.0;0.4898979485566356;0.14408763192842225;2.9705855149159497;3.82941448508405;0.06633333333333333;0.07416666666666667;0.04056065416960958;0.6114671482855716;0.030780352398771263;0.10188631426789539;0.4842724784745728;0.45652173913043476;0.15363543524993456;0.31724998235265467;0.34960508190169737;0.6189398750474482;1.5473580304128398;1.4339622641509433;0.34513699996130565;0.22304921884770396;1.2448321113750218;1.8498839494506578;nan
0.2;0.1;2;200.0;200.0;0.0;0.0;200.0;200.0;69.8;75.0;11.124747188138706;0.15938033220829093;60.048729149490306;79.5512708505097;0.34900000000000003;0.375;0.055623735940693524;0.15938033220829087;0.30024364574745155;0.3977563542525485;3.4;3.0;0.4898979485566356;0.14408763192842225;2.9705855149159497;3.82941448508405;0.34900000000000003;0.375;0.055623735940693524;0.15938033220829087;0.30024364574745155;0.3977563542525485;2.8;3.0;0.39999999999999997;0.14285714285714285;2.449384541128033;3.150615458871967;0.6980000000000001;0.75;0.11124747188138705;0.15938033220829087;0.6004872914949031;0.795512708505097;3.8;4.0;0.7483314773547882;0.19692933614599692;3.144058539197285;4.455941460802715;0.08659999999999998;0.08666666666666666;0.034727766668442385;0.40101347192196757;0.056159770384863666;0.1170402296151363;0.5094086532918253;0.4166666666666667;0.13942937955320514;0.27370830599795515;0.3871934135611236;0.631623893022527;1.6540842476626962;1.7083333333333333;0.356027063664403;0.21524119111072307;1.3420127669188622;1.9661557284065303;0.22222222222222224
0.2;0.2;2;200.0;200.0;0.0;0.0;200.0;200.0;80.2;86.0;10.628264204469138;0.13252199756195931;70.88391567234387;89.51608432765613;0.40099999999999997;0.43;0.0531413210223457;0.13252199756195937;0.35441957836171933;0.4475804216382806;4.0;4.0;1.0954451150103321;0.27386127875258304;3.039800020828994;4.960199979171006;0.40099999999999997;0.43;0.0531413210223457;0.13252199756195937;0.35441957836171933;0.4475804216382806;3.0;3.0;0.0;0.0;3.0;3.0;0.8019999999999999;0.86;0.1062826420446914;0.13252199756195937;0.7088391567234387;0.8951608432765612;4.6;4.0;1.3564659966250536;0.29488391230979427;3.4110051303727165;5.788994869627283;0.10000952380952381;0.10216666666666667;0.03081556060678118;0.308126260709649;0.07299849400316508;0.12702055361588255;0.4713029776525673;0.41284403669724773;0.12684065434441122;0.26912763203018625;0.36012224208610155;0.582483713219033;1.8888191360461601;2.218274111675127;0.4440722007551855;0.23510572943725883;1.4995726899460011;2.2780655821463194;0.25
0.2;0.3;2;200.0;200.0;0.0;0.0;200.0;200.0;89.8;95.0;11.685888926393234;0.13013239338967966;79.55686672936449;100.04313327063551;0.44899999999999995;0.475;0.05842944463196616;0.13013239338967966;0.3977843336468224;0.5002156663531775;5.0;4.0;1.7888543819998317;0.35777087639996635;3.4320000000000004;6.568;0.44899999999999995;0.475;0.05842944463196616;0.13013239338967966;0.3977843336468224;0.5002156663531775;3.0;3.0;0.0;0.0;3.0;3.0;0.8979999999999999;0.95;0.11685888926393231;0.13013239338967966;0.7955686672936448;1.000431332706355;5.6;5.0;1.9595917942265424;0.3499271061118826;3.8823420596637988;7.3176579403362005;0.11413571428571427;0.11601190476190476;0.03442127927779822;0.30158202008209223;0.08396413271335089;0.14430729585807764;0.44470875952462896;0.35294117647058826;0.1410569788988783;0.31718956705431445;0.32106686606532;0.5683506529839379;2.0039877368992793;2.2735042735042734;0.5279923009808615;0.2634708243264058;1.541182079676103;2.4667933941224556;0.28571428571428575
0.2;0.4;2;200.0;200.0;0.0;0.0;200.0;200.0;103.6;108.0;14.065560778013793;0.13576796117773932;91.27099238381288;115.9290076161871;0.518;0.54;0.07032780389006897;0.13576796117773932;0.45635496191906444;0.5796450380809356;8.2;7.0;2.9257477676655586;0.3567985082518974;5.635469009740767;10.764530990259232;0.518;0.54;0.07032780389006897;0.13576796117773932;0.45635496191906444;0.5796450380809356;3.0;3.0;0.0;0.0;3.0;3.0;1.036;1.08;0.14065560778013794;0.13576796117773932;0.9127099238381289;1.1592900761618712;8.4;7.0;2.8;0.3333333333333333;5.945691787896232;10.854308212103769;0.14069768009768008;0.13417094017094017;0.020306090239801733;0.14432427191197558;0.12289860722937095;0.15849675296598922;0.40120956206095526;0.40476190476190477;0.09499743589356575;0.23677759673916474;0.3179406381172482;0.4844784860046623;2.113999778329033;2.334328358208955;0.3682409540586346;0.17419157647675015;1.7912223506222351;2.436777206035831;0.33333333333333337
0.2;0.5;2;200.0;200.0;0.0;0.0;200.0;200.0;119.0;128.0;15.84929020492716;0.13318731264644673;105.10748460501122;132.89251539498878;0.595;0.64;0.0792464510246358;0.13318731264644673;0.5255374230250561;0.6644625769749438;11.2;11.0;2.6381811916545836;0.2355518921120164;8.887532227251588;13.51246777274841;0.595;0.64;0.0792464510246358;0.13318731264644673;0.5255374230250561;0.6644625769749438;3.2;3.0;0.39999999999999997;0.12499999999999999;2.849384541128033;3.550615458871967;1.19;1.28;0.1584929020492716;0.13318731264644673;1.0510748460501123;1.3289251539498876;11.2;11.0;2.6381811916545836;0.2355518921120164;8.887532227251588;13.51246777274841;0.1701955266955267;0.1550238095238095;0.0321237153870064;0.18874594421317842;0.14203784866780741;0.198353204723246;0.35338461276661787;0.34285714285714286;0.063773644905743;0.18046525683861728;0.29748454833520543;0.4092846771980303;2.4380941671894534;2.4798761609907123;0.18591166772401213;0.07625286595813663;2.2751354054676853;2.6010529289112214;0.4
0.2;0.6;2;200.0;200.0;0.0;0.0;200.0;200.0;142.8;153.0;17.634057956125698;0.12348780081320516;127.34306669484533;158.2569333051547;0.714;0.765;0.08817028978062849;0.12348780081320518;0.6367153334742266;0.7912846665257733;19.0;20.0;3.40587727318528;0.17925669858869894;16.01461694250135;21.98538305749865;0.714;0.765;0.08817028978062849;0.12348780081320518;0.6367153334742266;0.7912846665257733;3.8;4.0;0.7483314773547882;0.19692933614599692;3.144058539197285;4.455941460802715;1.428;1.53;0.17634057956125698;0.12348780081320518;1.2734306669484532;1.5825693330515467;19.0;20.0;3.40587727318528;0.17925669858869894;16.01461694250135;21.98538305749865;0.2243824972887599;0.21770684696803622;0.04151470519943387;0.18501757356772894;0.18799325375517503;0.2607717408223447;0.2734442493941866;0.2980561555075594;0.06578594882212532;0.24058267441306055;0.21578032281019358;0.3311081759781796;2.46569908705269;2.4931662870159452;0.09716589717244416;0.039407037818466696;2.3805294229931326;2.550868751112247;0.5
0.2;0.7;2;200.0;200.0;0.0;0.0;200.0;200.0;170.0;172.0;24.698178070456937;0.14528340041445256;148.35109240631297;191.64890759368703;0.85;0.86;0.12349089035228471;0.1452834004144526;0.7417554620315648;0.9582445379684351;27.0;28.0;5.549774770204643;0.2055472137112831;22.135407930771585;31.864592069228415;0.85;0.86;0.12349089035228471;0.1452834004144526;0.7417554620315648;0.9582445379684351;4.0;4.0;1.0954451150103321;0.27386127875258304;3.039800020828994;4.960199979171006;1.7;1.72;0.24698178070456941;0.1452834004144526;1.4835109240631297;1.9164890759368702;27.0;28.0;5.549774770204643;0.2055472137112831;22.135407930771585;31.864592069228415;0.28300253485265514;0.2719590390002154;0.0622844954580118;0.2200845850742649;0.22840776746360575;0.33759730224170453;0.22499486832902874;0.22660098522167488;0.05783737518325088;0.2570608637112135;0.17429817372946468;0.2756915629285928;2.6179461374222726;2.4476439790575917;0.43982102316692007;0.1680023194059998;2.2324260127742535;3.0034662620702917;0.6666666666666666
0.2;0.8;2;200.0;200.0;0.0;0.0;200.0;200.0;213.2;219.0;35.74017347467693;0.16763683618516384;181.8723566925311;244.52764330746888;1.066;1.095;0.17870086737338461;0.16763683618516378;0.9093617834626557;1.2226382165373444;43.4;44.0;11.412274094149685;0.26295562428916325;33.396700704267616;53.40329929573238;1.066;1.095;0.17870086737338461;0.16763683618516378;0.9093617834626557;1.2226382165373444;4.8;5.0;1.16619037896906;0.2429563289518875;3.7777890628642243;5.822210937135775;2.132;2.19;0.35740173474676923;0.16763683618516378;1.8187235669253115;2.445276433074689;43.4;44.0;11.412274094149685;0.26295562428916325;33.396700704267616;53.40329929573238;0.3481751834500721;0.3466372948756669;0.07818381824560046;0.22455310418989677;0.2796440451737129;0.4167063217264313;0.17625493790685692;0.15783540022547915;0.06142199039590754;0.34848379923611783;0.12241618953813024;0.2300936862755836;3.1411001536189076;3.143170197224251;0.43544223714264707;0.1386273012151388;2.759418204148895;3.5227821030889204;1.0000000000000002
