beta;gamma;dim;n_vertices_mean;n_vertices_median;n_vertices_std;n_vertices_cv;n_vertices_ci_low;n_vertices_ci_high;n_edges_mean;n_edges_median;n_edges_std;n_edges_cv;n_edges_ci_low;n_edges_ci_high;indegree_mean_mean;indegree_mean_median;indegree_mean_std;indegree_mean_cv;indegree_mean_ci_low;indegree_mean_ci_high;indegree_max_mean;indegree_max_median;indegree_max_std;indegree_max_cv;indegree_max_ci_low;indegree_max_ci_high;outdegree_mean_mean;outdegree_mean_median;outdegree_mean_std;outdegree_mean_cv;outdegree_mean_ci_low;outdegree_mean_ci_high;outdegree_max_mean;outdegree_max_median;outdegree_max_std;outdegree_max_cv;outdegree_max_ci_low;outdegree_max_ci_high;total_degree_mean_mean;total_degree_mean_median;total_degree_mean_std;total_degree_mean_cv;total_degree_mean_ci_low;total_degree_mean_ci_high;total_degree_max_mean;total_degree_max_median;total_degree_max_std;total_degree_max_cv;total_degree_max_ci_low;total_degree_max_ci_high;avg_local_clustering_mean;avg_local_clustering_median;avg_local_clustering_std;avg_local_clustering_cv;avg_local_clustering_ci_low;avg_local_clustering_ci_high;vertices_degree_ge_2_mean;vertices_degree_ge_2_median;vertices_degree_ge_2_std;vertices_degree_ge_2_cv;vertices_degree_ge_2_ci_low;vertices_degree_ge_2_ci_high;global_clustering_mean;global_clustering_median;global_clustering_std;global_clustering_cv;global_clustering_ci_low;global_clustering_ci_high;avg_shortest_path_length_mean;avg_shortest_path_length_median;avg_shortest_path_length_std;avg_shortest_path_length_cv;avg_shortest_path_length_ci_low;avg_shortest_path_length_ci_high;expected_theoretical_outdegree_mean;indegree_powerlaw_alpha_theory;indegree_ccdf_slope_theory;outdegree_mean_vs_theory_ratio
0.05;0.05;2;200.0;200.0;0.0;0.0;200.0;200.0;10.8;9.5;2.891366458960192;0.26771911657038816;9.007912502136127;12.592087497863874;0.054000000000000006;0.0475;0.014456832294800962;0.26771911657038816;0.045039562510680635;0.06296043748931937;1.5;1.5;0.5;0.3333333333333333;1.1900967893034988;1.8099032106965012;0.054000000000000006;0.0475;0.014456832294800962;0.26771911657038816;0.045039562510680635;0.06296043748931937;1.4;1.0;0.48989794855663565;0.34992710611188266;1.0963581056573384;1.7036418943426614;0.10800000000000001;0.095;0.028913664589601925;0.26771911657038816;0.09007912502136127;0.12592087497863874;1.8;2.0;0.6000000000000001;0.33333333333333337;1.4281161471641985;2.1718838528358013;0.2777777777777778;0.0;0.42817441928883765;1.5414279094398156;0.012392523226336383;0.5431630323292191;1.7;1.0;1.7916472867168916;1.0539101686569952;0.589525506821521;2.8104744931784786;0.26;0.0;0.41036569057366384;1.5783295791294762;0.005652709863069316;0.5143472901369307;1.064848484848485;1.0277777777777777;0.07512435699136456;0.07054933923491834;1.0182859259822168;1.111411043714753;0.052631578947368425;21.0;-20.0;1.026
0.05;0.15;2;200.0;200.0;0.0;0.0;200.0;200.0;11.4;10.5;2.9393876913398143;0.25784102555612404;9.578148633944032;13.221851366055969;0.05700000000000001;0.052500000000000005;0.01469693845669907;0.257841025556124;0.04789074316972016;0.06610925683027985;1.7;2.0;0.6403124237432849;0.3766543669078147;1.3031302480661948;2.096869751933805;0.05700000000000001;0.052500000000000005;0.01469693845669907;0.257841025556124;0.04789074316972016;0.06610925683027985;1.4;1.0;0.48989794855663565;0.34992710611188266;1.0963581056573384;1.7036418943426614;0.11400000000000002;0.10500000000000001;0.02939387691339814;0.257841025556124;0.09578148633944032;0.1322185136605597;2.0;2.0;0.6324555320336759;0.31622776601683794;1.608;2.392;0.26666666666666666;0.0;0.4103596736137642;1.5388487760516156;0.01232310588011909;0.5210102274532142;1.8;1.0;1.7204650534085253;0.9558139185602919;0.7336447121151415;2.8663552878848586;0.23500000000000001;0.0;0.370168880377592;1.5751867250110296;0.005566950942110377;0.4644330490578896;1.0816317016317016;1.0839160839160837;0.0678485264876555;0.06272793815612304;1.0395787492325996;1.1236846540308036;0.05882352941176471;7.666666666666667;-6.666666666666667;0.9690000000000001
0.05;0.25;2;200.0;200.0;0.0;0.0;200.0;200.0;12.8;12.0;3.1874754901018454;0.24902152266420666;10.82438222320207;14.775617776797931;0.064;0.06;0.01593737745050923;0.2490215226642067;0.05412191111601035;0.07387808888398965;1.9;2.0;0.5385164807134504;0.2834297266912897;1.5662240272278425;2.2337759727721576;0.064;0.06;0.01593737745050923;0.2490215226642067;0.05412191111601035;0.07387808888398965;1.4;1.0;0.48989794855663565;0.34992710611188266;1.0963581056573384;1.7036418943426614;0.128;0.12;0.03187475490101846;0.2490215226642067;0.1082438222320207;0.1477561777679793;2.1;2.0;0.5385164807134504;0.2564364193873573;1.7662240272278427;2.4337759727721577;0.20722222222222225;0.0;0.3257285281857794;1.5718802968750747;0.0053335888217846406;0.40911085562265986;2.5;2.0;1.857417562100671;0.7429670248402684;1.3487606678018684;3.6512393321981316;0.185;0.0;0.28814059068447817;1.5575167064025848;0.006408611629787703;0.3635913883702123;1.1442370537958773;1.1180555555555556;0.09529360644038165;0.08328134989533495;1.085173464606431;1.2033006429853235;0.06666666666666667;5.0;-4.0;0.9600000000000001
0.05;0.35;2;200.0;200.0;0.0;0.0;200.0;200.0;14.7;13.5;3.6891733491393435;0.2509641734108397;12.413426668571505;16.98657333142849;0.07350000000000001;0.0675;0.018445866745696718;0.25096417341083965;0.062067133342857544;0.08493286665714248;2.0;2.0;0.6324555320336759;0.31622776601683794;1.608;2.392;0.07350000000000001;0.0675;0.018445866745696718;0.25096417341083965;0.062067133342857544;0.08493286665714248;1.4;1.0;0.48989794855663565;0.34992710611188266;1.0963581056573384;1.7036418943426614;0.14700000000000002;0.135;0.036891733491393436;0.25096417341083965;0.12413426668571509;0.16986573331428495;2.2;2.0;0.6;0.2727272727272727;1.8281161471641987;2.5718838528358017;0.19722222222222224;0.0;0.3148706377522657;1.5965271773354315;0.0020633790352580783;0.3923810654091864;3.0;3.0;1.8439088914585775;0.6146362971528592;1.8571334286103212;4.142866571389678;0.175;0.0;0.275;1.5714285714285716;0.004553234116924348;0.34544676588307566;1.1583670110419335;1.1433333333333335;0.08849858846261105;0.07639943784570308;1.1035150176285906;1.2132190044552764;0.07692307692307693;3.857142857142857;-2.857142857142857;0.9555000000000001
0.05;0.45;2;200.0;200.0;0.0;0.0;200.0;200.0;17.7;17.0;4.124318125460256;0.23301232347233086;15.143721141972183;20.256278858027816;0.08850000000000001;0.085;0.02062159062730128;0.2330123234723308;0.07571860570986093;0.10128139429013909;2.5;3.0;0.9219544457292888;0.3687817782917155;1.9285667143051606;3.071433285694839;0.08850000000000001;0.085;0.02062159062730128;0.2330123234723308;0.07571860570986093;0.10128139429013909;1.6;2.0;0.48989794855663565;0.3061862178478973;1.2963581056573386;1.9036418943426616;0.17700000000000002;0.17;0.04124318125460256;0.2330123234723308;0.15143721141972186;0.20256278858027818;2.6;3.0;0.8;0.3076923076923077;2.1041548628855984;3.095845137114402;0.31277777777777777;0.25;0.3267502727477679;1.0446722752148885;0.11025586053679629;0.5152996950187593;3.9;4.5;2.071231517720798;0.5310850045437944;2.6162374051250756;5.183762594874924;0.26406926406926406;0.21428571428571427;0.2698727130942284;1.0219769954879796;0.09680042353470994;0.43133810460381816;1.1760188636950255;1.1769230769230767;0.09981207545472578;0.0848728524142193;1.1141546983956236;1.2378830289944274;0.09090909090909091;3.2222222222222223;-2.2222222222222223;0.9735
0.05;0.55;2;200.0;200.0;0.0;0.0;200.0;200.0;20.9;19.0;5.223983154643591;0.24995134711213354;17.662141695503028;24.13785830449697;0.1045;0.095;0.026119915773217952;0.24995134711213352;0.08831070847751514;0.12068929152248485;2.8;3.0;1.0770329614269007;0.384654629081036;2.132448054455685;3.4675519455443147;0.1045;0.095;0.026119915773217952;0.24995134711213352;0.08831070847751514;0.12068929152248485;1.7;2.0;0.45825756949558405;0.269563276173873;1.415969015774687;1.984030984225313;0.209;0.19;0.052239831546435904;0.24995134711213352;0.17662141695503028;0.2413785830449697;2.8;3.0;1.0770329614269007;0.384654629081036;2.132448054455685;3.4675519455443147;0.32318722943722944;0.3214285714285714;0.303832510414389;0.9401129832495453;0.13486988845443487;0.5115045704200241;5.3;5.0;2.9681644159311658;0.5600310218738048;3.460312635255653;7.139687364744347;0.26861471861471864;0.21969696969696967;0.280939457009692;1.0458825877395461;0.09448663913744826;0.442742798091989;1.237763576975554;1.2213438735177866;0.16038684914882853;0.12957793566743175;1.1383547779661192;1.3371723759849887;0.11111111111111113;2.8181818181818183;-1.8181818181818181;0.9404999999999998
0.05;0.65;2;200.0;200.0;0.0;0.0;200.0;200.0;26.0;24.5;7.280109889280518;0.28000422651078916;21.487741142177235;30.512258857822765;0.13;0.1225;0.03640054944640259;0.28000422651078916;0.10743870571088618;0.15256129428911383;4.0;3.5;2.32379000772445;0.5809475019311126;2.559700031243491;5.440299968756509;0.13;0.1225;0.03640054944640259;0.28000422651078916;0.10743870571088618;0.15256129428911383;1.8;2.0;0.4;0.22222222222222224;1.5520774314427992;2.047922568557201;0.26;0.245;0.07280109889280519;0.28000422651078916;0.21487741142177236;0.30512258857822766;4.0;3.5;2.32379000772445;0.5809475019311126;2.559700031243491;5.440299968756509;0.3543850593850594;0.3892857142857143;0.27329520005364033;0.7711814954272371;0.1849949394559279;0.5237751793141908;7.3;6.5;4.050925820105819;0.5549213452199753;4.789210164111699;9.8107898358883;0.25010069817400643;0.17269736842105263;0.2604900694848628;1.0415407529315572;0.08864728039817912;0.4115541159498337;1.350330700864814;1.374223602484472;0.2138649414705343;0.1583796779067271;1.2177758368305382;1.4828855648990897;0.14285714285714288;2.5384615384615383;-1.5384615384615383;0.9099999999999999
0.05;0.75;2;200.0;200.0;0.0;0.0;200.0;200.0;32.2;31.0;10.796295661012623;0.33528868512461557;25.50838662204697;38.891613377953036;0.161;0.155;0.05398147830506312;0.3352886851246156;0.12754193311023485;0.19445806688976516;5.6;4.5;3.8781438859330635;0.6925256939166186;3.1963015164126762;8.003698483587323;0.161;0.155;0.05398147830506312;0.3352886851246156;0.12754193311023485;0.19445806688976516;2.1;2.0;0.3;0.14285714285714285;1.9140580735820993;2.285941926417901;0.322;0.31;0.10796295661012624;0.3352886851246156;0.2550838662204697;0.3889161337795303;5.7;4.5;3.8223029707232787;0.6705794685479436;3.330912074236163;8.069087925763837;0.4116076516076516;0.45238095238095233;0.27210707017132246;0.6610836050023131;0.2429539422090297;0.5802613610062736;9.4;8.0;4.94368283772331;0.5259237061407777;6.335873631848713;12.464126368151287;0.26886996603736796;0.150626886463896;0.2866801803520617;1.0662409958880215;0.0911837493690561;0.4465561827056798;1.4776609984555276;1.4828042328042328;0.2884540076767489;0.19520986747179844;1.2988753522209322;1.656446644690123;0.2;2.333333333333333;-1.3333333333333333;0.8049999999999999
0.05;0.85;2;200.0;200.0;0.0;0.0;200.0;200.0;41.9;40.5;15.358710883404244;0.36655634566597245;32.380572370147455;51.41942762985254;0.20949999999999996;0.2025;0.07679355441702122;0.3665563456659725;0.16190286185073727;0.25709713814926266;9.5;7.5;6.830080526611674;0.718955844906492;5.266672230974786;13.733327769025214;0.20949999999999996;0.2025;0.07679355441702122;0.3665563456659725;0.16190286185073727;0.25709713814926266;2.1;2.0;0.3;0.14285714285714285;1.9140580735820993;2.285941926417901;0.41899999999999993;0.405;0.15358710883404245;0.3665563456659725;0.32380572370147453;0.5141942762985253;9.5;7.5;6.830080526611674;0.718955844906492;5.266672230974786;13.733327769025214;0.4297210557760093;0.4273809523809524;0.21195819223467385;0.49324600083165665;0.298348007162106;0.5610941043899125;12.3;9.5;6.181423784210236;0.5025547792040842;8.468713845195065;16.131286154804936;0.15874321179542814;0.12796442687747034;0.11962415386140421;0.7535702000005107;0.08459939307842529;0.23288703051243098;1.614833089251571;1.5934195064629848;0.2508888078993863;0.15536516409610238;1.459330595059896;1.770335583443246;0.3333333333333333;2.1764705882352944;-1.1764705882352942;0.6285
0.05;0.95;2;200.0;200.0;0.0;0.0;200.0;200.0;58.8;57.5;26.97332015158683;0.45872993455079647;42.081762963757214;75.51823703624278;0.294;0.2875;0.13486660075793414;0.4587299345507964;0.21040881481878604;0.37759118518121393;17.5;14.5;15.487091398968367;0.884976651369621;7.90100130221907;27.098998697780928;0.294;0.2875;0.13486660075793414;0.4587299345507964;0.21040881481878604;0.37759118518121393;2.3;2.0;0.45825756949558405;0.19924242151981916;2.015969015774687;2.5840309842253126;0.588;0.575;0.26973320151586827;0.4587299345507964;0.4208176296375721;0.7551823703624279;17.5;14.5;15.487091398968367;0.884976651369621;7.90100130221907;27.098998697780928;0.5349318761842707;0.5687018863489451;0.13795526058561305;0.25789313878556547;0.4494263198083628;0.6204374325601787;16.6;15.5;8.8;0.5301204819277109;11.145703491741582;22.05429650825842;0.12435833695525247;0.10662878787878788;0.0790124290992816;0.6353609338448489;0.07538592602965842;0.17333074788084651;1.7767102502831862;1.7473178137651821;0.3489049479890214;0.19637695450533374;1.5604567230637993;1.992963777502573;0.9999999999999992;2.052631578947368;-1.0526315789473684;0.2940000000000002
