beta;gamma;dim;n_vertices_mean;n_vertices_median;n_vertices_std;n_vertices_cv;n_vertices_ci_low;n_vertices_ci_high;n_edges_mean;n_edges_median;n_edges_std;n_edges_cv;n_edges_ci_low;n_edges_ci_high;degree_mean_mean;degree_mean_median;degree_mean_std;degree_mean_cv;degree_mean_ci_low;degree_mean_ci_high;degree_max_mean;degree_max_median;degree_max_std;degree_max_cv;degree_max_ci_low;degree_max_ci_high;degree_min_mean;degree_min_median;degree_min_std;degree_min_cv;degree_min_ci_low;degree_min_ci_high;avg_local_clustering_mean;avg_local_clustering_median;avg_local_clustering_std;avg_local_clustering_cv;avg_local_clustering_ci_low;avg_local_clustering_ci_high;global_clustering_mean;global_clustering_median;global_clustering_std;global_clustering_cv;global_clustering_ci_low;global_clustering_ci_high;avg_shortest_path_length_mean;avg_shortest_path_length_median;avg_shortest_path_length_std;avg_shortest_path_length_cv;avg_shortest_path_length_ci_low;avg_shortest_path_length_ci_high;powerlaw_alpha_mean;powerlaw_alpha_median;powerlaw_alpha_std;powerlaw_alpha_cv;powerlaw_alpha_ci_low;powerlaw_alpha_ci_high;powerlaw_k_min_mean;powerlaw_k_min_median;powerlaw_k_min_std;powerlaw_k_min_cv;powerlaw_k_min_ci_low;powerlaw_k_min_ci_high;powerlaw_n_tail_mean;powerlaw_n_tail_median;powerlaw_n_tail_std;powerlaw_n_tail_cv;powerlaw_n_tail_ci_low;powerlaw_n_tail_ci_high
0.05;0.0;2;100.0;100.0;0.0;0.0;100.0;100.0;740.4;733.5;81.01876325888959;0.10942566620595569;690.1840502788208;790.6159497211792;14.808000000000002;14.670000000000002;1.6203752651777918;0.10942566620595567;13.803681005576417;15.812318994423586;31.7;32.0;3.689173349139344;0.11637770817474272;29.413426668571507;33.986573331428495;3.9;4.0;1.044030650891055;0.2677001668951423;3.252903098446608;4.547096901553392;0.5799858306193643;0.5843823448135871;0.018014508721921035;0.031060256597447256;0.5688203224352774;0.5911513388034512;0.5060318918854396;0.503520580003078;0.010307533162481463;0.020369335071108486;0.4996432166426123;0.512420567128267;2.3449494949494953;2.317676767676768;0.11161195659157022;0.04759674220359875;2.275771687549803;2.4141273023491876;5.50240161340909;5.80689881265328;1.9583508349136733;0.3559083782872675;4.288603190589248;6.716200036228932;16.5;19.0;5.766281297335398;0.34947159377790293;12.926021824353148;20.07397817564685;46.8;38.5;24.30144028653446;0.5192615445840697;31.737811261307336;61.86218873869266
0.05;0.1;2;100.0;100.0;0.0;0.0;100.0;100.0;819.9;807.5;92.100434309508;0.11233130175571168;762.8155594018825;876.9844405981174;16.398;16.15;1.8420086861901597;0.11233130175571165;15.256311188037651;17.53968881196235;38.4;37.0;7.364781055808788;0.19179117332835385;33.83526140945618;42.96473859054382;4.3;4.0;1.1874342087037917;0.27614749039623065;3.5640206524636713;5.035979347536328;0.600603026703855;0.601310433550388;0.016035366009958394;0.026698776557889548;0.5906642038814958;0.6105418495262143;0.5107884879725895;0.5094460315862117;0.009281932202570642;0.01817177250687909;0.5050354867905017;0.5165414891546772;2.2302222222222228;2.2234343434343433;0.09899481331854243;0.04438786966255887;2.1688646012427886;2.291579843201657;5.623792336584694;5.642877434522777;1.8091542888856051;0.3216964959954935;4.5024668910427055;6.745117782126683;19.5;20.0;5.80086200490927;0.29748010281586;15.904588479742548;23.09541152025745;35.6;27.5;24.755605425842447;0.6953821748832147;20.256316791591402;50.9436832084086
0.05;0.2;2;100.0;100.0;0.0;0.0;100.0;100.0;914.0;885.0;100.54650665239444;0.11000711887570508;851.6806295282117;976.3193704717883;18.28;17.700000000000003;2.010930133047889;0.11000711887570506;17.033612590564235;19.526387409435767;53.0;46.5;17.0;0.32075471698113206;42.46329083631896;63.53670916368104;5.0;4.5;1.61245154965971;0.322490309931942;4.0005921753358145;5.9994078246641855;0.6244408144969614;0.6229005769313725;0.0195211933057952;0.0312618791927;0.6123414535327755;0.6365401754611474;0.5102396237289212;0.5098358019755664;0.012952676665269969;0.02538547784785808;0.5022114715575595;0.5182677759002828;2.082949494949495;2.09989898989899;0.1186451489107975;0.05696016595624383;2.0094124697874536;2.156486520111536;4.181865033970269;4.5366418866161204;0.9038559393847031;0.21613704221500923;3.621649318725426;4.742080749215113;18.1;21.0;5.281098370604357;0.2917733906411247;14.8267413178913;21.373258682108702;49.1;39.5;26.960897611170143;0.5491017843415508;32.389462534077495;65.81053746592251
0.05;0.3;2;100.0;100.0;0.0;0.0;100.0;100.0;1014.9;993.0;114.84289268387487;0.11315685553638276;943.7196376631869;1086.080362336813;20.298;19.86;2.2968578536774973;0.11315685553638277;18.874392753263738;21.72160724673626;64.8;61.5;16.252999723128035;0.2508178969618524;54.726286404706556;74.87371359529344;5.8;5.0;1.6;0.27586206896551724;4.808309725771196;6.791690274228803;0.6452332661538456;0.6456983542308852;0.01703911889915226;0.02640768818495721;0.6346723108452721;0.6557942214624191;0.5130361172631788;0.5138869165282443;0.016073983812177027;0.03133109594296136;0.5030733588790243;0.5229988756473333;1.9653131313131311;1.9765656565656566;0.0983684077252664;0.050052282335050186;1.904343760542806;2.0262825020834563;4.182110685483427;4.004144170982927;1.319993467376153;0.31562853464352286;3.363970258206873;5.000251112759981;19.4;18.0;6.437390775772433;0.33182426679239346;15.410063860160164;23.389936139839833;53.1;54.0;25.551712271391914;0.4811998544518251;37.26288465660492;68.93711534339509
0.05;0.4;2;100.0;100.0;0.0;0.0;100.0;100.0;1135.2;1110.0;127.33640484951661;0.11217089926842548;1056.2760785971707;1214.1239214028294;22.704;22.200000000000003;2.546728096990332;0.11217089926842548;21.125521571943413;24.28247842805659;79.3;80.0;13.077079184588582;0.16490642099102878;71.19474234832722;87.40525765167277;7.0;6.5;1.4832396974191326;0.21189138534559038;6.080678511074608;7.919321488925392;0.6652690278460762;0.6664349027683393;0.013043732461503397;0.01960670332682515;0.6571844387075041;0.6733536169846484;0.5149142911918707;0.5161304310920679;0.019492106049551698;0.037855049632499756;0.5028329586958852;0.5269956236878562;1.8425858585858585;1.8388888888888888;0.05898614904367077;0.03201270039537873;1.8060258646353466;1.8791458525363705;3.5484560807147654;3.5860793117715524;0.5404712822323221;0.15231167300327836;3.2134685094086626;3.883443652020868;18.8;16.5;5.706137047074843;0.3035179280358959;15.263299616874509;22.336700383125493;59.4;62.5;22.73851358378555;0.38280325898628875;45.306523267837704;73.49347673216229
0.05;0.5;2;100.0;100.0;0.0;0.0;100.0;100.0;1270.2;1251.0;150.9038104224012;0.11880318880680302;1176.6688492875235;1363.7311507124766;25.404000000000003;25.02;3.0180762084480244;0.11880318880680302;23.533376985750472;27.274623014249535;90.1;94.0;9.299999999999999;0.10321864594894561;84.33580028104507;95.86419971895492;8.9;9.0;1.7;0.19101123595505617;7.846329083631897;9.953670916368104;0.6862804696699449;0.6815593802168305;0.013198911392669058;0.019232532435342144;0.6780996996333714;0.6944612397065185;0.5196694131318955;0.5213246770855694;0.021415153436045796;0.041209185868729376;0.5063961635171179;0.5329426627466731;1.76010101010101;1.7607070707070707;0.04043445824706067;0.022972805546393152;1.7350394732339345;1.7851625469680854;3.6530346597471515;3.5863274167972086;0.46219592259047765;0.126523826254216;3.3665626589839106;3.9395066605103923;21.4;19.5;5.122499389946279;0.23936913037132146;18.225041984529557;24.57495801547044;58.5;52.5;21.740515173288788;0.37163273800493657;45.02508909120361;71.97491090879639
0.05;0.6;2;100.0;100.0;0.0;0.0;100.0;100.0;1419.0;1428.0;173.53616337812704;0.12229468877951166;1311.4411715943318;1526.5588284056682;28.380000000000003;28.560000000000002;3.470723267562541;0.12229468877951165;26.228823431886635;30.53117656811337;96.7;99.0;4.124318125460257;0.04265065279690028;94.14372114197218;99.25627885802783;11.2;11.5;1.9390719429665317;0.17313142347915464;9.998150758206338;12.401849241793661;0.7056257885012874;0.7071227700914681;0.01713789084671281;0.024287506389346684;0.6950036137053625;0.7162479632972124;0.5265328664556679;0.5252976578454963;0.023647114180285537;0.044910993570952205;0.5118762332393134;0.5411894996720223;1.714828282828283;1.7116161616161616;0.03619119607303148;0.021104851392665967;1.6923967471043249;1.7372598185522412;3.6497337195719224;3.504550040531681;0.47908209416930436;0.13126494450819715;3.3527955612313805;3.9466718779124643;23.7;21.5;7.211795892841117;0.3042951853519459;19.230082595841395;28.169917404158603;62.3;72.5;24.8235775020443;0.398452287352236;46.91418726228608;77.68581273771392
0.05;0.7;2;100.0;100.0;0.0;0.0;100.0;100.0;1574.9;1584.5;193.74078042580504;0.12301782997384281;1454.8182202063945;1694.9817797936057;31.498;31.689999999999998;3.8748156085161014;0.12301782997384282;29.096364404127886;33.89963559587211;98.5;99.0;1.5;0.015228426395939087;97.5702903679105;99.4297096320895;13.5;13.0;2.5787593916455256;0.19101921419596485;11.901668369830592;15.098331630169408;0.7230537025609238;0.721927724521612;0.019640168456654054;0.027162807391888283;0.7108806000342494;0.7352268050875983;0.5370542769796512;0.5353415242758686;0.026021037968814078;0.048451411866886604;0.5209262705552692;0.5531822834040333;1.6818383838383841;1.67989898989899;0.03913955160117275;0.02327188627473605;1.6575794384255345;1.7060973292512338;3.439521049520274;3.350467546946539;0.26918999047970915;0.07826380086182473;3.2726753648462292;3.606366734194319;25.8;26.5;5.89576118919347;0.2285178755501345;22.145769355938246;29.454230644061756;59.7;69.0;28.043002692293847;0.4697320383968818;42.318766856175024;77.08123314382499
0.05;0.8;2;100.0;100.0;0.0;0.0;100.0;100.0;1725.7;1719.5;209.0067223799273;0.1211141695427521;1596.1562913546165;1855.2437086453835;34.513999999999996;34.39;4.1801344475985465;0.12111416954275213;31.923125827092328;37.104874172907664;99.0;99.0;0.0;0.0;99.0;99.0;15.3;15.0;2.1;0.13725490196078433;13.998406515074695;16.601593484925306;0.7371383315209634;0.7356776852740733;0.021599136568987824;0.0293013341531454;0.7237510479789604;0.7505256150629664;0.5492466456041896;0.5458866885359301;0.02973525026469746;0.05413824645572063;0.5308165465484022;0.567676744659977;1.6513737373737372;1.6526262626262627;0.0422235802787732;0.025568760918968887;1.6252032911827505;1.6775441835647238;3.472314800001533;3.42021925897325;0.1621791712278247;0.046706356010046406;3.3717951082583317;3.572834491744734;24.3;23.0;4.360045871318328;0.17942575602133037;21.597615571388854;27.002384428611148;76.2;83.5;18.760597005426025;0.24620206043866175;64.57206150687063;87.82793849312938
0.05;0.9;2;100.0;100.0;0.0;0.0;100.0;100.0;1869.6;1849.5;225.30743440907582;0.12051103680416979;1729.953005365672;2009.2469946343278;37.392;36.989999999999995;4.506148688181516;0.12051103680416976;34.59906010731345;40.18493989268656;99.0;99.0;0.0;0.0;99.0;99.0;18.0;18.5;2.792848008753788;0.1551582227085438;16.26897487019974;19.73102512980026;0.7476186146979907;0.7426010527582894;0.020803220160828324;0.027825979385534733;0.7347246452566569;0.7605125841393245;0.5625943604356075;0.5575272562410095;0.03180898285558552;0.056539818193265125;0.5428789486037356;0.5823097722674794;1.6223030303030304;1.6263636363636365;0.045516653415974904;0.028056813410175803;1.5940915162354894;1.6505145443705713;3.320936451294724;3.3125539222522837;0.13408466667262345;0.040375559315610585;3.2378299138806916;3.404042988708756;26.3;25.5;3.874274125562103;0.1473108032533119;23.898700018739852;28.70129998126015;71.8;86.5;24.30966885829587;0.33857477518517926;56.73271113969072;86.86728886030927
