beta;gamma;dim;n_vertices_mean;n_vertices_median;n_vertices_std;n_vertices_cv;n_vertices_ci_low;n_vertices_ci_high;n_edges_mean;n_edges_median;n_edges_std;n_edges_cv;n_edges_ci_low;n_edges_ci_high;indegree_mean_mean;indegree_mean_median;indegree_mean_std;indegree_mean_cv;indegree_mean_ci_low;indegree_mean_ci_high;indegree_max_mean;indegree_max_median;indegree_max_std;indegree_max_cv;indegree_max_ci_low;indegree_max_ci_high;outdegree_mean_mean;outdegree_mean_median;outdegree_mean_std;outdegree_mean_cv;outdegree_mean_ci_low;outdegree_mean_ci_high;outdegree_max_mean;outdegree_max_median;outdegree_max_std;outdegree_max_cv;outdegree_max_ci_low;outdegree_max_ci_high;total_degree_mean_mean;total_degree_mean_median;total_degree_mean_std;total_degree_mean_cv;total_degree_mean_ci_low;total_degree_mean_ci_high;total_degree_max_mean;total_degree_max_median;total_degree_max_std;total_degree_max_cv;total_degree_max_ci_low;total_degree_max_ci_high;avg_local_clustering_mean;avg_local_clustering_median;avg_local_clustering_std;avg_local_clustering_cv;avg_local_clustering_ci_low;avg_local_clustering_ci_high;vertices_degree_ge_2_mean;vertices_degree_ge_2_median;vertices_degree_ge_2_std;vertices_degree_ge_2_cv;vertices_degree_ge_2_ci_low;vertices_degree_ge_2_ci_high;global_clustering_mean;global_clustering_median;global_clustering_std;global_clustering_cv;global_clustering_ci_low;global_clustering_ci_high;avg_shortest_path_length_mean;avg_shortest_path_length_median;avg_shortest_path_length_std;avg_shortest_path_length_cv;avg_shortest_path_length_ci_low;avg_shortest_path_length_ci_high;expected_theoretical_outdegree_mean;indegree_powerlaw_alpha_theory;indegree_ccdf_slope_theory;outdegree_mean_vs_theory_ratio
0.05;0.05;2;1000.0;1000.0;0.0;0.0;1000.0;1000.0;52.0;52.0;6.387487769068525;0.12283630325131778;48.040994064162064;55.959005935837936;0.052000000000000005;0.052;0.006387487769068526;0.1228363032513178;0.04804099406416207;0.05595900593583794;2.1;2.0;0.3;0.14285714285714285;1.9140580735820993;2.285941926417901;0.052000000000000005;0.052;0.006387487769068526;0.1228363032513178;0.04804099406416207;0.05595900593583794;1.8;2.0;0.7483314773547883;0.41573970964154905;1.3361793450049901;2.26382065499501;0.10400000000000001;0.104;0.012774975538137051;0.1228363032513178;0.09608198812832414;0.11191801187167588;2.4;2.0;0.66332495807108;0.27638539919628335;1.9888669315173004;2.8111330684826994;0.37703703703703706;0.5333333333333333;0.31565921615048836;0.8372101017743797;0.18138942789508267;0.5726846461789914;6.3;6.0;3.2264531609803355;0.512135422377831;4.300223612500638;8.299776387499362;0.3723053033922599;0.5142857142857142;0.3137964043341754;0.8428469900240994;0.17781227697590307;0.5667983298086168;1.0696471269640606;1.068421052631579;0.034997357763239464;0.03271860119193809;1.0479555398906166;1.0913387140375046;0.052631578947368425;21.0;-20.0;0.988
0.05;0.15;2;1000.0;1000.0;0.0;0.0;1000.0;1000.0;57.5;56.0;6.053924347066125;0.1052856408185413;53.74773881506098;61.25226118493902;0.057499999999999996;0.056;0.006053924347066126;0.10528564081854133;0.05374773881506097;0.06125226118493902;2.2;2.0;0.39999999999999997;0.1818181818181818;1.9520774314427993;2.447922568557201;0.057499999999999996;0.056;0.006053924347066126;0.10528564081854133;0.05374773881506097;0.06125226118493902;1.8;2.0;0.7483314773547883;0.41573970964154905;1.3361793450049901;2.26382065499501;0.11499999999999999;0.112;0.012107848694132253;0.10528564081854133;0.10749547763012195;0.12250452236987804;2.6;2.5;0.66332495807108;0.2551249838734923;2.1888669315173006;3.0111330684826996;0.34023828023828023;0.43686868686868685;0.29036427786779456;0.8534144884121879;0.16026863627267915;0.5202079242038813;7.2;6.5;3.4871191548325386;0.4843221048378526;5.038661155672254;9.361338844327747;0.33666083916083916;0.4182692307692308;0.289195105084494;0.8590102306087685;0.1574158559940457;0.5159058223276326;1.0789297851183144;1.0847578347578346;0.030945129719654553;0.028681319346709054;1.059749795007233;1.0981097752293958;0.05882352941176471;7.666666666666667;-6.666666666666667;0.9774999999999998
0.05;0.25;2;1000.0;1000.0;0.0;0.0;1000.0;1000.0;65.0;64.5;5.916079783099616;0.09101661204768641;61.33317576096154;68.66682423903846;0.06500000000000002;0.0645;0.005916079783099617;0.0910166120476864;0.061333175760961554;0.06866682423903848;2.3;2.0;0.45825756949558405;0.19924242151981916;2.015969015774687;2.5840309842253126;0.06500000000000002;0.0645;0.005916079783099617;0.0910166120476864;0.061333175760961554;0.06866682423903848;2.0;2.0;0.6324555320336759;0.31622776601683794;1.608;2.392;0.13000000000000003;0.129;0.011832159566199233;0.0910166120476864;0.12266635152192311;0.13733364847807697;2.7;3.0;0.6403124237432849;0.23715274953454996;2.303130248066195;3.0968697519338053;0.39132987382987383;0.4995726495726496;0.27275720588475494;0.6970007252840937;0.2222732061412895;0.5603865415184581;9.4;9.0;3.6110940170535577;0.384158937984421;7.161820739976354;11.638179260023648;0.3818119380619381;0.4727272727272727;0.26632754225609934;0.6975359220247725;0.21674041717779155;0.5468834589460846;1.1007659153415126;1.0901702786377707;0.04647633254953427;0.04222181292297281;1.0719595859845146;1.1295722446985106;0.06666666666666667;5.0;-4.0;0.9750000000000002
0.05;0.35;2;1000.0;1000.0;0.0;0.0;1000.0;1000.0;74.8;73.5;7.66550715869472;0.10248004222853904;70.04886943980698;79.55113056019302;0.07479999999999999;0.0735;0.00766550715869472;0.10248004222853904;0.07004886943980698;0.079551130560193;2.7;3.0;0.6403124237432849;0.23715274953454996;2.303130248066195;3.0968697519338053;0.07479999999999999;0.0735;0.00766550715869472;0.10248004222853904;0.07004886943980698;0.079551130560193;2.1;2.0;0.5385164807134505;0.25643641938735734;1.7662240272278427;2.4337759727721577;0.14959999999999998;0.147;0.01533101431738944;0.10248004222853904;0.14009773887961396;0.159102261120386;3.0;3.0;0.6324555320336759;0.21081851067789195;2.608;3.392;0.4033827624617098;0.4571428571428572;0.2360118444608343;0.5850816307085933;0.25710110574007816;0.5496644191833414;12.2;10.0;4.853864439804639;0.39785774096759335;9.191543651637936;15.208456348362063;0.38926265763222284;0.4375;0.2372237303076308;0.6094181541856524;0.2422298662807515;0.5362954489836942;1.1281631883250411;1.1147606382978723;0.06710713585301671;0.05948353620068847;1.0865697546020487;1.1697566220480335;0.07692307692307693;3.857142857142857;-2.857142857142857;0.9723999999999998
0.05;0.45;2;1000.0;1000.0;0.0;0.0;1000.0;1000.0;85.6;83.0;10.031948963187563;0.11719566545779865;79.38213361352948;91.81786638647051;0.08559999999999998;0.083;0.01003194896318756;0.11719566545779862;0.07938213361352946;0.0918178663864705;3.3;3.0;1.004987562112089;0.3045416854885118;2.6771022555828283;3.9228977444171713;0.08559999999999998;0.083;0.01003194896318756;0.11719566545779862;0.07938213361352946;0.0918178663864705;2.1;2.0;0.5385164807134505;0.25643641938735734;1.7662240272278427;2.4337759727721577;0.17119999999999996;0.166;0.02006389792637512;0.11719566545779862;0.15876426722705891;0.183635732772941;3.5;3.0;0.9219544457292888;0.2634155559226539;2.928566714305161;4.071433285694839;0.36390032806699474;0.47150997150997154;0.19850547009553574;0.54549406742769;0.2408653630201451;0.48693529311384437;16.5;15.5;6.053924347066125;0.36690450588279544;12.747738815060977;20.252261184939023;0.35267499664051394;0.41522988505747127;0.20409822916371845;0.5787147688605732;0.22617360360990071;0.4791763896711272;1.212492017939108;1.1859194642699797;0.120680518799605;0.09953098000985407;1.1376934574500739;1.2872905784281423;0.09090909090909091;3.2222222222222223;-2.2222222222222223;0.9415999999999998
0.05;0.55;2;1000.0;1000.0;0.0;0.0;1000.0;1000.0;101.4;101.0;12.33045011343868;0.1216020721246418;93.75750784102463;109.04249215897538;0.1014;0.101;0.012330450113438682;0.12160207212464183;0.09375750784102463;0.10904249215897538;5.4;4.5;2.7276363393971716;0.5051178406291058;3.709393481616731;7.09060651838327;0.1014;0.101;0.012330450113438682;0.12160207212464183;0.09375750784102463;0.10904249215897538;2.2;2.0;0.39999999999999997;0.1818181818181818;1.9520774314427993;2.447922568557201;0.2028;0.202;0.024660900226877364;0.12160207212464183;0.18751501568204926;0.21808498431795076;5.4;4.5;2.7276363393971716;0.5051178406291058;3.709393481616731;7.09060651838327;0.39892806244389944;0.40389492753623185;0.10140518511081509;0.2541941634529046;0.3360764775496702;0.4617796473381287;23.0;21.0;8.12403840463596;0.3532190610711287;17.96466882916327;28.03533117083673;0.30465191946280673;0.30952380952380953;0.13608051552582273;0.44667539192194733;0.22030834211343164;0.3889954968121818;1.2977458538150421;1.2076392503904216;0.17813486040981394;0.13726482722802993;1.1873367234590935;1.4081549841709908;0.11111111111111113;2.8181818181818183;-1.8181818181818181;0.9125999999999999
0.05;0.65;2;1000.0;1000.0;0.0;0.0;1000.0;1000.0;123.0;123.5;16.47422228816887;0.13393676657047862;112.78917123833722;133.21082876166278;0.12300000000000003;0.1235;0.016474222288168874;0.13393676657047862;0.11278917123833723;0.13321082876166282;8.1;6.5;4.570557952810575;0.5642664139272315;5.26713883149915;10.93286116850085;0.12300000000000003;0.1235;0.016474222288168874;0.13393676657047862;0.11278917123833723;0.13321082876166282;2.3;2.0;0.45825756949558405;0.19924242151981916;2.015969015774687;2.5840309842253126;0.24600000000000005;0.247;0.03294844457633775;0.13393676657047862;0.22557834247667446;0.26642165752332564;8.2;6.5;4.728636167014756;0.5766629471969215;5.2691609392530605;11.130839060746938;0.35159872381251195;0.37125771604938274;0.11076384464366403;0.31502914300317036;0.28294658164419206;0.42025086598083183;31.3;27.5;10.119782606360673;0.3233157382223857;25.02769375747644;37.57230624252356;0.2116082887520391;0.20198842184747043;0.11349989784718215;0.5363679207300827;0.1412603232389058;0.2819562542651724;1.4636978205729585;1.366377171215881;0.24439421128395183;0.16697040048080738;1.312220719067887;1.61517492207803;0.14285714285714288;2.5384615384615383;-1.5384615384615383;0.8610000000000001
0.05;0.75;2;1000.0;1000.0;0.0;0.0;1000.0;1000.0;155.9;154.5;24.913650876577684;0.15980532954828533;140.45835920635375;171.34164079364626;0.1559;0.1545;0.024913650876577684;0.15980532954828533;0.14045835920635377;0.17134164079364625;13.8;10.5;9.075241043630742;0.6576261625819377;8.175107325468336;19.424892674531666;0.1559;0.1545;0.024913650876577684;0.15980532954828533;0.14045835920635377;0.17134164079364625;2.5;2.5;0.5;0.2;2.1900967893034986;2.8099032106965014;0.3118;0.309;0.04982730175315537;0.15980532954828533;0.28091671841270754;0.3426832815872925;13.8;10.5;9.075241043630742;0.6576261625819377;8.175107325468336;19.424892674531666;0.43852785918675236;0.4669101037851038;0.08793012772138445;0.20051206754446665;0.3840282013911314;0.4930275169823733;45.5;41.0;12.43583531573171;0.2733150618842134;37.79218941592361;53.20781058407639;0.18042310078116477;0.19369369369369369;0.07908960695745539;0.43835632252758583;0.13140285452348527;0.22944334703884428;1.6418134698921012;1.6162580529706514;0.2682650622112109;0.16339557881008313;1.4755410616981994;1.808085878086003;0.2;2.333333333333333;-1.3333333333333333;0.7795
0.05;0.85;2;1000.0;1000.0;0.0;0.0;1000.0;1000.0;203.9;194.0;39.8081649916195;0.19523376651113045;179.22664371432214;228.57335628567787;0.20389999999999997;0.194;0.0398081649916195;0.1952337665111305;0.1792266437143221;0.22857335628567785;27.8;20.0;21.539730731836;0.7748104579797122;14.449536577331857;41.150463422668146;0.20389999999999997;0.194;0.0398081649916195;0.1952337665111305;0.1792266437143221;0.22857335628567785;2.6;3.0;0.48989794855663565;0.1884222879063983;2.2963581056573386;2.9036418943426616;0.40779999999999994;0.388;0.079616329983239;0.1952337665111305;0.3584532874286442;0.4571467125713557;27.8;20.0;21.539730731836;0.7748104579797122;14.449536577331857;41.150463422668146;0.48470698224616104;0.4963610243116057;0.08802736297353336;0.1816094386872855;0.4301470574168724;0.5392669070754497;61.0;57.5;15.0996688705415;0.2475355552547787;51.641128273130356;70.35887172686964;0.1098928457032673;0.09787798408488063;0.05558633173174536;0.5058230258395492;0.07544008035424991;0.14434561105228466;1.8160909349916072;1.8187146822643006;0.2621670458878677;0.14435788474935551;1.653598116472673;1.9785837535105415;0.3333333333333333;2.1764705882352944;-1.1764705882352942;0.6116999999999999
0.05;0.95;2;1000.0;1000.0;0.0;0.0;1000.0;1000.0;281.1;258.5;81.49288312484717;0.28990709044769536;230.5901877413903;331.60981225860974;0.2811;0.2585;0.08149288312484716;0.28990709044769536;0.2305901877413903;0.33160981225860975;53.7;32.5;54.75773917904208;1.0196971914160537;19.760801635866535;87.63919836413348;0.2811;0.2585;0.08149288312484716;0.28990709044769536;0.2305901877413903;0.33160981225860975;3.2;3.0;1.077032961426901;0.33657280044590654;2.5324480544556853;3.867551945544315;0.5622;0.517;0.16298576624969432;0.28990709044769536;0.4611803754827806;0.6632196245172195;53.7;32.5;54.75773917904208;1.0196971914160537;19.760801635866535;87.63919836413348;0.5662115284734781;0.5485737710695267;0.10196493116645429;0.18008275359803175;0.5030130093796142;0.629410047567342;86.9;74.0;32.46675222439103;0.3736104974038093;66.77689848954691;107.0231015104531;0.08901310676365719;0.07004426959796015;0.05836708760680839;0.6557134081588855;0.05283681106694942;0.12518940246036495;1.990239283212396;1.9893377404662496;0.3092028675550472;0.15535964452272819;1.7985933603886477;2.1818852060361444;0.9999999999999992;2.052631578947368;-1.0526315789473684;0.28110000000000024
