beta;gamma;dim;n_vertices_mean;n_vertices_median;n_vertices_std;n_vertices_cv;n_vertices_ci_low;n_vertices_ci_high;n_edges_mean;n_edges_median;n_edges_std;n_edges_cv;n_edges_ci_low;n_edges_ci_high;indegree_mean_mean;indegree_mean_median;indegree_mean_std;indegree_mean_cv;indegree_mean_ci_low;indegree_mean_ci_high;indegree_max_mean;indegree_max_median;indegree_max_std;indegree_max_cv;indegree_max_ci_low;indegree_max_ci_high;outdegree_mean_mean;outdegree_mean_median;outdegree_mean_std;outdegree_mean_cv;outdegree_mean_ci_low;outdegree_mean_ci_high;outdegree_max_mean;outdegree_max_median;outdegree_max_std;outdegree_max_cv;outdegree_max_ci_low;outdegree_max_ci_high;total_degree_mean_mean;total_degree_mean_median;total_degree_mean_std;total_degree_mean_cv;total_degree_mean_ci_low;total_degree_mean_ci_high;total_degree_max_mean;total_degree_max_median;total_degree_max_std;total_degree_max_cv;total_degree_max_ci_low;total_degree_max_ci_high;avg_local_clustering_mean;avg_local_clustering_median;avg_local_clustering_std;avg_local_clustering_cv;avg_local_clustering_ci_low;avg_local_clustering_ci_high;vertices_degree_ge_2_mean;vertices_degree_ge_2_median;vertices_degree_ge_2_std;vertices_degree_ge_2_cv;vertices_degree_ge_2_ci_low;vertices_degree_ge_2_ci_high;global_clustering_mean;global_clustering_median;global_clustering_std;global_clustering_cv;global_clustering_ci_low;global_clustering_ci_high;avg_shortest_path_length_mean;avg_shortest_path_length_median;avg_shortest_path_length_std;avg_shortest_path_length_cv;avg_shortest_path_length_ci_low;avg_shortest_path_length_ci_high;closed_wedges_mean;closed_wedges_median;closed_wedges_std;closed_wedges_cv;closed_wedges_ci_low;closed_wedges_ci_high;wedges_mean;wedges_median;wedges_std;wedges_cv;wedges_ci_low;wedges_ci_high;indegree_alpha_mean;indegree_alpha_median;indegree_alpha_std;indegree_alpha_cv;indegree_alpha_ci_low;indegree_alpha_ci_high;indegree_xmin_mean;indegree_xmin_median;indegree_xmin_std;indegree_xmin_cv;indegree_xmin_ci_low;indegree_xmin_ci_high;indegree_KS_mean;indegree_KS_median;indegree_KS_std;indegree_KS_cv;indegree_KS_ci_low;indegree_KS_ci_high;indegree_LRT_exp_R_mean;indegree_LRT_exp_R_median;indegree_LRT_exp_R_std;indegree_LRT_exp_R_cv;indegree_LRT_exp_R_ci_low;indegree_LRT_exp_R_ci_high;indegree_LRT_exp_p_mean;indegree_LRT_exp_p_median;indegree_LRT_exp_p_std;indegree_LRT_exp_p_cv;indegree_LRT_exp_p_ci_low;indegree_LRT_exp_p_ci_high;indegree_LRT_log_R_mean;indegree_LRT_log_R_median;indegree_LRT_log_R_std;indegree_LRT_log_R_cv;indegree_LRT_log_R_ci_low;indegree_LRT_log_R_ci_high;indegree_LRT_log_p_mean;indegree_LRT_log_p_median;indegree_LRT_log_p_std;indegree_LRT_log_p_cv;indegree_LRT_log_p_ci_low;indegree_LRT_log_p_ci_high;indegree_LRT_trunc_R_mean;indegree_LRT_trunc_R_median;indegree_LRT_trunc_R_std;indegree_LRT_trunc_R_cv;indegree_LRT_trunc_R_ci_low;indegree_LRT_trunc_R_ci_high;indegree_LRT_trunc_p_mean;indegree_LRT_trunc_p_median;indegree_LRT_trunc_p_std;indegree_LRT_trunc_p_cv;indegree_LRT_trunc_p_ci_low;indegree_LRT_trunc_p_ci_high;expected_theoretical_outdegree_mean;indegree_powerlaw_alpha_theory;indegree_ccdf_slope_theory;outdegree_mean_vs_theory_ratio;powerlaw_alpha_mean;powerlaw_alpha_std;powerlaw_xmin_median;powerlaw_KS_mean;powerlaw_fraction_PL_superior_to_lognormal;powerlaw_fraction_lognormal_superior;powerlaw_fraction_inconclusive
1.5;0.2;2;200.0;200.0;0.0;0.0;200.0;200.0;358.6;369.0;30.176812290233705;0.08415173533249778;332.14885777891624;385.0511422210838;1.793;1.845;0.1508840614511685;0.08415173533249777;1.6607442888945811;1.9252557111054187;15.8;18.0;4.019950248448357;0.25442723091445296;12.276358247494505;19.323641752505498;1.793;1.845;0.1508840614511685;0.08415173533249777;1.6607442888945811;1.9252557111054187;6.4;6.0;1.0198039027185568;0.1593443597997745;5.506102466722276;7.2938975332777245;3.586;3.69;0.301768122902337;0.08415173533249777;3.3214885777891623;3.8505114222108374;16.2;18.0;3.9698866482558417;0.2450547313738174;12.720240927880207;19.679759072119793;0.5801359718866641;0.5705269195952425;0.034673167184678076;0.059767311225189565;0.5497436008291633;0.6105283429441649;158.6;158.0;3.1368774282716245;0.019778546206000155;155.85040570265357;161.3495942973464;0.4556252248951023;0.4371584699453552;0.03934548110611349;0.08635492276612192;0.4211373901137066;0.49011305967649804;6.239874907944851;5.933789450452439;1.0498570723266085;0.16824969856204805;5.319634610035417;7.160115205854286;751.8;771.0;166.92081955226556;0.22202822499636282;605.487450643494;898.112549356506;1664.2;1861.0;409.4505586758919;0.24603446621553413;1305.3007612111724;2023.0992387888277;2.6924098343623513;2.6967446330392155;0.2784362264951393;0.10341524642405785;2.448349721064421;2.9364699476602816;2.8;3.0;0.39999999999999997;0.14285714285714285;2.449384541128033;3.150615458871967;0.06409748944814933;0.07026111582304018;0.02079857462135553;0.3244834516986849;0.04586673498627579;0.08232824391002287;-0.6601785382343615;-0.7524709727229458;0.43464419187655656;-0.6583737075716011;-1.0411609701864468;-0.2791961062822761;0.49018443453185057;0.4517678796456758;0.20946693399237018;0.4273226957776027;0.30657857158125335;0.6737902974824478;-1.4722232107465323;-1.4565433497309461;0.14962555687864248;-0.10163238548777574;-1.6033757939564794;-1.3410706275365851;0.1452790740828564;0.14524247509707036;0.0382195753146021;0.26307694728839265;0.1117781392408041;0.1787800089249087;-1.67271447191145;-1.5605425698304187;0.22239733968545009;-0.1329559488005813;-1.8676543351757469;-1.477774608647153;0.03863382652289753;0.020693867166231672;0.028750478390934475;0.7441788965401762;0.01343292108833237;0.06383473195746268;1.875;6.0;-5.0;0.9562666666666666;2.6924098343623513;0.2784362264951393;3.0;0.06409748944814933;0.0;0.0;1.0
1.5;0.4;2;200.0;200.0;0.0;0.0;200.0;200.0;473.0;503.0;54.772255750516614;0.11579758086789982;424.9900010414497;521.0099989585503;2.365;2.515;0.2738612787525832;0.11579758086789986;2.1249500052072485;2.605049994792752;33.4;34.0;6.053098380168622;0.18123049042421024;28.094225334600043;38.70577466539995;2.365;2.515;0.2738612787525832;0.11579758086789986;2.1249500052072485;2.605049994792752;7.2;7.0;0.7483314773547882;0.10393492741038725;6.544058539197285;7.855941460802716;4.73;5.03;0.5477225575051664;0.11579758086789986;4.249900010414497;5.210099989585504;33.4;34.0;6.053098380168622;0.18123049042421024;28.094225334600043;38.70577466539995;0.6543735422910665;0.653443145791102;0.014488814966198553;0.022141504858938663;0.6416735360213547;0.6670735485607783;176.2;177.0;6.1773780845922;0.03505889945852554;170.78528937061267;181.6147106293873;0.40030683521766725;0.377442996742671;0.04527856480529131;0.11310964695536874;0.36061842327698895;0.43999524715834554;4.3489056818030924;4.131199740946625;0.5207316787506174;0.11973855421364708;3.892464240567299;4.805347123038886;1374.0;1419.0;357.69763767741046;0.2603330696342143;1060.4641965707904;1687.5358034292096;3470.8;3824.0;984.3018642672581;0.2835950974608903;2608.0213754785073;4333.578624521493;2.591899308951325;2.539614196053338;0.24322520960063965;0.09384053182955161;2.3787030127679287;2.8050956051347216;3.8;3.0;0.9797958971132712;0.25784102555612404;2.9411710298318994;4.6588289701681;0.06468449606991257;0.0592719753939448;0.025003783145092;0.38654986378911116;0.04276771381753361;0.08660127832229153;0.6364916109242038;0.7868244576274802;0.6833377325123565;1.07360053264509;0.037519679300830555;1.235463542547577;0.5079125321459264;0.4313846341238824;0.3164497001735084;0.6230397561495695;0.23053214005534883;0.7852929242365039;-0.8433960480163437;-0.7243129804170192;0.5007105284185015;-0.5936837498778492;-1.2822881772250385;-0.4045039188076488;0.45525896260121457;0.4688736097351486;0.2601950350716137;0.5715319333526934;0.2271879585566111;0.683329966645818;-1.0174916122642583;-0.8449744963889774;0.40589134388186493;-0.3989137001125948;-1.373271061732507;-0.6617121627960098;0.2967601933120342;0.2526461641286579;0.2502861653831009;0.8433953441994584;0.07737469649928183;0.5161456901247865;2.5;3.5;-2.5;0.9460000000000001;2.591899308951325;0.24322520960063965;3.0;0.06468449606991257;0.0;0.0;1.0
1.5;0.6;2;200.0;200.0;0.0;0.0;200.0;200.0;659.4;711.0;88.7571968912944;0.1346029676847049;581.6008867094232;737.1991132905767;3.2969999999999997;3.555;0.443785984456472;0.1346029676847049;2.908004433547116;3.6859955664528834;76.0;86.0;15.270887335056859;0.2009327280928534;62.61447707409233;89.38552292590768;3.2969999999999997;3.555;0.443785984456472;0.1346029676847049;2.908004433547116;3.6859955664528834;9.4;10.0;0.7999999999999999;0.08510638297872339;8.698769082256067;10.101230917743933;6.593999999999999;7.11;0.887571968912944;0.1346029676847049;5.816008867094232;7.371991132905767;76.0;86.0;15.270887335056859;0.2009327280928534;62.61447707409233;89.38552292590768;0.7114497694774927;0.7164181848189851;0.012619781331544414;0.01773811992491432;0.7003880434214345;0.722511495533551;189.6;191.0;5.499090833947008;0.029003643638961015;184.7798343596926;194.4201656403074;0.3034872295039527;0.2854213107445386;0.04950420788285461;0.1631179274454771;0.2600948780966019;0.34687958091130344;3.2752210857332997;2.9398647911896196;0.6471506601404445;0.19758991628363673;2.707968521572204;3.8424736498943957;2785.2;3201.0;762.5256454703671;0.2737776983593161;2116.8168022794107;3453.583197720589;9386.2;9887.0;2781.2261612461507;0.29631013202852596;6948.347783119905;11824.052216880096;2.2773340014388963;2.3388237017249134;0.30034937935605804;0.13188639837910784;2.0140661627768095;2.540601840100983;3.8;3.0;1.469693845669907;0.38676153833418603;2.511756544747849;5.088243455252151;0.04755067788930715;0.04573116450129483;0.01281935960035156;0.2695936245155884;0.0363140137675021;0.058787342011112194;1.4377428564257915;1.2678934551120284;0.35879934124153107;0.24955738061081464;1.1232413672448942;1.7522443456066887;0.17343018182918504;0.20483600168625582;0.07776061132984552;0.4483683895715081;0.10527000077023889;0.24159036288813118;-0.7654268355563698;-0.3864054656047947;0.5667503176996747;-0.7404369580114315;-1.2622053923216312;-0.2686482787911085;0.5145789512795333;0.6991964029054181;0.28922515841342894;0.5620617743773859;0.261061922193429;0.7680959803656378;-0.9716365014555908;-0.8067480952705777;0.5303898528197722;-0.5458727127122179;-1.4365437055241894;-0.5067292973869921;0.35994896480046934;0.49050693277788115;0.2730197747811619;0.7584957910144431;0.12063658076042391;0.5992613488405147;3.75;2.666666666666667;-1.6666666666666667;0.8791999999999999;2.2773340014388963;0.30034937935605804;3.0;0.04755067788930715;0.0;0.0;1.0
1.5;0.7;2;200.0;200.0;0.0;0.0;200.0;200.0;807.6;866.0;115.08883525346843;0.14250722542529523;706.7201880414124;908.4798119585877;4.037999999999999;4.33;0.5754441762673422;0.1425072254252953;3.5336009402070614;4.542399059792937;124.4;139.0;25.30296425322535;0.2034000341899144;102.22097394383604;146.57902605616397;4.037999999999999;4.33;0.5754441762673422;0.1425072254252953;3.5336009402070614;4.542399059792937;10.2;11.0;1.1661903789690602;0.11433239009500591;9.177789062864225;11.222210937135774;8.075999999999999;8.66;1.1508883525346845;0.1425072254252953;7.067201880414123;9.084798119585875;124.4;139.0;25.30296425322535;0.2034000341899144;102.22097394383604;146.57902605616397;0.7410682052627244;0.745295396750842;0.010333526645793338;0.013944096605966091;0.7320104697960231;0.7501259407294257;195.4;197.0;4.317406628984581;0.02209522328037145;191.61562623410424;199.18437376589577;0.24069238143727914;0.23161457850319947;0.0431126977542254;0.1791194947541783;0.20290243567151373;0.27848232720304456;2.66559183792098;2.473366834170854;0.4921405561197201;0.18462712449763632;2.2342116206374287;3.0969720552045317;4264.2;4833.0;1173.1459244271362;0.2751151269703898;3235.892258458004;5292.5077415419955;18164.6;18459.0;5180.5081835665505;0.2851980326330638;13623.684365072084;22705.515634927913;2.1692920767475288;2.0579871311207496;0.22543207008783617;0.10391964849004189;1.9716921550017685;2.366891998493289;3.6;3.0;0.8;0.22222222222222224;2.898769082256066;4.3012309177439345;0.05725886049276822;0.049145094458369454;0.015120762712941209;0.2640772551673633;0.04400492760003819;0.07051279338549825;1.7547498863380284;1.6326717333506064;0.3141829242792618;0.17904712616048507;1.4793564109232538;2.030143361752803;0.09367474214167218;0.10253805547477451;0.05435781195615487;0.5802824829124694;0.046028019185963845;0.14132146509738053;-0.596415992221365;-0.799401543904784;0.4806460162491401;-0.8058905571243371;-1.0177208010768029;-0.17511118336592707;0.5922159929634463;0.42405761551265564;0.3220247521701821;0.5437623367088951;0.30994885233774666;0.8744831335891459;-0.8452716377227656;-1.170417665284971;0.4686042932229853;-0.5543830791311601;-1.2560214109671426;-0.4345218644783887;0.4085640151198583;0.22238483560338873;0.33886271884624025;0.8293993261908538;0.11153774596266613;0.7055902842770505;4.999999999999999;2.428571428571429;-1.4285714285714286;0.8076;2.1692920767475288;0.22543207008783617;3.0;0.05725886049276822;0.0;0.0;1.0
1.5;0.9;2;200.0;200.0;0.0;0.0;200.0;200.0;1169.6;1272.0;196.25758584064974;0.16779889350260752;997.5726412084402;1341.6273587915596;5.848000000000001;6.36;0.9812879292032487;0.1677988935026075;4.987863206042203;6.708136793957799;196.8;199.0;4.3999999999999995;0.02235772357723577;192.9432299524084;200.65677004759164;5.848000000000001;6.36;0.9812879292032487;0.1677988935026075;4.987863206042203;6.708136793957799;11.6;12.0;1.3564659966250536;0.11693672384698739;10.411005130372716;12.788994869627283;11.696000000000002;12.72;1.9625758584064974;0.1677988935026075;9.975726412084406;13.416273587915597;196.8;199.0;4.3999999999999995;0.02235772357723577;192.9432299524084;200.65677004759164;0.7884210830414522;0.7889959302183509;0.014690933082342879;0.018633358998557482;0.7755439124316447;0.8012982536512597;199.6;200.0;0.8;0.004008016032064129;198.89876908225605;200.30123091774394;0.19111812740114295;0.19335824260774334;0.014695520810244403;0.07689234407053173;0.178236935470527;0.2039993193317589;1.9615979899497489;1.9360804020100502;0.04682515926846017;0.02387092539264873;1.9205539281905886;2.002642051708909;9104.4;10257.0;3025.7598450637156;0.33234038981851804;6452.204558716534;11756.595441283465;46847.6;49707.0;13349.439787496702;0.2849546142704579;35146.300108057876;58548.89989194212;2.1886351540087228;2.2028491434803446;0.2740969556672633;0.12523647679021557;1.948378579292006;2.4288917287254397;6.8;4.0;5.192301994298868;0.7635738226910099;2.2487466341676825;11.351253365832317;0.06004304913045809;0.06662167602249824;0.018532333986097223;0.3086507806395913;0.04379874216919802;0.07628735609171816;2.5307873005534027;2.495918713534589;0.5436295533276035;0.21480649646405647;2.0542749873126023;3.007299613794203;0.02439164484799649;0.012563138689118099;0.023695938874037648;0.9714776933538376;0.0036212386436895103;0.04516205105230347;-0.7685670891947369;-1.0167372642950854;0.3947616939412533;-0.5136333567897935;-1.1145909703604557;-0.4225432080290181;0.47493404124046057;0.3092784334876484;0.2461413109846377;0.5182642001018739;0.25918166949489485;0.6906864129860263;-0.6438225710813792;-0.44773051480826215;0.5520648900284516;-0.857479862970928;-1.127728782942448;-0.15991635922031033;0.6097234378917035;0.7017152266874807;0.3465837892671673;0.5684278604502753;0.30592935211297106;0.9135175236704358;15.000000000000004;2.111111111111111;-1.1111111111111112;0.38986666666666664;2.1886351540087228;0.2740969556672633;4.0;0.06004304913045809;0.0;0.0;1.0
