beta;gamma;dim;n_vertices_mean;n_vertices_median;n_vertices_std;n_vertices_cv;n_vertices_ci_low;n_vertices_ci_high;n_edges_mean;n_edges_median;n_edges_std;n_edges_cv;n_edges_ci_low;n_edges_ci_high;indegree_mean_mean;indegree_mean_median;indegree_mean_std;indegree_mean_cv;indegree_mean_ci_low;indegree_mean_ci_high;indegree_max_mean;indegree_max_median;indegree_max_std;indegree_max_cv;indegree_max_ci_low;indegree_max_ci_high;outdegree_mean_mean;outdegree_mean_median;outdegree_mean_std;outdegree_mean_cv;outdegree_mean_ci_low;outdegree_mean_ci_high;outdegree_max_mean;outdegree_max_median;outdegree_max_std;outdegree_max_cv;outdegree_max_ci_low;outdegree_max_ci_high;total_degree_mean_mean;total_degree_mean_median;total_degree_mean_std;total_degree_mean_cv;total_degree_mean_ci_low;total_degree_mean_ci_high;total_degree_max_mean;total_degree_max_median;total_degree_max_std;total_degree_max_cv;total_degree_max_ci_low;total_degree_max_ci_high;avg_local_clustering_mean;avg_local_clustering_median;avg_local_clustering_std;avg_local_clustering_cv;avg_local_clustering_ci_low;avg_local_clustering_ci_high;global_clustering_mean;global_clustering_median;global_clustering_std;global_clustering_cv;global_clustering_ci_low;global_clustering_ci_high;avg_shortest_path_length_mean;avg_shortest_path_length_median;avg_shortest_path_length_std;avg_shortest_path_length_cv;avg_shortest_path_length_ci_low;avg_shortest_path_length_ci_high
0.0;0.0;2;200.0;200.0;0.0;0.0;200.0;200.0;0.0;0.0;0.0;nan;0.0;0.0;0.0;0.0;0.0;nan;0.0;0.0;0.0;0.0;0.0;nan;0.0;0.0;0.0;0.0;0.0;nan;0.0;0.0;0.0;0.0;0.0;nan;0.0;0.0;0.0;0.0;0.0;nan;0.0;0.0;0.0;0.0;0.0;nan;0.0;0.0;0.0;0.0;0.0;nan;0.0;0.0;0.0;0.0;0.0;nan;0.0;0.0;0.0;0.0;0.0;nan;0.0;0.0
0.0;0.4;2;200.0;200.0;0.0;0.0;200.0;200.0;0.0;0.0;0.0;nan;0.0;0.0;0.0;0.0;0.0;nan;0.0;0.0;0.0;0.0;0.0;nan;0.0;0.0;0.0;0.0;0.0;nan;0.0;0.0;0.0;0.0;0.0;nan;0.0;0.0;0.0;0.0;0.0;nan;0.0;0.0;0.0;0.0;0.0;nan;0.0;0.0;0.0;0.0;0.0;nan;0.0;0.0;0.0;0.0;0.0;nan;0.0;0.0;0.0;0.0;0.0;nan;0.0;0.0
0.0;0.8;2;200.0;200.0;0.0;0.0;200.0;200.0;0.0;0.0;0.0;nan;0.0;0.0;0.0;0.0;0.0;nan;0.0;0.0;0.0;0.0;0.0;nan;0.0;0.0;0.0;0.0;0.0;nan;0.0;0.0;0.0;0.0;0.0;nan;0.0;0.0;0.0;0.0;0.0;nan;0.0;0.0;0.0;0.0;0.0;nan;0.0;0.0;0.0;0.0;0.0;nan;0.0;0.0;0.0;0.0;0.0;nan;0.0;0.0;0.0;0.0;0.0;nan;0.0;0.0
0.0;1.0;2;200.0;200.0;0.0;0.0;200.0;200.0;0.0;0.0;0.0;nan;0.0;0.0;0.0;0.0;0.0;nan;0.0;0.0;0.0;0.0;0.0;nan;0.0;0.0;0.0;0.0;0.0;nan;0.0;0.0;0.0;0.0;0.0;nan;0.0;0.0;0.0;0.0;0.0;nan;0.0;0.0;0.0;0.0;0.0;nan;0.0;0.0;0.0;0.0;0.0;nan;0.0;0.0;0.0;0.0;0.0;nan;0.0;0.0;0.0;0.0;0.0;nan;0.0;0.0
0.25;0.0;2;200.0;200.0;0.0;0.0;200.0;200.0;87.0;87.0;0.0;0.0;87.0;87.0;0.435;0.435;0.0;0.0;0.435;0.435;3.0;3.0;0.0;0.0;3.0;3.0;0.435;0.435;0.0;0.0;0.435;0.435;3.0;3.0;0.0;0.0;3.0;3.0;0.87;0.87;0.0;0.0;0.87;0.87;4.0;4.0;0.0;0.0;4.0;4.0;0.09416666666666666;0.09416666666666666;0.0;0.0;0.09416666666666666;0.09416666666666666;0.4583333333333333;0.4583333333333333;0.0;0.0;0.4583333333333333;0.4583333333333333;1.9655172413793103;1.9655172413793103;0.0;0.0;1.9655172413793103;1.9655172413793103
0.25;0.4;2;200.0;200.0;0.0;0.0;200.0;200.0;123.0;123.0;0.0;0.0;123.0;123.0;0.615;0.615;0.0;0.0;0.615;0.615;6.0;6.0;0.0;0.0;6.0;6.0;0.615;0.615;0.0;0.0;0.615;0.615;3.0;3.0;0.0;0.0;3.0;3.0;1.23;1.23;0.0;0.0;1.23;1.23;7.0;7.0;0.0;0.0;7.0;7.0;0.18147619047619049;0.18147619047619049;0.0;0.0;0.18147619047619049;0.18147619047619049;0.47802197802197804;0.47802197802197804;0.0;0.0;0.47802197802197804;0.47802197802197804;2.132716049382716;2.132716049382716;0.0;0.0;2.132716049382716;2.132716049382716
0.25;0.8;2;200.0;200.0;0.0;0.0;200.0;200.0;197.0;197.0;0.0;0.0;197.0;197.0;0.985;0.985;0.0;0.0;0.985;0.985;28.0;28.0;0.0;0.0;28.0;28.0;0.985;0.985;0.0;0.0;0.985;0.985;5.0;5.0;0.0;0.0;5.0;5.0;1.97;1.97;0.0;0.0;1.97;1.97;28.0;28.0;0.0;0.0;28.0;28.0;0.29708435083435086;0.29708435083435086;0.0;0.0;0.29708435083435086;0.29708435083435086;0.2661290322580645;0.2661290322580645;0.0;0.0;0.2661290322580645;0.2661290322580645;3.453461975028377;3.453461975028377;0.0;0.0;3.453461975028377;3.453461975028377
0.25;1.0;2;200.0;200.0;0.0;0.0;200.0;200.0;330.0;330.0;0.0;0.0;330.0;330.0;1.65;1.65;0.0;0.0;1.65;1.65;81.0;81.0;0.0;0.0;81.0;81.0;1.65;1.65;0.0;0.0;1.65;1.65;6.0;6.0;0.0;0.0;6.0;6.0;3.3;3.3;0.0;0.0;3.3;3.3;81.0;81.0;0.0;0.0;81.0;81.0;0.46785986230670157;0.46785986230670157;0.0;0.0;0.46785986230670157;0.46785986230670157;0.1371499176276771;0.1371499176276771;0.0;0.0;0.1371499176276771;0.1371499176276771;3.2577753633030015;3.2577753633030015;0.0;0.0;3.2577753633030015;3.2577753633030015
0.5;0.0;2;200.0;200.0;0.0;0.0;200.0;200.0;153.0;153.0;0.0;0.0;153.0;153.0;0.765;0.765;0.0;0.0;0.765;0.765;6.0;6.0;0.0;0.0;6.0;6.0;0.765;0.765;0.0;0.0;0.765;0.765;3.0;3.0;0.0;0.0;3.0;3.0;1.53;1.53;0.0;0.0;1.53;1.53;7.0;7.0;0.0;0.0;7.0;7.0;0.23985714285714285;0.23985714285714285;0.0;0.0;0.23985714285714285;0.23985714285714285;0.47808764940239046;0.47808764940239046;0.0;0.0;0.47808764940239046;0.47808764940239046;2.4087912087912087;2.4087912087912087;0.0;0.0;2.4087912087912087;2.4087912087912087
0.5;0.4;2;200.0;200.0;0.0;0.0;200.0;200.0;215.0;215.0;0.0;0.0;215.0;215.0;1.075;1.075;0.0;0.0;1.075;1.075;14.0;14.0;0.0;0.0;14.0;14.0;1.075;1.075;0.0;0.0;1.075;1.075;5.0;5.0;0.0;0.0;5.0;5.0;2.15;2.15;0.0;0.0;2.15;2.15;14.0;14.0;0.0;0.0;14.0;14.0;0.3190144855144855;0.3190144855144855;0.0;0.0;0.3190144855144855;0.3190144855144855;0.46367851622874806;0.46367851622874806;0.0;0.0;0.46367851622874806;0.46367851622874806;4.32516437537358;4.32516437537358;0.0;0.0;4.32516437537358;4.32516437537358
0.5;0.8;2;200.0;200.0;0.0;0.0;200.0;200.0;410.0;410.0;0.0;0.0;410.0;410.0;2.05;2.05;0.0;0.0;2.05;2.05;68.0;68.0;0.0;0.0;68.0;68.0;2.05;2.05;0.0;0.0;2.05;2.05;7.0;7.0;0.0;0.0;7.0;7.0;4.1;4.1;0.0;0.0;4.1;4.1;68.0;68.0;0.0;0.0;68.0;68.0;0.5427980803608513;0.5427980803608513;0.0;0.0;0.5427980803608513;0.5427980803608513;0.24469413233458176;0.24469413233458176;0.0;0.0;0.24469413233458176;0.24469413233458176;4.475577230816125;4.475577230816125;0.0;0.0;4.475577230816125;4.475577230816125
0.5;1.0;2;200.0;200.0;0.0;0.0;200.0;200.0;645.0;645.0;0.0;0.0;645.0;645.0;3.225;3.225;0.0;0.0;3.225;3.225;167.0;167.0;0.0;0.0;167.0;167.0;3.225;3.225;0.0;0.0;3.225;3.225;12.0;12.0;0.0;0.0;12.0;12.0;6.45;6.45;0.0;0.0;6.45;6.45;167.0;167.0;0.0;0.0;167.0;167.0;0.7306010735706026;0.7306010735706026;0.0;0.0;0.7306010735706026;0.7306010735706026;0.12678090103966114;0.12678090103966114;0.0;0.0;0.12678090103966114;0.12678090103966114;2.365427135678392;2.365427135678392;0.0;0.0;2.365427135678392;2.365427135678392
0.75;0.0;2;200.0;200.0;0.0;0.0;200.0;200.0;221.0;221.0;0.0;0.0;221.0;221.0;1.105;1.105;0.0;0.0;1.105;1.105;7.0;7.0;0.0;0.0;7.0;7.0;1.105;1.105;0.0;0.0;1.105;1.105;5.0;5.0;0.0;0.0;5.0;5.0;2.21;2.21;0.0;0.0;2.21;2.21;8.0;8.0;0.0;0.0;8.0;8.0;0.3814642857142857;0.3814642857142857;0.0;0.0;0.3814642857142857;0.3814642857142857;0.521978021978022;0.521978021978022;0.0;0.0;0.521978021978022;0.521978021978022;3.0272536687631026;3.0272536687631026;0.0;0.0;3.0272536687631026;3.0272536687631026
0.75;0.4;2;200.0;200.0;0.0;0.0;200.0;200.0;319.0;319.0;0.0;0.0;319.0;319.0;1.595;1.595;0.0;0.0;1.595;1.595;18.0;18.0;0.0;0.0;18.0;18.0;1.595;1.595;0.0;0.0;1.595;1.595;6.0;6.0;0.0;0.0;6.0;6.0;3.19;3.19;0.0;0.0;3.19;3.19;18.0;18.0;0.0;0.0;18.0;18.0;0.45512608796432324;0.45512608796432324;0.0;0.0;0.45512608796432324;0.45512608796432324;0.4823441021788129;0.4823441021788129;0.0;0.0;0.4823441021788129;0.4823441021788129;4.797972304648862;4.797972304648862;0.0;0.0;4.797972304648862;4.797972304648862
0.75;0.8;2;200.0;200.0;0.0;0.0;200.0;200.0;631.0;631.0;0.0;0.0;631.0;631.0;3.155;3.155;0.0;0.0;3.155;3.155;104.0;104.0;0.0;0.0;104.0;104.0;3.155;3.155;0.0;0.0;3.155;3.155;11.0;11.0;0.0;0.0;11.0;11.0;6.31;6.31;0.0;0.0;6.31;6.31;104.0;104.0;0.0;0.0;104.0;104.0;0.691295410178177;0.691295410178177;0.0;0.0;0.691295410178177;0.691295410178177;0.243576017130621;0.243576017130621;0.0;0.0;0.243576017130621;0.243576017130621;3.4824157041487545;3.4824157041487545;0.0;0.0;3.4824157041487545;3.4824157041487545
0.75;1.0;2;200.0;200.0;0.0;0.0;200.0;200.0;932.0;932.0;0.0;0.0;932.0;932.0;4.66;4.66;0.0;0.0;4.66;4.66;196.0;196.0;0.0;0.0;196.0;196.0;4.66;4.66;0.0;0.0;4.66;4.66;13.0;13.0;0.0;0.0;13.0;13.0;9.32;9.32;0.0;0.0;9.32;9.32;196.0;196.0;0.0;0.0;196.0;196.0;0.8013135477146982;0.8013135477146982;0.0;0.0;0.8013135477146982;0.8013135477146982;0.15902964959568733;0.15902964959568733;0.0;0.0;0.15902964959568733;0.15902964959568733;1.9773366834170854;1.9773366834170854;0.0;0.0;1.9773366834170854;1.9773366834170854
1.0;0.0;2;200.0;200.0;0.0;0.0;200.0;200.0;294.0;294.0;0.0;0.0;294.0;294.0;1.47;1.47;0.0;0.0;1.47;1.47;9.0;9.0;0.0;0.0;9.0;9.0;1.47;1.47;0.0;0.0;1.47;1.47;5.0;5.0;0.0;0.0;5.0;5.0;2.94;2.94;0.0;0.0;2.94;2.94;10.0;10.0;0.0;0.0;10.0;10.0;0.41565079365079355;0.41565079365079355;0.0;0.0;0.41565079365079355;0.41565079365079355;0.5149948293691831;0.5149948293691831;0.0;0.0;0.5149948293691831;0.5149948293691831;8.373516168645109;8.373516168645109;0.0;0.0;8.373516168645109;8.373516168645109
1.0;0.4;2;200.0;200.0;0.0;0.0;200.0;200.0;430.0;430.0;0.0;0.0;430.0;430.0;2.15;2.15;0.0;0.0;2.15;2.15;23.0;23.0;0.0;0.0;23.0;23.0;2.15;2.15;0.0;0.0;2.15;2.15;9.0;9.0;0.0;0.0;9.0;9.0;4.3;4.3;0.0;0.0;4.3;4.3;23.0;23.0;0.0;0.0;23.0;23.0;0.5717381700425178;0.5717381700425178;0.0;0.0;0.5717381700425178;0.5717381700425178;0.48964677222898906;0.48964677222898906;0.0;0.0;0.48964677222898906;0.48964677222898906;5.031783295711061;5.031783295711061;0.0;0.0;5.031783295711061;5.031783295711061
1.0;0.8;2;200.0;200.0;0.0;0.0;200.0;200.0;820.0;820.0;0.0;0.0;820.0;820.0;4.1;4.1;0.0;0.0;4.1;4.1;135.0;135.0;0.0;0.0;135.0;135.0;4.1;4.1;0.0;0.0;4.1;4.1;11.0;11.0;0.0;0.0;11.0;11.0;8.2;8.2;0.0;0.0;8.2;8.2;135.0;135.0;0.0;0.0;135.0;135.0;0.7379028322852078;0.7379028322852078;0.0;0.0;0.7379028322852078;0.7379028322852078;0.24120922832140015;0.24120922832140015;0.0;0.0;0.24120922832140015;0.24120922832140015;2.5867819961671934;2.5867819961671934;0.0;0.0;2.5867819961671934;2.5867819961671934
1.0;1.0;2;200.0;200.0;0.0;0.0;200.0;200.0;1164.0;1164.0;0.0;0.0;1164.0;1164.0;5.82;5.82;0.0;0.0;5.82;5.82;199.0;199.0;0.0;0.0;199.0;199.0;5.82;5.82;0.0;0.0;5.82;5.82;13.0;13.0;0.0;0.0;13.0;13.0;11.64;11.64;0.0;0.0;11.64;11.64;199.0;199.0;0.0;0.0;199.0;199.0;0.7836995514499497;0.7836995514499497;0.0;0.0;0.7836995514499497;0.7836995514499497;0.18197947028260042;0.18197947028260042;0.0;0.0;0.18197947028260042;0.18197947028260042;1.9415075376884423;1.9415075376884423;0.0;0.0;1.9415075376884423;1.9415075376884423
1.25;0.0;2;200.0;200.0;0.0;0.0;200.0;200.0;350.0;350.0;0.0;0.0;350.0;350.0;1.75;1.75;0.0;0.0;1.75;1.75;10.0;10.0;0.0;0.0;10.0;10.0;1.75;1.75;0.0;0.0;1.75;1.75;6.0;6.0;0.0;0.0;6.0;6.0;3.5;3.5;0.0;0.0;3.5;3.5;12.0;12.0;0.0;0.0;12.0;12.0;0.4650220057720058;0.4650220057720058;0.0;0.0;0.4650220057720058;0.4650220057720058;0.5032967032967033;0.5032967032967033;0.0;0.0;0.5032967032967033;0.5032967032967033;8.46837158864992;8.46837158864992;0.0;0.0;8.46837158864992;8.46837158864992
1.25;0.4;2;200.0;200.0;0.0;0.0;200.0;200.0;536.0;536.0;0.0;0.0;536.0;536.0;2.68;2.68;0.0;0.0;2.68;2.68;28.0;28.0;0.0;0.0;28.0;28.0;2.68;2.68;0.0;0.0;2.68;2.68;10.0;10.0;0.0;0.0;10.0;10.0;5.36;5.36;0.0;0.0;5.36;5.36;28.0;28.0;0.0;0.0;28.0;28.0;0.6302267934064611;0.6302267934064611;0.0;0.0;0.6302267934064611;0.6302267934064611;0.49690777090615756;0.49690777090615756;0.0;0.0;0.49690777090615756;0.49690777090615756;5.1935643837126015;5.1935643837126015;0.0;0.0;5.1935643837126015;5.1935643837126015
1.25;0.8;2;200.0;200.0;0.0;0.0;200.0;200.0;993.0;993.0;0.0;0.0;993.0;993.0;4.965;4.965;0.0;0.0;4.965;4.965;169.0;169.0;0.0;0.0;169.0;169.0;4.965;4.965;0.0;0.0;4.965;4.965;13.0;13.0;0.0;0.0;13.0;13.0;9.93;9.93;0.0;0.0;9.93;9.93;169.0;169.0;0.0;0.0;169.0;169.0;0.7558060197980254;0.7558060197980254;0.0;0.0;0.7558060197980254;0.7558060197980254;0.22635240369639706;0.22635240369639706;0.0;0.0;0.22635240369639706;0.22635240369639706;2.1810224270989798;2.1810224270989798;0.0;0.0;2.1810224270989798;2.1810224270989798
1.25;1.0;2;200.0;200.0;0.0;0.0;200.0;200.0;1373.0;1373.0;0.0;0.0;1373.0;1373.0;6.865;6.865;0.0;0.0;6.865;6.865;199.0;199.0;0.0;0.0;199.0;199.0;6.865;6.865;0.0;0.0;6.865;6.865;14.0;14.0;0.0;0.0;14.0;14.0;13.73;13.73;0.0;0.0;13.73;13.73;199.0;199.0;0.0;0.0;199.0;199.0;0.7790368855756132;0.7790368855756132;0.0;0.0;0.7790368855756132;0.7790368855756132;0.19644844517184942;0.19644844517184942;0.0;0.0;0.19644844517184942;0.19644844517184942;1.931005025125628;1.931005025125628;0.0;0.0;1.931005025125628;1.931005025125628
1.5;0.0;2;200.0;200.0;0.0;0.0;200.0;200.0;428.0;428.0;0.0;0.0;428.0;428.0;2.14;2.14;0.0;0.0;2.14;2.14;10.0;10.0;0.0;0.0;10.0;10.0;2.14;2.14;0.0;0.0;2.14;2.14;7.0;7.0;0.0;0.0;7.0;7.0;4.28;4.28;0.0;0.0;4.28;4.28;12.0;12.0;0.0;0.0;12.0;12.0;0.5344256854256857;0.5344256854256857;0.0;0.0;0.5344256854256857;0.5344256854256857;0.5252976190476191;0.5252976190476191;0.0;0.0;0.5252976190476191;0.5252976190476191;7.4695462266440185;7.4695462266440185;0.0;0.0;7.4695462266440185;7.4695462266440185
1.5;0.4;2;200.0;200.0;0.0;0.0;200.0;200.0;629.0;629.0;0.0;0.0;629.0;629.0;3.145;3.145;0.0;0.0;3.145;3.145;33.0;33.0;0.0;0.0;33.0;33.0;3.145;3.145;0.0;0.0;3.145;3.145;11.0;11.0;0.0;0.0;11.0;11.0;6.29;6.29;0.0;0.0;6.29;6.29;33.0;33.0;0.0;0.0;33.0;33.0;0.6424828670168838;0.6424828670168838;0.0;0.0;0.6424828670168838;0.6424828670168838;0.49569303054032887;0.49569303054032887;0.0;0.0;0.49569303054032887;0.49569303054032887;4.525691494872061;4.525691494872061;0.0;0.0;4.525691494872061;4.525691494872061
