beta;gamma;dim;n_vertices_mean;n_vertices_median;n_vertices_std;n_vertices_cv;n_vertices_ci_low;n_vertices_ci_high;n_edges_mean;n_edges_median;n_edges_std;n_edges_cv;n_edges_ci_low;n_edges_ci_high;indegree_mean_mean;indegree_mean_median;indegree_mean_std;indegree_mean_cv;indegree_mean_ci_low;indegree_mean_ci_high;indegree_max_mean;indegree_max_median;indegree_max_std;indegree_max_cv;indegree_max_ci_low;indegree_max_ci_high;outdegree_mean_mean;outdegree_mean_median;outdegree_mean_std;outdegree_mean_cv;outdegree_mean_ci_low;outdegree_mean_ci_high;outdegree_max_mean;outdegree_max_median;outdegree_max_std;outdegree_max_cv;outdegree_max_ci_low;outdegree_max_ci_high;total_degree_mean_mean;total_degree_mean_median;total_degree_mean_std;total_degree_mean_cv;total_degree_mean_ci_low;total_degree_mean_ci_high;total_degree_max_mean;total_degree_max_median;total_degree_max_std;total_degree_max_cv;total_degree_max_ci_low;total_degree_max_ci_high;avg_local_clustering_mean;avg_local_clustering_median;avg_local_clustering_std;avg_local_clustering_cv;avg_local_clustering_ci_low;avg_local_clustering_ci_high;global_clustering_mean;global_clustering_median;global_clustering_std;global_clustering_cv;global_clustering_ci_low;global_clustering_ci_high;avg_shortest_path_length_mean;avg_shortest_path_length_median;avg_shortest_path_length_std;avg_shortest_path_length_cv;avg_shortest_path_length_ci_low;avg_shortest_path_length_ci_high;expected_theoretical_outdegree_mean;outdegree_mean_vs_theory_ratio
0.1;0.1;2;1000.0;1000.0;0.0;0.0;1000.0;1000.0;113.33333333333333;105.0;16.21384867602041;0.14306337067076835;94.98563633384086;131.6810303328258;0.11333333333333333;0.105;0.016213848676020416;0.14306337067076838;0.09498563633384084;0.1316810303328258;2.6666666666666665;3.0;0.4714045207910317;0.1767766952966369;2.1332222337938855;3.2001110995394475;0.11333333333333333;0.105;0.016213848676020416;0.14306337067076838;0.09498563633384084;0.1316810303328258;2.3333333333333335;2.0;0.4714045207910317;0.20203050891044214;1.7998889004605525;2.8667777662061145;0.22666666666666666;0.21;0.03242769735204083;0.14306337067076838;0.18997127266768168;0.2633620606656516;2.6666666666666665;3.0;0.4714045207910317;0.1767766952966369;2.1332222337938855;3.2001110995394475;0.008888888888888889;0.008333333333333333;0.005050363634383783;0.5681659088681755;0.00317386443340762;0.014603913344370157;0.3441073726788013;0.2;0.2154463281615868;0.6261020404311126;0.10030690138118448;0.5879078439764182;1.2180561757714357;1.1652173913043478;0.09729250180407265;0.07987521736627134;1.1079593456422772;1.3281530059005942;0.11111111111111112;1.0199999999999998
0.1;0.3;2;1000.0;1000.0;0.0;0.0;1000.0;1000.0;144.0;133.0;22.992752481307377;0.15967189223130124;117.98125120439323;170.01874879560677;0.144;0.133;0.02299275248130737;0.1596718922313012;0.11798125120439322;0.17001874879560674;4.0;4.0;0.816496580927726;0.2041241452319315;3.076047139249578;4.923952860750422;0.144;0.133;0.02299275248130737;0.1596718922313012;0.11798125120439322;0.17001874879560674;2.3333333333333335;2.0;0.4714045207910317;0.20203050891044214;1.7998889004605525;2.8667777662061145;0.288;0.266;0.04598550496261474;0.1596718922313012;0.23596250240878644;0.3400374975912135;4.333333333333333;4.0;0.4714045207910317;0.10878565864408424;3.799888900460552;4.8667777662061145;0.019666666666666666;0.02333333333333333;0.008178562764256865;0.4158591236062813;0.010411751656151881;0.02892158167718145;0.42241686832946074;0.4077669902912621;0.15784224035311856;0.3736646241835464;0.24380155881302218;0.6010321778458994;1.2733240878732681;1.3319672131147542;0.08524950304996079;0.06695035762053811;1.176855193746282;1.3697929820002543;0.14285714285714288;1.0079999999999998
0.1;0.5;2;1000.0;1000.0;0.0;0.0;1000.0;1000.0;190.66666666666666;187.0;27.475241379993168;0.1441009163286355;159.57550417336023;221.75782915997308;0.19066666666666668;0.187;0.02747524137999317;0.1441009163286355;0.15957550417336022;0.22175782915997314;9.0;8.0;3.7416573867739413;0.41573970964154905;4.765916077040198;13.234083922959801;0.19066666666666668;0.187;0.02747524137999317;0.1441009163286355;0.15957550417336022;0.22175782915997314;3.0;3.0;0.0;0.0;3.0;3.0;0.38133333333333336;0.374;0.05495048275998634;0.1441009163286355;0.31915100834672044;0.44351565831994627;9.0;8.0;3.7416573867739413;0.41573970964154905;4.765916077040198;13.234083922959801;0.03242588522588523;0.026333333333333334;0.015864047249296815;0.48924022085394664;0.01447402580424105;0.05037774464752941;0.3345616502578528;0.42;0.13847296887906252;0.41389372862173196;0.1778647347765385;0.49125856573916704;1.6620976290819547;1.6020408163265305;0.3394757144562462;0.20424535148621364;1.2779446946376323;2.046250563526277;0.2;0.9533333333333334
0.1;0.7;2;1000.0;1000.0;0.0;0.0;1000.0;1000.0;286.3333333333333;302.0;40.33471072028271;0.14086627725360668;240.69031139293315;331.9763552737335;0.28633333333333333;0.302;0.040334710720282704;0.14086627725360665;0.24069031139293315;0.3319763552737335;27.0;26.0;10.23067283548187;0.3789138087215508;15.422903837509358;38.57709616249064;0.28633333333333333;0.302;0.040334710720282704;0.14086627725360665;0.24069031139293315;0.3319763552737335;3.0;3.0;0.0;0.0;3.0;3.0;0.5726666666666667;0.604;0.08066942144056541;0.14086627725360665;0.4813806227858663;0.663952710547467;27.0;26.0;10.23067283548187;0.3789138087215508;15.422903837509358;38.57709616249064;0.058697940804715;0.058336476426799004;0.014475713497799227;0.24661365116638714;0.042317128918769084;0.07507875269066092;0.1603011940635173;0.19016817593790428;0.04751130934010411;0.29638774444361504;0.10653708627887835;0.21406530184815625;2.076794921992869;2.0667714061272586;0.19831182701953085;0.09548936436594954;1.8523839640349724;2.301205879950766;0.3333333333333333;0.859
0.1;0.9;2;1000.0;1000.0;0.0;0.0;1000.0;1000.0;533.6666666666666;538.0;88.642853945231;0.1661015376862542;433.35783451611564;633.9754988172176;0.5336666666666666;0.538;0.08864285394523101;0.16610153768625424;0.43335783451611565;0.6339754988172176;95.0;70.0;36.778616975991184;0.3871433365893809;53.38107695343912;136.6189230465609;0.5336666666666666;0.538;0.08864285394523101;0.16610153768625424;0.43335783451611565;0.6339754988172176;4.333333333333333;4.0;0.4714045207910317;0.10878565864408424;3.799888900460552;4.8667777662061145;1.0673333333333332;1.076;0.17728570789046202;0.16610153768625424;0.8667156690322313;1.2679509976344352;95.0;70.0;36.778616975991184;0.3871433365893809;53.38107695343912;136.6189230465609;0.1505279009484213;0.14531653535700179;0.04505288752993337;0.2992992478209793;0.09954575933179446;0.20151004256504815;0.06694302510608087;0.05451672372925994;0.033491533984581406;0.5002990816669735;0.029043786629400582;0.10484226358276116;2.6625519565473823;2.4937898623699226;0.4931845483121819;0.18523001855397042;2.104461102360106;3.2206428107346587;1.0000000000000002;0.5336666666666665
0.1;1.0;2;1000.0;1000.0;0.0;0.0;1000.0;1000.0;788.3333333333334;731.0;162.71515670711878;0.20640400427964326;604.2037998622025;972.4628668044643;0.7883333333333334;0.731;0.16271515670711878;0.20640400427964326;0.6042037998622026;0.9724628668044643;185.33333333333334;137.0;74.08253655364551;0.39972591665636065;101.50105138719819;269.1656152794685;0.7883333333333334;0.731;0.16271515670711878;0.20640400427964326;0.6042037998622026;0.9724628668044643;4.666666666666667;5.0;0.4714045207910317;0.10101525445522107;4.1332222337938855;5.200111099539448;1.5766666666666669;1.462;0.32543031341423756;0.20640400427964326;1.2084075997244053;1.9449257336089285;185.33333333333334;137.0;74.08253655364551;0.39972591665636065;101.50105138719819;269.1656152794685;0.22784264583452843;0.2024961789598054;0.066610702155321;0.2923539704840738;0.1524655404667707;0.30321975120228617;0.03919605269728177;0.03203971119133574;0.01953999245173768;0.49851939435454357;0.017084469689412716;0.061307635705150826;2.6128715121443804;2.4850848827809218;0.31069076032393356;0.11890778359359509;2.2612918196931853;2.9644512045955755;nan;nan
0.4;0.1;2;1000.0;1000.0;0.0;0.0;1000.0;1000.0;433.3333333333333;444.0;28.76726534718856;0.06638599695505053;400.78010808491786;465.8865585817488;0.43333333333333335;0.444;0.02876726534718856;0.06638599695505051;0.4007801080849179;0.4658865585817488;7.0;7.0;0.816496580927726;0.11664236870396086;6.076047139249578;7.923952860750422;0.43333333333333335;0.444;0.02876726534718856;0.06638599695505051;0.4007801080849179;0.4658865585817488;3.3333333333333335;3.0;0.4714045207910317;0.1414213562373095;2.7998889004605525;3.8667777662061145;0.8666666666666667;0.888;0.05753453069437712;0.06638599695505051;0.8015602161698357;0.9317731171634976;7.333333333333333;7.0;0.4714045207910317;0.0642824346533225;6.799888900460552;7.8667777662061145;0.10867301587301587;0.1161095238095238;0.011207297275422946;0.10312861187655493;0.09599076511926281;0.12135526662676892;0.4471123825024081;0.45535714285714285;0.016925260016461528;0.03785459915409605;0.4279596477862555;0.4662651172185607;1.9968849448695896;2.0;0.1064876932881729;0.05332690476823004;1.876382776034384;2.1173871137047953;0.4444444444444445;0.975
0.4;0.3;2;1000.0;1000.0;0.0;0.0;1000.0;1000.0;552.6666666666666;558.0;49.948862738693954;0.09037791810378883;496.1442075447814;609.1891257885518;0.5526666666666666;0.558;0.04994886273869395;0.09037791810378881;0.4961442075447814;0.6091891257885519;12.0;13.0;2.160246899469287;0.18002057495577392;9.555450507307691;14.444549492692309;0.5526666666666666;0.558;0.04994886273869395;0.09037791810378881;0.4961442075447814;0.6091891257885519;3.6666666666666665;3.0;0.9428090415820634;0.25712973861329;2.5997778009211046;4.733555532412229;1.1053333333333333;1.116;0.0998977254773879;0.09037791810378881;0.9922884150895628;1.2183782515771038;12.333333333333334;13.0;1.699673171197595;0.1378113382052104;10.409972077999713;14.256694588666955;0.1499812557812558;0.1566007992007992;0.013148993586838091;0.08767091273069214;0.13510176880686586;0.16486074275564572;0.38540788988751046;0.38563829787234044;0.0011985575641191807;0.0031098417950629017;0.38405159432423486;0.38676418545078606;2.9140793976869435;2.766618842659015;0.2167956960402163;0.07439594686826252;2.6687519728897198;3.159406822484167;0.5714285714285715;0.9671666666666665
0.4;0.5;2;1000.0;1000.0;0.0;0.0;1000.0;1000.0;764.3333333333334;790.0;77.67596510862002;0.10162577205663326;676.4347041778828;852.2319624887839;0.7643333333333334;0.79;0.07767596510862;0.10162577205663322;0.676434704177883;0.8522319624887839;30.666666666666668;30.0;8.993825042154695;0.29327690354852265;20.489195540767142;40.844137792566194;0.7643333333333334;0.79;0.07767596510862;0.10162577205663322;0.676434704177883;0.8522319624887839;5.0;5.0;0.816496580927726;0.16329931618554522;4.076047139249578;5.923952860750422;1.5286666666666668;1.58;0.15535193021724;0.10162577205663322;1.352869408355766;1.7044639249775677;30.666666666666668;30.0;8.993825042154695;0.29327690354852265;20.489195540767142;40.844137792566194;0.22810290127994529;0.24199598775208525;0.02580125654884389;0.1131123558887952;0.19890603094869028;0.25729977161120027;0.28752989917995014;0.28949107732980833;0.030139747877519326;0.10482300436747419;0.2534235637411794;0.3216362346187209;3.4537347467007966;3.4342440801457195;0.14146642779037133;0.04096042057818948;3.2936504135753077;3.6138190798262855;0.8;0.9554166666666667
0.4;0.7;2;1000.0;1000.0;0.0;0.0;1000.0;1000.0;1160.3333333333333;1231.0;112.90507320557192;0.09730399874079741;1032.569215493435;1288.0974511732315;1.1603333333333334;1.231;0.11290507320557201;0.09730399874079747;1.0325692154934352;1.2880974511732317;109.66666666666667;95.0;26.599916457680003;0.24255242970528876;79.56602756923098;139.76730576410236;1.1603333333333334;1.231;0.11290507320557201;0.09730399874079747;1.0325692154934352;1.2880974511732317;5.666666666666667;6.0;0.4714045207910317;0.08318903308077029;5.1332222337938855;6.200111099539448;2.320666666666667;2.462;0.22581014641114402;0.09730399874079747;2.0651384309868703;2.5761949023464634;109.66666666666667;95.0;26.599916457680003;0.24255242970528876;79.56602756923098;139.76730576410236;0.36536690332987015;0.38587717491099477;0.032779385354216754;0.08971635103090334;0.3282735368919402;0.4024602697678001;0.1387606188612854;0.12557052209729488;0.049562323832902024;0.35717860182252364;0.0826755696883702;0.19484566803420061;4.130870854651325;4.115610911591656;0.0522469644578026;0.012647929769814268;4.07174784862298;4.189993860679669;1.3333333333333333;0.8702500000000001
