beta;gamma;dim;n_vertices_mean;n_vertices_median;n_vertices_std;n_vertices_cv;n_vertices_ci_low;n_vertices_ci_high;n_edges_mean;n_edges_median;n_edges_std;n_edges_cv;n_edges_ci_low;n_edges_ci_high;degree_mean_mean;degree_mean_median;degree_mean_std;degree_mean_cv;degree_mean_ci_low;degree_mean_ci_high;degree_max_mean;degree_max_median;degree_max_std;degree_max_cv;degree_max_ci_low;degree_max_ci_high;degree_min_mean;degree_min_median;degree_min_std;degree_min_cv;degree_min_ci_low;degree_min_ci_high;avg_local_clustering_mean;avg_local_clustering_median;avg_local_clustering_std;avg_local_clustering_cv;avg_local_clustering_ci_low;avg_local_clustering_ci_high;global_clustering_mean;global_clustering_median;global_clustering_std;global_clustering_cv;global_clustering_ci_low;global_clustering_ci_high;avg_shortest_path_length_mean;avg_shortest_path_length_median;avg_shortest_path_length_std;avg_shortest_path_length_cv;avg_shortest_path_length_ci_low;avg_shortest_path_length_ci_high;powerlaw_alpha_mean;powerlaw_alpha_median;powerlaw_alpha_std;powerlaw_alpha_cv;powerlaw_alpha_ci_low;powerlaw_alpha_ci_high;powerlaw_k_min_mean;powerlaw_k_min_median;powerlaw_k_min_std;powerlaw_k_min_cv;powerlaw_k_min_ci_low;powerlaw_k_min_ci_high;powerlaw_n_tail_mean;powerlaw_n_tail_median;powerlaw_n_tail_std;powerlaw_n_tail_cv;powerlaw_n_tail_ci_low;powerlaw_n_tail_ci_high;powerlaw_ks_mean;powerlaw_ks_median;powerlaw_ks_std;powerlaw_ks_cv;powerlaw_ks_ci_low;powerlaw_ks_ci_high;powerlaw_valid_mean;powerlaw_valid_median;powerlaw_valid_std;powerlaw_valid_cv;powerlaw_valid_ci_low;powerlaw_valid_ci_high;powerlaw_reason_mode
0.01;0.0;2;100.0;100.0;0.0;0.0;100.0;100.0;143.5;136.0;22.668259747938304;0.15796696688458747;129.45006704642333;157.54993295357667;2.87;2.7199999999999998;0.4533651949587661;0.15796696688458747;2.5890013409284665;3.1509986590715338;9.0;9.0;1.3416407864998738;0.14907119849998599;8.16844242532462;9.83155757467538;0.0;0.0;0.0;nan;0.0;0.0;0.41720894660894664;0.414936507936508;0.04281864158331305;0.10263116822239987;0.39066967760028376;0.4437482156176095;0.4763230687465416;0.47182737460747315;0.04533888941875135;0.09518516400656805;0.4482217339459723;0.5044244035471109;4.962068877303785;4.56839248281157;1.28253775975591;0.25846835089737735;4.167143738128076;5.756994016479493;3.488462057647664;3.217765472742733;0.8946748690959395;0.25646684823031607;2.933936828723057;4.042987286572271;2.6;2.0;0.9165151389911679;0.35250582268891073;2.031938031549374;3.168061968450626;59.7;73.5;23.72783175934961;0.3974511182470621;44.9933375098223;74.40666249017771;0.3130180925715339;0.3025438519065337;0.061982407836879846;0.1980154160664532;0.27460099818083583;0.35143518696223197;1.0;1.0;0.0;0.0;1.0;1.0;ok
0.01;0.1;2;100.0;100.0;0.0;0.0;100.0;100.0;158.7;150.0;23.507658326596463;0.1481263914719374;144.12980241726282;173.27019758273715;3.1739999999999995;3.0;0.4701531665319292;0.14812639147193737;2.882596048345256;3.465403951654743;10.5;9.0;3.1064449134018135;0.2958518965144584;8.574605494969926;12.425394505030074;0.0;0.0;0.0;nan;0.0;0.0;0.4455498898762057;0.4318214285714286;0.03331513223533025;0.07477306804988042;0.424900956987191;0.4661988227652204;0.4675755805449414;0.4642378673957621;0.055148148586436255;0.11794488609127791;0.4333944039231328;0.5017567571667501;5.19071573110893;5.090328380728141;1.0134489805725915;0.1952426280057685;4.562573545195845;5.818857917022014;3.092571751929124;2.914088084909733;0.7251448739356335;0.23447956332243333;2.643122302623599;3.5420212012346486;2.4;2.0;0.8;0.33333333333333337;1.9041548628855982;2.8958451371144016;67.2;76.5;20.5854317418897;0.30633082949240625;54.44101721922943;79.95898278077058;0.2739835074974425;0.264344003176998;0.029434196259067947;0.10743054035594717;0.2557400036475303;0.2922270113473547;1.0;1.0;0.0;0.0;1.0;1.0;ok
0.01;0.2;2;100.0;100.0;0.0;0.0;100.0;100.0;179.9;168.0;24.691901506364392;0.13725348252564976;164.59580088995182;195.2041991100482;3.598;3.36;0.4938380301272879;0.13725348252564978;3.2919160177990356;3.904083982200964;16.4;12.0;10.499523798725349;0.640214865775936;9.892327727981378;22.90767227201862;0.0;0.0;0.0;nan;0.0;0.0;0.48613713326856856;0.4708662755373282;0.05542988680683951;0.11402109202017495;0.45178133348860217;0.520492933048535;0.4398443742531956;0.44486531986531985;0.07701206100847457;0.17508933958569337;0.3921118043154334;0.4875769441909578;4.7270414976504025;4.541324355311126;0.9426875887081104;0.19942443686535807;4.14275767680163;5.311325318499175;3.2167685026203907;2.8707289855235767;0.8140111315240706;0.25305244404779964;2.712239176216388;3.7212978290243934;3.1;2.0;1.6401219466856725;0.5290715957050556;2.083441885576629;4.116558114423372;63.0;77.5;25.526456863419178;0.4051818549749076;47.17853812064132;78.82146187935868;0.25305703717398464;0.24455627811435068;0.03768537656674172;0.14892048443937106;0.22969939878530476;0.2764146755626645;1.0;1.0;0.0;0.0;1.0;1.0;ok
0.01;0.3;2;100.0;100.0;0.0;0.0;100.0;100.0;209.0;198.0;38.478565461825625;0.18410796871686902;185.15073804076948;232.84926195923052;4.18;3.96;0.7695713092365125;0.18410796871686905;3.7030147608153894;4.6569852391846105;25.1;16.0;24.13482960370759;0.9615469961636489;10.141077632396108;40.0589223676039;0.1;0.0;0.30000000000000004;3.0000000000000004;-0.08594192641790072;0.2859419264179007;0.5416925074957978;0.5363928514296161;0.07200047886039453;0.1329176199856393;0.49706614835475416;0.5863188666368414;0.40618459169935006;0.41903571709474163;0.09560600197929822;0.23537574770946487;0.34692737774886895;0.4654418056498312;4.24616387162041;4.093752780931972;1.0674790328288875;0.2513984540171595;3.584533512370674;4.907794230870146;3.029072570662824;2.9407315041957443;0.4563999984886545;0.15067318059956045;2.7461929208757994;3.3119522204498484;3.2;3.0;1.16619037896906;0.36443449342783124;2.477187714548238;3.922812285451762;64.7;73.0;20.278313539345426;0.3134206111181673;52.13137105329305;77.26862894670695;0.22956726529507976;0.23636491544403004;0.02508290127715375;0.1092616634384386;0.21402072201633313;0.2451138085738264;1.0;1.0;0.0;0.0;1.0;1.0;ok
0.01;0.4;2;100.0;100.0;0.0;0.0;100.0;100.0;236.3;231.5;39.60820622042861;0.16761830816939743;211.7505794447201;260.84942055527995;4.726;4.63;0.7921641244085723;0.16761830816939743;4.235011588894402;5.216988411105598;31.6;20.0;26.226703948456816;0.8299589857106587;15.344520480773259;47.85547951922675;0.2;0.0;0.4000000000000001;2.0000000000000004;-0.04792256855720095;0.447922568557201;0.5824266567563147;0.5663441062721248;0.06493529761838264;0.11149094373534374;0.5421793423173754;0.6226739711952539;0.3889146913887983;0.4142079972182823;0.10184792127465037;0.26187727933587607;0.325788695777241;0.4520406870003556;3.6549216190281832;3.630127047055573;0.8862147217982889;0.2424716079229975;3.105640043724591;4.204203194331776;3.0616992891885357;3.046596634852598;0.4706001493771278;0.15370554222581878;2.7700182946960856;3.353380283680986;3.5;3.0;1.118033988749895;0.31943828249996997;2.8070353544371835;4.1929646455628165;66.0;71.5;19.395875850293535;0.29387690682262935;53.978311599446606;78.02168840055339;0.2163772210893775;0.220145707950586;0.025225987391130848;0.11658337815841953;0.2007419921183757;0.23201245006037932;1.0;1.0;0.0;0.0;1.0;1.0;ok
0.01;0.5;2;100.0;100.0;0.0;0.0;100.0;100.0;272.9;275.0;42.465162192083994;0.1556070435767094;246.57981978785097;299.220180212149;5.458;5.5;0.84930324384168;0.1556070435767094;4.93159639575702;5.9844036042429805;39.5;26.5;28.921445330411828;0.7321884893775147;21.57430246824409;57.425697531755915;0.4;0.0;0.66332495807108;1.6583123951777001;-0.011133068482699404;0.8111330684826994;0.6306643713520514;0.5946459069385899;0.06762599218765915;0.10722976476803182;0.5887493471410673;0.6725793955630356;0.3725237681926598;0.40357865676864246;0.10367602015112908;0.27830712830519444;0.30826470515851967;0.43678283122679995;3.2682484730684087;3.331042886228796;0.7834601033781166;0.23971864741439372;2.7826548700894267;3.7538420760473907;2.95412443186252;2.8244795066460906;0.3624416714679539;0.12269004905776472;2.7294807565062693;3.178768107218771;4.1;3.0;1.8681541692269406;0.4556473583480343;2.9421060497610325;5.257893950238967;65.9;73.0;21.787381669213946;0.33061277191523436;52.396040936081015;79.403959063919;0.20780170641994294;0.20766192337402795;0.03131775285396585;0.15070979634150036;0.1883907620974559;0.22721265074243;1.0;1.0;0.0;0.0;1.0;1.0;ok
0.01;0.6;2;100.0;100.0;0.0;0.0;100.0;100.0;315.2;322.0;45.210175845709784;0.14343329900288637;287.17844269852225;343.22155730147773;6.303999999999999;6.44;0.9042035169141955;0.14343329900288637;5.743568853970444;6.864431146029554;48.9;39.0;26.979436613836103;0.5517267201193478;32.1779719411789;65.62202805882109;0.5;0.0;0.6708203932499369;1.3416407864998738;0.08422121266231009;0.9157787873376899;0.6639800790257763;0.6319327527637397;0.06760840633577014;0.1018229438976068;0.6220759546387186;0.705884203412834;0.35361427291306896;0.38070113058104627;0.08709348720955133;0.24629516928736084;0.29963317027907976;0.40759537554705816;2.8747132736020427;2.902616529273377;0.5533622853536729;0.19249303589164732;2.531735775783129;3.217690771420956;2.86968651630058;2.731074663319271;0.3765998511587539;0.13123379470878332;2.6362675102567352;3.1031055223444244;4.3;3.5;2.0518284528683193;0.4771694076437952;3.028263549315346;5.571736450684654;70.4;76.0;20.857612519173905;0.296272905101902;57.47231782568895;83.32768217431106;0.18614873726192444;0.19479463812814207;0.03576018843127537;0.19210545801854276;0.1639843428419962;0.20831313168185267;1.0;1.0;0.0;0.0;1.0;1.0;ok
0.01;0.7;2;100.0;100.0;0.0;0.0;100.0;100.0;365.8;364.0;46.63217773169081;0.12747998286410828;336.8970767983583;394.70292320164174;7.316;7.279999999999999;0.932643554633816;0.12747998286410825;6.737941535967165;7.894058464032835;60.5;56.0;25.22399651125888;0.4169255621695682;44.86600498912706;76.13399501087294;0.9;1.0;0.7000000000000001;0.7777777777777778;0.46613550502489837;1.3338644949751017;0.6989494722987837;0.6923565531564495;0.05467075608495484;0.07821846678723071;0.6650641866149181;0.7328347579826493;0.3291509141765767;0.3428088696004369;0.07853029670561609;0.23858447090165952;0.2804773320045381;0.3778244963486153;2.501850752422181;2.5415481344052773;0.4112821243401062;0.16439115080782538;2.2469354507520283;2.756766054092334;2.9394845214856073;2.9742508571436774;0.34214325276822044;0.11639566402455563;2.727421936383575;3.1515471065876395;5.5;4.0;2.539685019840059;0.4617609126981925;3.925886916387517;7.074113083612483;62.3;73.5;25.40885672359148;0.4078468173931217;46.551427442463236;78.04857255753676;0.16973954412434678;0.17212577557038;0.035341120037547365;0.2082079353981143;0.147834890985854;0.19164419726283954;1.0;1.0;0.0;0.0;1.0;1.0;ok
0.01;0.8;2;100.0;100.0;0.0;0.0;100.0;100.0;426.7;426.5;59.690954088538405;0.1398897447587026;389.703163356849;463.69683664315096;8.533999999999999;8.530000000000001;1.1938190817707681;0.13988974475870264;7.794063267136979;9.27393673286302;74.3;77.5;22.516882555096295;0.3030536010107173;60.34389160259924;88.25610839740075;1.6;1.0;0.9165151389911681;0.57282196186948;1.031938031549374;2.168061968450626;0.7260666898746205;0.7362703002031499;0.04907558478982352;0.06759101536292492;0.6956493272882711;0.75648405246097;0.3087348473407646;0.30404017569103625;0.06616703801305784;0.21431671410913422;0.2677240922957165;0.34974560238581276;2.2136969696969695;2.11;0.32415899741727167;0.14643332030293443;2.012781141545427;2.414612797848512;2.996393738684621;2.9330060846734347;0.2225302244677413;0.07426601570908009;2.858468076605489;3.134319400763753;5.6;5.0;2.2;0.3928571428571429;4.236425872935395;6.9635741270646045;72.3;75.0;18.039124147252824;0.24950379180156051;61.119235017227126;83.48076498277287;0.16040710206407008;0.1642156862745098;0.020934519707384747;0.13050868345606695;0.14743175232065467;0.1733824518074855;1.0;1.0;0.0;0.0;1.0;1.0;ok
0.01;0.9;2;100.0;100.0;0.0;0.0;100.0;100.0;497.8;501.0;74.72456088863956;0.15010960403503326;451.4852373254488;544.1147626745512;9.956;10.02;1.4944912177727911;0.15010960403503326;9.029704746508976;10.882295253491023;84.0;91.5;18.411952639521967;0.2191899123752615;72.58815352364044;95.41184647635956;2.4;3.0;1.2;0.5;1.6562322943283971;3.1437677056716025;0.7286929267594677;0.7333873025021562;0.044433676400432436;0.06097723028276275;0.701152648800381;0.7562332047185545;0.30092354903479096;0.3014343375499735;0.050488285263701076;0.16777778085378064;0.26963058562322734;0.3322165124463546;2.033111111111111;1.924040404040404;0.2144323818909547;0.10547007525514224;1.9002045438605006;2.166017678361721;3.125026305686985;3.213829605514942;0.33203985039750045;0.10625185771820471;2.9192258742522426;3.3308267371217277;7.0;6.0;2.4083189157584592;0.3440455593940656;5.507308471250674;8.492691528749326;65.8;75.0;23.63810483097154;0.35924171475640637;51.148950836202886;80.45104916379711;0.15012754137716128;0.14733873651469448;0.026025912958466017;0.1733586836880372;0.13399651340288868;0.16625856935143388;1.0;1.0;0.0;0.0;1.0;1.0;ok
