beta;gamma;dim;n_vertices_mean;n_vertices_median;n_vertices_std;n_vertices_cv;n_vertices_ci_low;n_vertices_ci_high;n_edges_mean;n_edges_median;n_edges_std;n_edges_cv;n_edges_ci_low;n_edges_ci_high;indegree_mean_mean;indegree_mean_median;indegree_mean_std;indegree_mean_cv;indegree_mean_ci_low;indegree_mean_ci_high;indegree_max_mean;indegree_max_median;indegree_max_std;indegree_max_cv;indegree_max_ci_low;indegree_max_ci_high;outdegree_mean_mean;outdegree_mean_median;outdegree_mean_std;outdegree_mean_cv;outdegree_mean_ci_low;outdegree_mean_ci_high;outdegree_max_mean;outdegree_max_median;outdegree_max_std;outdegree_max_cv;outdegree_max_ci_low;outdegree_max_ci_high;total_degree_mean_mean;total_degree_mean_median;total_degree_mean_std;total_degree_mean_cv;total_degree_mean_ci_low;total_degree_mean_ci_high;total_degree_max_mean;total_degree_max_median;total_degree_max_std;total_degree_max_cv;total_degree_max_ci_low;total_degree_max_ci_high;avg_local_clustering_mean;avg_local_clustering_median;avg_local_clustering_std;avg_local_clustering_cv;avg_local_clustering_ci_low;avg_local_clustering_ci_high;vertices_degree_ge_2_mean;vertices_degree_ge_2_median;vertices_degree_ge_2_std;vertices_degree_ge_2_cv;vertices_degree_ge_2_ci_low;vertices_degree_ge_2_ci_high;global_clustering_mean;global_clustering_median;global_clustering_std;global_clustering_cv;global_clustering_ci_low;global_clustering_ci_high;avg_shortest_path_length_mean;avg_shortest_path_length_median;avg_shortest_path_length_std;avg_shortest_path_length_cv;avg_shortest_path_length_ci_low;avg_shortest_path_length_ci_high;expected_theoretical_outdegree_mean;outdegree_mean_vs_theory_ratio
0.1;0.1;2;200.0;200.0;0.0;0.0;200.0;200.0;16.666666666666668;17.0;1.247219128924647;0.07483314773547882;15.2553053590134;18.078027974319934;0.08333333333333333;0.085;0.006236095644623236;0.07483314773547885;0.076276526795067;0.09039013987159966;2.3333333333333335;2.0;0.4714045207910317;0.20203050891044214;1.7998889004605525;2.8667777662061145;0.08333333333333333;0.085;0.006236095644623236;0.07483314773547885;0.076276526795067;0.09039013987159966;2.0;2.0;0.816496580927726;0.408248290463863;1.0760471392495778;2.923952860750422;0.16666666666666666;0.17;0.012472191289246473;0.07483314773547885;0.152553053590134;0.18078027974319932;2.3333333333333335;2.0;0.4714045207910317;0.20203050891044214;1.7998889004605525;2.8667777662061145;0.26666666666666666;0.0;0.3771236166328254;1.4142135623730954;-0.1600888796315582;0.6934222129648915;4.0;4.0;0.816496580927726;0.2041241452319315;3.076047139249578;4.923952860750422;0.3076923076923077;0.0;0.435142634576337;1.4142135623730951;-0.18471793803641334;0.8001025534210288;1.2173489278752436;1.263157894736842;0.11793775064410145;0.09688081037698006;1.0838897993945413;1.350808056355946;0.11111111111111112;0.7499999999999999
0.1;0.3;2;200.0;200.0;0.0;0.0;200.0;200.0;20.333333333333332;20.0;2.0548046676563256;0.1010559672617865;18.008102958446514;22.65856370822015;0.10166666666666668;0.1;0.01027402333828163;0.1010559672617865;0.09004051479223259;0.11329281854110078;2.6666666666666665;3.0;0.4714045207910317;0.1767766952966369;2.1332222337938855;3.2001110995394475;0.10166666666666668;0.1;0.01027402333828163;0.1010559672617865;0.09004051479223259;0.11329281854110078;2.0;2.0;0.816496580927726;0.408248290463863;1.0760471392495778;2.923952860750422;0.20333333333333337;0.2;0.02054804667656326;0.1010559672617865;0.18008102958446517;0.22658563708220156;2.6666666666666665;3.0;0.4714045207910317;0.1767766952966369;2.1332222337938855;3.2001110995394475;0.2222222222222222;0.0;0.31426968052735443;1.414213562373095;-0.1334073996929651;0.5778518441374095;4.333333333333333;4.0;1.247219128924647;0.2878197989826109;2.9219720256800654;5.744694640986601;0.2857142857142857;0.0;0.40406101782088427;1.414213562373095;-0.17152379960524083;0.7429523710338122;1.2363984674329502;1.2758620689655173;0.09926107997112804;0.08028243530357737;1.1240739813998382;1.3487229534660623;0.14285714285714288;0.7116666666666667
0.1;0.5;2;200.0;200.0;0.0;0.0;200.0;200.0;33.333333333333336;32.0;2.6246692913372702;0.0787400787401181;30.363240430434193;36.303426236232475;0.16666666666666666;0.16;0.01312334645668635;0.0787400787401181;0.15181620215217095;0.18151713118116236;3.6666666666666665;3.0;0.9428090415820634;0.25712973861329;2.5997778009211046;4.733555532412229;0.16666666666666666;0.16;0.01312334645668635;0.0787400787401181;0.15181620215217095;0.18151713118116236;2.3333333333333335;2.0;0.4714045207910317;0.20203050891044214;1.7998889004605525;2.8667777662061145;0.3333333333333333;0.32;0.0262466929133727;0.0787400787401181;0.3036324043043419;0.3630342623623247;4.0;4.0;0.816496580927726;0.2041241452319315;3.076047139249578;4.923952860750422;0.37138888888888894;0.3333333333333333;0.10127962148623515;0.2727050391551582;0.2567802081010264;0.48599756967675145;10.0;10.0;1.632993161855452;0.16329931618554522;8.152094278499156;11.847905721500844;0.35562770562770557;0.32142857142857145;0.14308947394032737;0.4023574982375609;0.19370672288431168;0.5175486883710995;1.375447498238196;1.3272727272727274;0.10409114806524557;0.07567802347859545;1.2576572756209714;1.4932377208554204;0.2;0.8333333333333333
0.1;0.7;2;200.0;200.0;0.0;0.0;200.0;200.0;48.0;44.0;5.656854249492381;0.11785113019775793;41.598666805526626;54.401333194473374;0.24;0.22;0.028284271247461912;0.11785113019775798;0.20799333402763312;0.2720066659723669;7.333333333333333;7.0;2.0548046676563256;0.2802006364985899;5.008102958446514;9.658563708220152;0.24;0.22;0.028284271247461912;0.11785113019775798;0.20799333402763312;0.2720066659723669;2.3333333333333335;2.0;0.4714045207910317;0.20203050891044214;1.7998889004605525;2.8667777662061145;0.48;0.44;0.056568542494923824;0.11785113019775798;0.41598666805526624;0.5440133319447338;7.333333333333333;7.0;2.0548046676563256;0.2802006364985899;5.008102958446514;9.658563708220152;0.40350762527233114;0.32483660130718955;0.2296159475528507;0.5690498349266155;0.14367272017778726;0.663342530366875;14.666666666666666;17.0;3.2998316455372216;0.22498852128662875;10.932555636557199;18.40077769677613;0.23123711340206185;0.15;0.13390629541095336;0.5790865205021166;0.07970787542673086;0.38276635137739284;1.626749479884359;1.625;0.18809544219056126;0.11562655744874278;1.413899449687517;1.8395995100812008;0.3333333333333333;0.72
0.1;0.9;2;200.0;200.0;0.0;0.0;200.0;200.0;81.66666666666667;82.0;14.29063407348401;0.174987356001845;65.49529186540246;97.83804146793088;0.4083333333333334;0.41;0.07145317036742005;0.174987356001845;0.32747645932701236;0.4891902073396544;23.0;24.0;6.164414002968976;0.2680180001290859;16.024308875339543;29.975691124660457;0.4083333333333334;0.41;0.07145317036742005;0.174987356001845;0.32747645932701236;0.4891902073396544;3.0;3.0;0.0;0.0;3.0;3.0;0.8166666666666668;0.82;0.1429063407348401;0.174987356001845;0.6549529186540247;0.9783804146793088;23.0;24.0;6.164414002968976;0.2680180001290859;16.024308875339543;29.975691124660457;0.5927379682356185;0.6339724045540255;0.22546749177650735;0.38038307626496104;0.33759748277709306;0.8478784536941439;25.333333333333332;29.0;8.178562764256865;0.3228380038522447;16.07841832281855;34.588248343848115;0.11487584573553948;0.10159362549800798;0.02104185093093614;0.18317036794120733;0.09106474986906052;0.13868694160201844;1.9017938570777144;1.9017857142857142;0.005584794903317323;0.0029365931972768528;1.8954740667097483;1.9081136474456806;1.0000000000000002;0.40833333333333327
0.1;1.0;2;200.0;200.0;0.0;0.0;200.0;200.0;107.33333333333333;113.0;22.00504992546534;0.20501599309439758;82.43227519725613;132.23439146941053;0.5366666666666666;0.565;0.11002524962732671;0.2050159930943976;0.41216137598628066;0.6611719573470526;36.666666666666664;41.0;13.816254517375139;0.37680694138295834;21.032102867660782;52.301230465672546;0.5366666666666666;0.565;0.11002524962732671;0.2050159930943976;0.41216137598628066;0.6611719573470526;3.0;3.0;0.0;0.0;3.0;3.0;1.0733333333333333;1.13;0.22005049925465342;0.2050159930943976;0.8243227519725613;1.3223439146941052;36.666666666666664;41.0;13.816254517375139;0.37680694138295834;21.032102867660782;52.301230465672546;0.5821864354237315;0.608739837398374;0.1665659812520721;0.28610419466547815;0.3936992837608443;0.7706735870866187;36.666666666666664;42.0;8.259674462242579;0.22526384897025217;27.31996512924558;46.01336820408775;0.08809060994708529;0.058524173027989825;0.04815267906867357;0.5466266960530546;0.033600723990984606;0.14258049590318597;2.2854617808495905;2.3550913838120104;0.21309025773799953;0.09323728776544495;2.0443274542228176;2.5265961074763634;nan;nan
0.4;0.1;2;200.0;200.0;0.0;0.0;200.0;200.0;84.66666666666667;88.0;13.27487183449325;0.15678982481684942;69.64473504554584;99.6885982877875;0.42333333333333334;0.44;0.06637435917246624;0.1567898248168494;0.34822367522772923;0.49844299143893744;3.6666666666666665;4.0;0.4714045207910317;0.128564869306645;3.1332222337938855;4.2001110995394475;0.42333333333333334;0.44;0.06637435917246624;0.1567898248168494;0.34822367522772923;0.49844299143893744;3.0;3.0;0.0;0.0;3.0;3.0;0.8466666666666667;0.88;0.1327487183449325;0.1567898248168494;0.6964473504554585;0.9968859828778749;4.0;4.0;0.0;0.0;4.0;4.0;0.5475535736405303;0.538888888888889;0.049722201229529084;0.09080792021671981;0.4912876061619743;0.6038195411190862;38.333333333333336;39.0;6.548960901462833;0.17084245829903041;30.922486428164408;45.74418023850226;0.4747523751768748;0.4948453608247423;0.05470921473424574;0.11523736919454727;0.41284307066309395;0.5366616796906556;1.921581992933249;2.103448275862069;0.3838067065005258;0.19973475392255005;1.4872638185161189;2.355900167350379;0.4444444444444445;0.9524999999999999
0.4;0.3;2;200.0;200.0;0.0;0.0;200.0;200.0;108.33333333333333;115.0;14.65908895153068;0.1353146672448986;91.74501258694116;124.9216540797255;0.5416666666666666;0.575;0.07329544475765339;0.13531466724489857;0.4587250629347057;0.6246082703986275;6.333333333333333;6.0;2.0548046676563256;0.3244428422615251;4.008102958446514;8.658563708220152;0.5416666666666666;0.575;0.07329544475765339;0.13531466724489857;0.4587250629347057;0.6246082703986275;3.0;3.0;0.0;0.0;3.0;3.0;1.0833333333333333;1.15;0.14659088951530677;0.13531466724489857;0.9174501258694114;1.249216540797255;6.666666666666667;7.0;2.0548046676563256;0.3082207001484488;4.341436291779848;8.991897041553486;0.5934537721626736;0.6007751937984496;0.04118587567616228;0.06940030986082044;0.5468475664021258;0.6400599779232213;51.0;52.0;6.164414002968976;0.12087086280331326;44.02430887533954;57.97569112466046;0.448515406162465;0.48;0.05481248067479608;0.1222086909873982;0.3864892452362774;0.5105415670886526;2.031090518399141;2.073529411764706;0.3455696010008596;0.1701399311701921;1.640041702162409;2.4221393346358724;0.5714285714285715;0.9479166666666665
0.4;0.5;2;200.0;200.0;0.0;0.0;200.0;200.0;142.0;134.0;14.236104336041748;0.10025425588761795;125.89033140557441;158.10966859442559;0.71;0.67;0.07118052168020875;0.10025425588761795;0.629451657027872;0.790548342972128;13.333333333333334;13.0;4.4969125210773475;0.33726843908080106;8.244597770383571;18.422068896283097;0.71;0.67;0.07118052168020875;0.10025425588761795;0.629451657027872;0.790548342972128;3.6666666666666665;4.0;0.4714045207910317;0.128564869306645;3.1332222337938855;4.2001110995394475;1.42;1.34;0.1423610433604175;0.10025425588761795;1.258903314055744;1.581096685944256;13.333333333333334;13.0;4.4969125210773475;0.33726843908080106;8.244597770383571;18.422068896283097;0.611166115957987;0.5932751250420424;0.048264570913184666;0.07897128072542309;0.556549612460251;0.6657826194557229;70.66666666666667;69.0;4.642796092394706;0.06569994470369867;65.41284830214289;75.92048503119045;0.338465070156021;0.259927797833935;0.11589999336602819;0.3424282254963627;0.20731188111287466;0.46961825919916733;2.450098511252871;2.6096579476861166;0.23138421363431522;0.09443873892074474;2.1882626247179875;2.711934397787754;0.8;0.8875
0.4;0.7;2;200.0;200.0;0.0;0.0;200.0;200.0;195.66666666666666;191.0;19.871811414385174;0.10155951319106563;173.17959515468036;218.15373817865296;0.9783333333333334;0.955;0.09935905707192592;0.10155951319106568;0.8658979757734019;1.0907686908932648;31.666666666666668;33.0;9.030811456096044;0.2851835196661909;21.447341473318165;41.88599186001517;0.9783333333333334;0.955;0.09935905707192592;0.10155951319106568;0.8658979757734019;1.0907686908932648;4.0;4.0;0.816496580927726;0.2041241452319315;3.076047139249578;4.923952860750422;1.9566666666666668;1.91;0.19871811414385185;0.10155951319106568;1.7317959515468038;2.1815373817865296;31.666666666666668;33.0;9.030811456096044;0.2851835196661909;21.447341473318165;41.88599186001517;0.6665658011122843;0.6485640356453755;0.03598660574015146;0.053988076916189474;0.6258431231501413;0.7072884790744272;96.33333333333333;94.0;7.93025150224688;0.08232094985031363;87.35940896778854;105.30725769887812;0.23504717505855113;0.2116843702579666;0.0841826265241066;0.3581520454484781;0.13978556537237707;0.3303087847447252;2.6680305395336354;2.7580299785867237;0.21885090616854602;0.08202713684334384;2.4203774255395802;2.9156836535276907;1.3333333333333333;0.7337500000000001
