n_vertices;n_edges;indegree_mean;indegree_max;outdegree_mean;outdegree_max;total_degree_mean;total_degree_max;avg_local_clustering;vertices_degree_ge_2;global_clustering;avg_shortest_path_length;closed_wedges;wedges;indegree_alpha;indegree_xmin;indegree_KS;indegree_LRT_exp_R;indegree_LRT_exp_p;indegree_LRT_log_R;indegree_LRT_log_p;indegree_LRT_trunc_R;indegree_LRT_trunc_p;seed;beta;gamma;dim
5000;10726;2.1452;68;2.1452;10;4.2904;68;0.6176369568676708;4184;0.3764360985658823;9.82471955155809;28506.0;75726.0;2.9912293280025013;6.0;0.0337782235682913;2.1644048346867133;0.0304332931118935;-1.4961570810814566;0.13461272591386683;-1.6562210043575232;0.012240088676334526;0;1.5;0.3;2
5000;10762;2.1524;138;2.1524;9;4.3048;138;0.6165513292278967;4214;0.3540145531438522;10.524263922278848;28461.0;80395.0;2.8880591303493013;5.0;0.038194310483657734;1.5424668861937543;0.12296017876108878;-1.8205812506851007;0.06867053504008742;-1.2761485218745248;0.001422373897577378;1;1.5;0.3;2
5000;10773;2.1546;60;2.1546;9;4.3092;60;0.6315048133665057;4146;0.405223134991119;10.510642794382532;29202.0;72064.0;2.408587687172324;3.0;0.05298986233199254;0.31436037375742226;0.753247348853878;-5.9135644500529345;3.3478244213904695e-09;-5.882464817808635;0.0;2;1.5;0.3;2
5000;10703;2.1406;53;2.1406;9;4.2812;54;0.6200011325600002;4185;0.3940346932676846;9.348032036712247;27690.0;70273.0;2.6951715783854358;4.0;0.05912300265990439;1.0322136795191048;0.30197202811159285;-3.832191391850605;0.00012700686912967083;-3.8366379103748396;3.295245187828755e-10;3;1.5;0.3;2
5000;10704;2.1408;51;2.1408;8;4.2816;51;0.6186924723202982;4203;0.4148049147213827;11.072454804355935;27312.0;65843.0;2.9937525289644245;5.0;0.029478113712003595;0.44765290375500527;0.6544037160369038;-3.1047477102432763;0.0019044138786434095;-3.338330015936386;3.1358880892007335e-07;4;1.5;0.3;2
5000;10692;2.1384;94;2.1384;9;4.2768;94;0.6242655881923447;4223;0.34843183806072725;8.994555177709914;27885.0;80030.0;2.945307321725732;5.0;0.03824673804306622;2.038801427158787;0.04146984983279884;-1.450671856351833;0.14687125584000235;-1.0505616285706467;0.020144570639619275;5;1.5;0.3;2
5000;10967;2.1934;56;2.1934;9;4.3868;56;0.6268680781907086;4233;0.3847819241064399;10.892063056894386;29325.0;76212.0;2.8673165588978966;5.0;0.03310333846252861;2.38085403012696;0.01727255478774667;-2.3302199588544235;0.019794528618013507;-2.6431843451116372;0.00019011652982114935;6;1.5;0.3;2
5000;10178;2.0356;62;2.0356;9;4.0712;62;0.6229766657491701;4169;0.4087979689483449;12.990348974465508;25119.0;61446.0;2.464067449960258;3.0;0.06669574962972291;-0.8001408160578449;0.42362921531746145;-5.9843276515659785;2.1728552626555693e-09;-5.150295843628126;0.0;7;1.5;0.3;2
5000;10627;2.1254;66;2.1254;10;4.2508;66;0.6264953205430154;4175;0.3916149154807987;9.652655057058643;28125.0;71818.0;2.8767441295291074;5.0;0.0476268916675493;1.1254456339357812;0.2604002427609037;-2.5169219966656016;0.011838503545005576;-2.2802834966192314;1.5256578339895022e-05;8;1.5;0.3;2
5000;10977;2.1954;105;2.1954;10;4.3908;105;0.6163354889097868;4178;0.3734304932735426;10.842950522731234;29979.0;80280.0;2.4190864134463332;3.0;0.058336930965504186;0.8286609261772302;0.40729630187807664;-5.4094442307388695;6.32206337098068e-08;-4.223371280576142;0.0;9;1.5;0.3;2
5000;11101;2.2202;74;2.2202;10;4.4404;74;0.628106790481134;4228;0.38979688003769747;10.138958138952017;31434.0;80642.0;2.97979069521218;6.0;0.03793077388727489;1.6114912983397367;0.10707268230055074;-1.7849084014535759;0.07427617569645227;-1.7457717232565981;0.002475823809961919;10;1.5;0.3;2
